t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
1044,0.0268,0.112,0.4573,2914,1.044,0.0,0.0,0.0268,0.112,0.0
1098,0.0871,0.2036,0.0305,2980,1.098,0.0016470000000000013,2.874557278034663e-05,0.08709414736539701,0.20360250365527066,-7.9037037037036955
1153,0.0773,0.2639,0.3659,2726,1.153,0.02177149999999998,0.00037998435809794505,0.07719971654971064,0.26392935373816295,6.098181818181826
1207,0.0149,0.2968,1.0366,2258,1.207,0.07774790000000004,0.0013569568415113,0.014497241615116913,0.29681994539712614,12.420370370370359
1260,-0.0225,0.3232,-7.622,1974,1.26,-0.32621809999999946,-0.005693579924600105,-0.020659480221808968,0.3233228663069853,-163.3698113207549
1314,0.0638,0.4147,-9.3598,1972,1.314,-0.8316473,-0.014514983600321038,0.06981243161109839,0.4137302918478966,-32.181481481481455
1369,0.1277,0.438,-11.311,1970,1.369,-1.4537522999999992,-0.02537276414344035,0.13877097535505023,0.43461926602373263,-35.47636363636368
1422,0.0275,0.4965,-6.189,1972,1.422,-1.7817692999999988,-0.03109774079595458,0.0429242436950132,0.4954048943068802,96.64150943396238
1476,-0.0211,0.5269,0.4268,2276,1.476,-1.7587220999999988,-0.030695491272588943,-0.004919145767185024,0.527299366588773,122.51481481481471
1530,-0.1333,0.5796,5.6707,2764,1.53,-1.4525042999999986,-0.02535098243437545,-0.1185653125583237,0.5827926875467356,97.10925925925918
1585,0.0145,0.5197,8.75,2894,1.585,-0.9712542999999991,-0.016951585409152745,0.023307233738035033,0.5193795460503625,55.98727272727279
1638,-0.0157,0.4493,13.2012,2976,1.638,-0.27159069999999996,-0.004740151932796163,-0.013570081330523367,0.44936937244619035,83.98490566037746
1692,0.0756,0.471,8.1402,2980,1.692,0.1679801000000004,0.0029318058228293337,0.07421879652655489,0.4712196199673246,-93.72222222222214
1746,0.0887,0.4812,1.0671,2972,1.746,0.22560350000000046,0.003937523879023035,0.08680458079974547,0.48154552718531246,-130.9833333333332
1800,0.1476,0.5372,-0.2439,2972,1.8,0.21243290000000045,0.00370765354455987,0.14560723857427807,0.5377435560513704,-24.277777777777754
1854,0.1353,0.571,0.4878,2986,1.854,0.2387741000000005,0.0041673942134862006,0.1329192499042064,0.5715588884838579,13.549999999999988
1908,0.1298,0.5885,0.6098,2988,1.908,0.27170330000000037,0.004742117173533915,0.12700781505549968,0.5891089075161129,2.2592592592592666
1963,0.1378,0.5814,0.3963,2974,1.963,0.2934998000000004,0.005122537863944861,0.13481996155172798,0.5820982545646316,-3.881818181818171
2017,0.1275,0.569,0.4878,2988,2.017,0.3198410000000003,0.005582278532871189,0.12432171344967714,0.5697028712977812,1.6944444444444504
2070,0.1326,0.5678,0.3354,2988,2.07,0.3376172000000003,0.005892531751364205,0.1292519377762019,0.5685714876610476,-2.875471698113212
2124,0.1243,0.5461,0.7317,2976,2.124,0.3771290000000005,0.006582142754753704,0.12070282518230918,0.5469063246964776,7.338888888888853
2179,0.1062,0.5475,0.8232,2976,2.179,0.42240500000000025,0.0073723580268866525,0.10216078448382086,0.5482680586297639,1.6636363636363727
2233,0.0998,0.5491,0.5793,2990,2.233,0.4536872000000004,0.007918335414154026,0.09544895874469694,0.5498730274113771,-4.516666666666644
2286,0.0951,0.5595,0.6402,2988,2.286,0.4876178000000004,0.008510536101331212,0.09033496854262356,0.5602890802598273,1.1490566037735854
2340,0.0862,0.5323,1.189,2976,2.34,0.5518238000000002,0.009631142200866688,0.08106942438559774,0.5331055040325394,10.162962962962997
2395,0.0694,0.5298,0.5488,2988,2.395,0.5820078000000003,0.010157952382288659,0.06401482892408758,0.5304776165662598,-11.639999999999969
2449,0.0728,0.5512,0.6707,2990,2.449,0.6182256000000002,0.010790072240117458,0.06684838973440431,0.5519534154164799,2.2574074074074146
2502,0.0846,0.5808,0.3659,2980,2.502,0.6376183000000001,0.011128538705968962,0.07813143956623109,0.5817054909069608,-5.750943396226421
2556,0.0394,0.4776,0.6707,2976,2.556,0.6738361000000003,0.011760658563797767,0.03378051421415115,0.4780303304806376,5.6444444444444155
2611,-0.8323,2.4291,-15.4573,2990,2.611,-0.17631540000000223,-0.003077284251970849,-0.8248210398176795,2.431649718251805,-293.2363636363628
2664,-0.9508,2.4192,0.8841,2992,2.664,-0.1294581000000023,-0.002259470088376111,-0.9453314675996721,2.421342127078668,308.3283018867928
2718,-1.0561,2.6134,5.8537,2976,2.718,0.1866416999999967,0.003257512186519443,-1.0646075639549126,2.6099458815787706,92.02962962962992
2772,-0.9693,3.1394,4.5122,2988,2.772,0.43030049999999587,0.007510160497977788,-0.9928498408822395,3.132031935255468,-24.84259259259267
2827,-1.43,3.1326,7.1646,2936,2.827,0.8243534999999971,0.014387682775339024,-1.4749212937739573,3.1117020964694158,48.225454545454404
2880,-1.5793,3.2191,6.128,2762,2.88,1.1491374999999966,0.02005623293313628,-1.6435410630600296,3.186779891055469,-19.558490566037758
2934,-1.0504,3.8988,-2.0427,2562,2.934,1.038831699999996,0.01813103353908991,-1.1209127540615558,3.8791153885624667,-151.3092592592585
2989,-1.2186,3.8306,-4.6646,2460,2.989,0.7822786999999973,0.013653338983220919,-1.2707852753216657,3.8136055254870866,-47.67090909090934
3042,-0.5932,4.1069,-16.4329,2386,3.042,-0.08866500000000166,-0.0015474961812808013,-0.586843880188639,4.10781305688138,-222.04339622641535
3096,-0.3012,4.1819,-40.3659,2348,3.096,-2.2684236000000126,-0.03959146064994306,-0.13543968916701166,4.190544730771686,-443.20370370370154
3150,0.4375,4.3113,-50.0915,2320,3.15,-4.973364600000004,-0.08680158717213084,0.8096107817162591,4.25714039257913,-180.1037037037043
3205,0.9735,4.3004,-68.1707,2254,3.205,-8.722753100000014,-0.15224076143354245,1.6144103367867437,4.1030259168662475,-328.71272727272617
3258,1.8782,4.3181,-86.1281,2202,3.258,-13.28754240000001,-0.23191136437834955,2.8203825213727653,3.770817588154458,-338.81886792452883
3312,2.4128,4.1124,-97.4695,2174,3.312,-18.550895399999995,-0.3237742039230704,3.5957817351809327,3.1311006551912697,-210.0259259259265
3366,2.831,3.8104,-110.9146,2174,3.366,-24.540283800000026,-0.4283087516838261,4.157858860926089,2.2903970949637564,-248.983333333332
3420,2.7977,3.7082,-126.7073,2174,3.42,-31.382478000000006,-0.5477275685346852,4.319464595920923,1.7088294632834775,-292.45740740740854
3474,3.8294,3.9951,-135.7622,2170,3.474,-38.713636800000046,-0.6756804275812422,5.486659203100745,0.722287449032518,-167.68333333333257
3528,3.6472,3.9919,-149.7256,2174,3.528,-46.79881920000002,-0.816793481085539,5.406648543390377,0.07406063903805782,-258.58148148148194
3582,3.4679,3.7164,-171.7073,2194,3.582,-56.07101339999999,-0.9786237987598602,5.019268837668385,-0.8030564769747319,-407.06851851852014
3636,3.9322,3.5075,-178.1707,2180,3.636,-65.69223120000004,-1.1465457274213462,4.815193933239985,-2.139780473620797,-119.69259259259212
3690,3.9732,3.3538,-188.5061,2196,3.69,-75.87156060000001,-1.3242085410964046,4.2221945902578675,-3.0343641050469197,-191.39629629629678
3744,3.5525,3.0671,-202.2866,2198,3.744,-86.79503700000006,-1.5148591700403027,3.260915961933448,-3.375468226662437,-255.19444444444298
3799,3.1528,3.2643,-216.25,2202,3.799,-98.688787,-1.7224442679493772,2.750551974199624,-3.609745997605171,-253.88000000000144
3852,2.5869,3.7779,-224.878,2206,3.852,-110.60732099999998,-1.9304619282602666,2.6256808886872864,-3.751050504962888,-162.7924528301886
3906,3.0861,2.6996,-227.8354,2206,3.906,-122.91043260000005,-2.1451917339205755,0.5896083030196193,-4.057612034067615,-54.766666666666524
3960,2.8716,2.9977,-238.0488,2210,3.96,-135.7650678,-2.3695474423033343,0.03374214947323839,-4.1510424374304975,-189.13703703703777
4014,3.0007,3.2864,-240.061,2198,4.014,-148.72836180000007,-2.5957996045073615,-0.8587885990965727,-4.366589927169913,-37.26296296296291
4068,2.719,3.0974,-242.8659,2212,4.068,-161.84312039999992,-2.8246953226816007,-1.6184009669233608,-3.790465152228883,-51.94259259259325
4122,2.7771,3.269,-245.9146,2218,4.122,-175.1225088,-3.056464372912744,-2.489095139299127,-3.4932865324100537,-56.45740740740706
4176,1.9425,3.6533,-245.7317,2334,4.176,-188.39202060000005,-3.288061043954984,-2.4548828050910245,-3.330684247008177,3.3870370370373504
4230,2.3958,4.3012,-252.6829,3336,4.23,-202.0368972000001,-3.5262090666533146,-3.8345943897214614,-3.0880519662590995,-128.72592592592528
4284,2.0723,4.1521,-242.8354,3158,4.284,-215.15000879999997,-3.7550760392547735,-4.0848543731919635,-2.201891561774669,182.36111111111313
4337,1.8833,4.0749,-235.7012,2984,4.337,-227.64217239999996,-3.9731054247725615,-4.2800429975841645,-1.3538319093708644,134.60754716981134
4391,2.1114,4.0591,-213.5671,2738,4.391,-239.17479580000003,-4.174387674495105,-4.567614484926478,-0.2668345687684057,409.8907407407385
4446,1.8639,3.7453,-184.5732,2848,4.446,-249.3263218,-4.3515652272969145,-4.162167037505932,0.42161694925500215,527.1618181818209
4499,1.3552,3.3635,-103.5366,3156,4.499,-254.8137616,-4.447339119311894,-3.601049351194392,0.42678198212020346,1528.9924528301906
4553,1.3451,3.0782,-40.2439,2854,4.553,-256.9869322,-4.485268101489435,-3.3020285030356584,0.6174277408248581,1172.0870370370315
4608,1.5975,3.0721,-25.8841,3076,4.608,-258.4105577,-4.510115053779786,-3.3304005204935008,0.9477536774376647,261.087272727274
