t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
1099,0.0099,0.1678,0.5183,2992,1.099,0.0279882,0.0004884862417066,0.0098180308307383,0.1678048159934829,-3.387037037037035,0
1154,0.017,0.2271,0.3963,2978,1.154,0.0497847,0.0008689069321176,0.0168026648430533,0.227114685685827,-2.2181818181818205,0
1207,0.0241,0.2736,0.0915,2992,1.207,0.0546342,0.000953546674193,0.0238390987129997,0.2736228560858026,-5.750943396226397,0
1261,0.0294,0.3104,0.5488,2990,1.261,0.0842693999999999,0.0014707784886801,0.0289434387228291,0.3104429051450489,8.468518518518545,0
1315,0.0379,0.3445,0.2744,2980,1.315,0.0990869999999999,0.0017293943959236,0.0373041672518392,0.344565028848905,-5.081481481481476,0
1370,0.0317,0.3594,0.5793,2980,1.37,0.1309485,0.0022854824755477,0.0308785155220458,0.3594715110814134,5.543636363636349,0
1423,0.0187,0.3704,0.3354,2992,1.423,0.1487247,0.0025957356940408,0.0177384775798179,0.3704472923549992,-4.601886792452837,0
1477,0.0269,0.3858,0.6402,3290,1.477,0.1832955,0.0031991099790892,0.0256656478240108,0.3858840817159653,5.64444444444444,0
1531,-0.0829,0.3345,2.2256,3694,1.531,0.3034778999999996,0.005296688562038,-0.0846705711663788,0.3340562143986536,29.359259259259357,0
1585,-0.14,0.3313,9.7866,3954,1.585,0.8319543000000001,0.0145203417611246,-0.1447956616194477,0.329232298500901,140.0185185185184,0
1639,-0.2202,0.3666,12.5305,4002,1.639,1.5086013000000007,0.0263300597848667,-0.2297751597999675,0.360675721305024,50.81296296296292,0
1693,-0.2739,0.3574,13.5366,4002,1.693,2.239577700000001,0.0390880047192418,-0.287657280303413,0.3464235255990038,18.631481481481465,0
1747,-0.0917,0.5239,7.8049,4002,1.747,2.6610423000000014,0.0464439496698427,-0.1159243561338969,0.5190776855682986,-106.1425925925925,0
1801,-0.0806,0.5355,0.3354,4004,1.801,2.679153900000001,0.0467600567226469,-0.1055427863505553,0.5311471832264208,-138.32407407407453,0
1855,-0.1234,0.4691,1.9817,4002,1.855,2.786165700000001,0.0486277649711326,-0.1460564247124727,0.4625471768373576,30.487037037037013,0
1909,-0.0972,0.4883,1.128,4004,1.909,2.8470777000000016,0.0496908799251073,-0.1213340948684204,0.4828693067719889,-15.809259259259248,0
1963,-0.0989,0.484,0.6707,4002,1.963,2.883295500000002,0.0503229997829361,-0.1231208522152002,0.4784124431385568,-8.46851851851851,0
2017,-0.1193,0.4825,0.2439,4004,2.017,2.896466100000002,0.0505528701173993,-0.1435289632841214,0.4758552056020668,-7.903703703703728,0
2071,-0.1419,0.4875,0.1524,4002,2.071,2.9046957000000018,0.0506965037335214,-0.166421648247847,0.479682910884336,-1.694444444444436,0
2125,-0.1662,0.4877,0.4268,3990,2.125,2.927742900000001,0.0510987532568871,-0.1908930845537822,0.4785745085872653,5.0814814814814975,0
2180,-0.1799,0.4988,0.3659,3990,2.18,2.9478674000000016,0.0514499920422047,-0.2053138810446338,0.4888881878818406,-1.1072727272727243,0
2234,-0.1942,0.5078,0.6707,3994,2.234,2.9840852000000013,0.0520821119000335,-0.22037201273687,0.4970016659954983,5.644444444444462,0
2287,-0.1956,0.5082,0.7317,3998,2.287,3.022865300000001,0.0527589523292861,-0.2221274988434516,0.4971780106335681,1.1509433962264175,0
2341,-0.6329,1.5998,17.6829,4002,2.341,3.977741900000006,0.0694246929495351,-0.742351817081341,1.5520425991821332,313.9111111111096,0
2396,-1.5306,2.1605,47.0122,4004,2.396,6.563412899999992,0.1145531652728692,-1.7675195689478742,1.9713881361584584,533.2600000000027,0
2449,-1.6224,2.6707,80.7317,4014,2.449,10.842192999999988,0.1892319659866813,-2.095809556858769,2.317844376005312,636.2169811320763,0
2503,-2.3691,2.3291,102.5305,4002,2.503,16.378840000000014,0.2858646856573483,-2.929733888014212,1.5665251244142655,403.68148148147947,0
2557,-2.7648,2.22,127.0122,3998,2.557,23.237498799999997,0.4055708639882312,-3.416398304586294,0.9490741090241056,453.3648148148163,0
2612,-2.7654,2.8318,154.3598,3992,2.612,31.72728780000002,0.5537456348378286,-3.841318623662014,0.9543582301774184,497.2290909090895,1
2665,-3.5033,2.5624,175.061,3988,2.665,41.00552080000001,0.7156813494550195,-4.3250245860266245,-0.3649205122560508,390.5886792452835,1
2719,-3.7019,2.308,197.3171,3982,2.719,51.66064419999998,0.9016483349913116,-4.1066358558951706,-1.4718931880663562,412.1500000000014,1
2774,-3.4657,2.545,212.7744,3982,2.774,63.36323620000002,1.1058970964088606,-3.828677614126982,-1.9568671945441056,281.0418181818174,1
2827,-3.735,1.9934,226.4024,3992,2.827,75.3625634,1.3153248640729724,-2.8725432031546863,-3.1100424604834283,257.13207547169816,1
2881,-3.8638,1.7685,246.0976,3978,2.881,88.65183379999996,1.5472663877407955,-1.858917039920973,-3.821121579941084,364.7259259259271,1
2935,-3.2922,1.8836,256.9817,3978,2.935,102.52884560000004,1.789465933988902,-1.1245650977571078,-3.6224139935830832,201.5574074074062,1
2990,-3.2984,1.2435,271.311,3976,2.99,117.45095060000008,2.049905797567211,0.4170373287574018,-3.500259229888965,260.53272727272633,1
3043,-3.5155,1.1313,281.4329,3976,3.043,132.36689430000007,2.310238126174316,1.5331544891828617,-3.3597644638126702,190.97924528301985,1
3097,-3.624,1.1181,293.9939,3976,3.097,148.24256490000002,2.587320849106379,2.4929458091391963,-2.858101608182487,232.61111111111143,1
3151,-3.7238,1.0362,309.6951,3974,3.151,164.96610029999997,2.8792016044102047,3.327563287956359,-1.96665183615328,290.7629629629644,1
3205,-4.1148,1.2058,316.8903,3986,3.205,182.07817650000004,3.177863675952366,4.155819617634422,-1.0557916393327271,133.2444444444438,1
3259,-4.4775,1.0145,334.3598,3972,3.259,200.1336057,3.4929903633530905,4.553092769294489,0.588695790878652,323.50925925926,1
3313,-4.3419,1.255,336.9208,3970,3.313,218.32732890000003,3.81053073638957,4.18442894614215,1.708120313294028,47.42592592592529,1
3367,-4.4518,1.2113,338.0793,3968,3.367,236.5836111,4.129162969952803,3.462753593268868,3.04878803499088,21.45370370370384,1
3421,-4.7949,1.0203,334.2073,3964,3.421,254.63080529999996,4.444145929489626,2.2546414834278368,4.35300699301142,-71.70370370370419,1
3475,-4.6581,0.6252,330.6403,3924,3.475,272.4853815,4.755767070727845,0.4226157649537191,4.680829687695611,-66.0555555555543,1
3529,-4.2297,0.8382,332.5305,3858,3.529,290.44202849999994,5.069169683496206,-0.691847603600326,4.256088371191614,35.003703703703685,1
3584,-3.6385,1.6455,320.1829,3846,3.584,308.052088,5.3765232032433135,-0.9469397536594032,3.8793888182211735,-224.50181818181755,1
3637,-3.5094,1.9599,303.4756,3832,3.637,324.1362948,5.657245569474974,-1.6958378498519466,3.644342239281257,-315.2320754716991,1
3691,-3.2131,2.3523,286.0366,3830,3.691,339.5822711999999,5.926828713840314,-2.190605860025815,3.325443258577803,-322.94444444444485,1
3745,-2.6725,2.624,276.7378,3874,3.745,354.5261124,6.187647945675495,-2.410003949460343,2.8669693429797167,-172.19999999999968,1
3799,-2.5886,2.9094,262.1647,3938,3.799,368.6830062,6.434732354340667,-2.998156515236016,2.4852597108044523,-269.8722222222233,1
3853,-2.9782,3.0267,255.4573,3978,3.853,382.47770040000006,6.675495187436434,-3.909120921880324,1.658119943827204,-124.21111111111009,1
3907,-2.9318,3.0213,257.1647,3998,3.907,396.3645942,6.91786720712122,-4.152255679670155,0.694606147861462,31.618518518518226,1
3961,-2.695,2.5626,258.811,4004,3.961,410.3403882,7.161790828001688,-3.6928338701180055,-0.439228605294869,30.487037037037076,1
4015,-1.7088,2.5964,265.3354,4002,4.015,424.6684997999999,7.411863551014879,-3.077867906320744,-0.4336122129746382,120.82222222222288,1
4069,-1.3953,1.6199,267.0427,4002,4.069,439.0888056,7.663545366369314,-1.854727601434525,-1.063448928946253,31.6166666666671,1
4123,-1.9939,2.0932,269.2683,4002,4.123,453.6292938,7.9173247603067,-1.9627866600418435,-2.1224024069817164,41.214814814814346,1
4176,-2.7185,2.0677,278.4756,4004,4.176,468.3885006,8.174921513949435,-1.104547707751487,-3.2319653310796723,173.7226415094337,1
4231,-2.6402,2.0353,282.1037,4004,4.231,483.9042040999999,8.445721625787643,-0.2165212776640164,-3.326592951702799,65.9654545454552,1
4285,-2.6107,1.7556,291.0671,4002,4.285,499.6218275,8.720045904706149,0.8514626338152915,-3.0286791235151216,165.98888888888766,1
4339,-3.3263,1.5141,286.9512,4002,4.339,515.1171923,8.990491039263784,2.3804423992559847,-2.7731326120155906,-76.22037037037019,1
4392,-3.9463,1.0217,298.2927,4002,4.392,530.9267054000001,9.26641909599596,3.735801729802517,-1.63123879784798,213.99056603773712,1
4447,-4.5193,0.8877,302.2256,4002,4.447,547.5491134,9.556534845205803,4.596751946733108,-0.2862783963301961,71.5072727272724,1
4501,-4.2169,1.1728,307.6829,4002,4.501,564.1639900000001,9.846519146688369,4.327490292549122,0.6561503012977414,101.0611111111112,1
4554,-4.5012,1.3869,309.6037,4002,4.554,580.5729861000001,10.132910155580277,4.321074898745184,1.8741944321319213,36.24150943396204,1
4609,-4.6008,1.1085,310.8537,4002,4.609,597.6699396,10.43130828621564,3.397150109061529,3.294769191689037,22.727272727272844,1
4663,-5.109,0.8318,314.6342,4002,4.663,614.6601864000002,10.727844033602077,2.1537175427950603,4.706938812631497,70.00925925925924,1
4717,-4.8591,1.2276,315.6098,4002,4.717,631.7031155999999,11.025299262326351,1.0826423464054358,4.893438476140242,18.06666666666661,1
4770,-4.3551,0.9701,317.3476,4002,4.77,648.5225383999999,11.318853568471358,-0.4636704138678982,4.437679547613096,32.78867924528292,1
4825,-4.0314,1.163,316.8598,4004,4.825,665.9498274000001,11.62301714121795,-1.4252555510478422,3.946314936014016,-8.869090909090684,1
4879,-3.634,1.5361,316.2195,4004,4.879,683.0256803999999,11.921046998654498,-1.9793232695609648,3.4128929963558026,-11.857407407408,1
4932,-3.2707,1.9347,315.7622,4002,4.932,699.7610770000002,12.213134770951568,-2.39947946278061,2.9466999996087275,-8.62830188679185,1
4986,-3.0379,2.0975,308.0183,4002,4.986,716.3940652,12.50343517948693,-2.899965675548557,2.284412778076721,-143.40555555555713,1
5041,-2.8101,2.5954,307.7134,4002,5.041,733.3183022000002,12.79881883852478,-3.3324011881559352,1.87826129470234,-5.543636363636884,1
5095,-2.6033,2.6021,300.6098,4004,5.095,749.5512314,13.082136900307908,-3.5480097115091227,0.9796542180978722,-131.54814814814912,1
5148,-2.4691,2.6113,304.1464,4002,5.148,765.6709906,13.363479772976554,-3.59331647128393,0.0584742438994012,66.72830188679293,1
5202,-2.5911,2.4711,303.6281,4002,5.202,782.066908,13.649642515491582,-3.3969803644091465,-1.1316619741860654,-9.598148148148296,1
5257,-2.4219,2.9006,297.3171,4002,5.257,798.4193485,13.935046442953048,-3.327742196994081,-1.7903105429910782,-114.7454545454558,1
5310,-2.5064,2.5743,304.9085,4004,5.31,814.5794989999999,14.217094276795857,-2.3659649296109766,-2.703936279177253,143.23396226415153,1
5364,-2.7866,2.4501,309.2683,4004,5.364,831.2799872,14.50857278257632,-1.2717184309140672,-3.4858086296401103,80.73703703703676,1
5419,-2.2834,2.7808,311.2805,4004,5.419,848.4004146999999,14.8073806118003,-0.7609404706390683,-3.5167788955439883,36.58545454545487,1
5473,-2.6494,3.0315,308.75,4002,5.473,865.0729147000001,15.098370631339057,0.4365581963605183,-4.00234050915092,-46.86111111111121,1
5526,-3.0676,2.9519,313.4147,4002,5.526,881.6838938000001,15.38828690861402,1.9845245927390132,-3.766370336386752,88.01320754716959,1
5580,-3.4022,3.2824,315.1829,3748,5.58,898.7037704000002,15.68533979356716,3.3270764195344733,-3.3585230531556087,32.744444444444945,1
5635,-3.9878,2.5009,319.1159,3624,5.635,916.2551449,15.991669066842732,4.528426567170973,-1.2846799117835217,71.50909090909114,1
5689,-4.5305,2.6874,317.5305,3694,5.689,933.4017919000004,16.290934512669942,5.261632352234051,0.2505474005532013,-29.35925925925898,1
