t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
1092,-0.0446,0.1773,-0.6402,1982,1.092,-0.0345708,-0.0006033742850484,-0.0444930136272024,0.1773268782175155,-23.148148148148127,0
1145,-0.0544,0.2567,-10.122,1968,1.145,-0.5710367999999993,-0.0099664723100523,-0.0518389471430976,0.2572294181447664,-178.90188679245304,0
1200,-0.0598,0.7374,-13.7805,1968,1.2,-1.3289642999999984,-0.0231948026764616,-0.04268160066183,0.7385885735407394,-66.5181818181819,0
1254,-0.2504,1.098,-42.7439,1968,1.254,-3.6371349,-0.0634799793441947,-0.1802414356898662,1.1116731465950125,-536.3592592592587,0
1308,-0.1644,1.9467,-66.7073,1968,1.308,-7.239329100000004,-0.1263501284304379,0.082222394776307,1.9518984932104564,-443.7666666666664,0
1361,-0.2732,2.4805,-83.2012,1968,1.361,-11.6489927,-0.203313277155784,0.2332784280948812,2.484572330399254,-311.2056603773588,0
1416,-0.4633,2.4427,-95.0915,1966,1.416,-16.879025199999994,-0.2945945642670943,0.2659015888228925,2.4719883747828306,-216.1872727272729,0
1470,-0.2251,3.0047,-114.4512,1968,1.47,-23.05939,-0.4024622790014552,0.9697817630089168,2.85279081464718,-358.5129629629627,1
1523,0.2174,3.2939,-132.7744,1968,1.523,-30.096433199999996,-0.5252818524465329,1.8398395176172624,2.7408083696993266,-345.72075471698184,1
1577,0.5388,3.6412,-144.8476,1968,1.577,-37.9182036,-0.661797499261567,2.662701341986227,2.541390257985724,-223.57777777777733,1
1632,0.9482,3.4909,-163.2012,1968,1.632,-46.89426959999999,-0.818459404837884,3.196634353327793,1.6932202636174072,-333.70181818181857,1
1686,1.6659,3.3817,-176.2195,1968,1.686,-56.4101226,-0.984542370823664,3.738670164690266,0.4831801937733568,-241.0796296296296,1
1739,1.4467,3.3461,-198.3537,1968,1.739,-66.92286870000002,-1.1680244036948575,3.645401381298723,-0.0193615398500643,-417.6264150943383,1
1794,2.1912,3.3525,-213.2927,1968,1.794,-78.65396720000001,-1.3727706973956255,3.718065192880864,-1.4888266895403843,-271.618181818182,1
