t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
10061,-4.094,1.6147,278.6585,3660,10.061,15.047559000000076,0.2626294489381067,-4.372829031647277,0.4964457170554877,-68.8814814814814,1
10116,-4.2425,1.9272,280.0305,3622,10.116,30.4492365,0.5314394316434343,-4.6340243547695605,-0.4885942789294173,24.94545454545493,1
10170,-4.2502,1.8013,279.3598,3614,10.17,45.53466570000008,0.7947298402599299,-4.262711564649724,-1.7714885962380638,-12.420370370370508,1
10223,-4.2443,2.1325,276.7378,3566,10.223,60.20176910000031,1.0507190863203888,-3.959735412811062,-2.6233822063378422,-49.47169811320705,1
10277,-3.881,1.5326,268.2927,3546,10.277,74.6895748999999,1.3035789989199127,-2.502979510274248,-3.338580136996458,-156.39074074074452,1
10332,-5.2452,0.9857,261.0976,3538,10.332,89.04994290000029,1.554214702317953,-1.0725344450408056,-5.228135173673402,-130.8199999999969,1
10385,-4.6913,0.8753,251.5244,3504,10.385,102.38073610000004,1.7868809355604194,0.1509028847193771,-4.769871497156226,-180.6264150943426,1
10439,-4.0796,0.7797,246.6159,3470,10.439,115.69799470000012,2.019310945469951,1.0664453554451012,-4.014195131511369,-90.89814814814775,1
10493,-4.0619,0.9743,232.7744,3436,10.493,128.26781230000017,2.238695648965084,1.750742541967723,-3.7925179830482536,-256.3240740740727,1
10548,-4.3284,1.0935,229.2073,3430,10.548,140.87421380000012,2.4587188619684346,2.667784518311302,-3.579624920834379,-64.85636363636416,1
10601,-3.9578,1.6137,229.1463,3414,10.601,153.0189677000003,2.67068480436786,2.794891816288427,-3.2336957595364435,-1.15094339622653,1
10655,-3.8428,2.0829,223.2927,3396,10.655,165.07677349999997,2.881133216143924,3.1767913098712564,-3.002262683964624,-108.40000000000305,1
10710,-3.5344,2.2582,222.8659,3388,10.71,177.3343980000003,3.0950691221420525,3.425554149609397,-2.4201300312367198,-7.759999999999533,1
10763,-4.0342,2.1681,215.2134,3376,10.763,188.7407082000001,3.294146790635862,4.316818672963021,-1.529870515683527,-144.38679245283285,1
10817,-4.1721,2.1448,215.0305,3372,10.817,200.35235520000015,3.4968082623651853,4.657587554276917,-0.559878222692016,-3.3870370370373504,1
10871,-4.0282,2.0894,209.6646,3352,10.871,211.67424360000024,3.694412492488539,4.525309722592237,0.3369859264304322,-99.36851851851767,1
10926,-4.3991,2.2188,201.7988,3364,10.926,222.77317760000017,3.888125434250082,4.735931998794709,1.3587134917974235,-143.01454545454632,1
10979,-4.4262,2.0877,192.4085,3352,10.979,232.9708281,4.066108011442725,4.332224542606795,2.2763058323598218,-177.17547169811633,1
11033,-3.8694,2.6963,186.4024,3352,11.033,243.03655770000003,4.241788134578178,4.157672133064677,2.226219325209762,-111.22407407407358,1
11087,-4.6776,2.4712,180.4878,3366,11.087,252.78289890000008,4.411893878540954,3.745003276742071,3.7365387268421495,-109.5296296296292,1
11141,-4.7903,2.5487,176.8598,3378,11.141,262.33332810000013,4.578580313059563,3.1649896881615067,4.407458003637848,-67.1851851851846,1
11195,-4.0918,2.9167,173.9329,3456,11.195,271.72570470000016,4.742508209316834,2.792153903349203,4.17777963875691,-54.20185185185191,1
11249,-4.2043,2.8859,164.7256,3474,11.249,280.62088710000023,4.897758429762286,2.0615662800205845,4.664172142308009,-170.50555555555476,1
11303,-4.8019,2.8139,165.9756,3486,11.303,289.5835695000003,5.054186747452834,1.041618452325888,5.467294378371648,23.14814814814803,1
11357,-4.6483,2.7419,167.2561,3474,11.357,298.61539890000006,5.211821907961254,0.1807885440658925,5.393702253771016,23.712962962963957,1
11411,-4.4613,2.7107,168.8415,3474,11.411,307.7328399000001,5.37095127276758,-0.5864091775400544,5.187216638670184,29.35925925925898,1
11465,-3.8569,2.1092,161.9817,3482,11.465,316.4798517000001,5.523615428388376,-1.3443472287776606,4.185347390417888,-127.03333333333283,1
11518,-3.6534,2.0422,162.4085,3474,11.518,325.0875022000003,5.673847270474315,-1.8270852242164848,3.765590522540893,8.052830188679389,1
11573,-4.059,2.2811,163.3232,3472,11.573,334.07027820000025,5.83062628764344,-2.6529319361053294,3.826336413907228,16.630909090909366,1
11627,-4.5166,2.4416,165.6098,3474,11.627,343.0132074000003,5.986709846956183,-3.6062338357102983,3.654608548419131,42.3444444444441,1
11681,-3.9724,2.3891,162.0427,3490,11.681,351.76351320000003,6.139431493722535,-3.5891649204906395,2.9335397975005253,-66.05740740740944,1
11735,-4.2706,2.6535,166.128,3498,11.735,360.7344252000001,6.296003445029206,-4.304261162445454,2.598542371304286,75.65370370370313,1
11789,-4.1903,2.4369,169.3598,3628,11.789,369.8798544000001,6.455621296077237,-4.546286590236664,1.6817770183452634,59.84814814814824,1
11843,-4.4842,1.7838,172.1646,3716,11.843,379.17674280000017,6.617882608847705,-4.821319255419856,0.2118318137526278,51.94074074074049,1
11896,-4.2851,2.0227,179.6951,3832,11.896,388.7005831000003,6.784104979516832,-4.730004207904773,-0.2836503009043769,142.08490566037494,1
11951,-3.4984,1.9855,178.5366,3906,11.951,398.5200961000003,6.955487812309218,-3.973660101043184,-0.6253304817274432,-21.06363636363654,1
12005,-3.4251,1.7402,187.6219,3972,12.005,408.65167870000033,7.132317287116987,-3.5691217647057663,-1.4216103118307757,168.24629629629578,1
12059,-3.8414,1.7173,200.6707,4004,12.059,419.4878965,7.321444966190198,-3.429848622074241,-2.437542139052253,241.6444444444512,1
12112,-3.9623,1.8546,215.061,4004,12.112,430.8861295000002,7.520381660949671,-3.049797143423267,-3.1365745382450707,271.5150943396184,1
12167,-3.9212,1.6977,227.8049,4004,12.167,443.41539900000015,7.739058666594374,-2.1361459747597227,-3.7006587392676233,231.70727272727385,1
12221,-4.1372,1.8442,240.9146,4002,12.221,456.4247874000002,7.966115327845133,-1.3696697791833097,-4.3175805928774444,242.77222222222107,1
12274,-4.0802,1.9982,252.8354,4012,12.274,469.8250636,8.199994268211764,-0.4959740197089131,-4.516065217838841,224.9207547169849,1
12328,-4.6648,2.3058,266.372,4004,12.328,484.2091516000001,8.45104396370837,0.7157474039241276,-5.154103058125232,250.67777777777687,1
12383,-4.5487,2.0343,272.1647,4004,12.383,499.1782101,8.712303320457012,2.112373719292475,-4.512973016764279,105.32181818181814,1
12437,-4.0604,2.2935,288.1098,4002,12.437,514.7361393000001,8.983840409789183,2.6931933622875626,-3.807059222461638,295.27962962962863,1
12490,-4.4957,2.101,291.4634,4002,12.49,530.1836995000003,9.25345119667922,4.071681259268601,-2.836711337609249,63.27547169811169,1
12545,-4.8899,1.8422,290.9147,4004,12.545,546.1840080000003,9.532709261339054,5.059891241400977,-1.3047311888636977,-9.976363636363626,1
12599,-5.0875,1.2703,300.3964,4004,12.599,562.4054136000004,9.815826198360504,5.187629412151973,0.7647348705111972,175.58703703703702,1
12652,-4.59,1.4247,297.5305,4002,12.652,578.1745301000002,10.091049201416062,4.488893238881789,1.7168889247477148,-54.07358490566155,1
12706,-4.4123,1.2345,303.7805,4002,12.706,594.5786771000003,10.377355577547217,3.563309685193903,2.880139862472537,115.74074074074016,1
12761,-4.4904,1.4478,304.5122,4002,12.761,611.3268481000002,10.669666305184244,2.809275746090167,3.790486351700733,13.303636363636238,1
12815,-4.6122,1.3847,307.2866,4004,12.815,627.9203245000003,10.959277102716223,1.5511610573277972,4.558912403658323,51.37777777777779,1
12868,-4.5234,1.0063,305.3964,3896,12.868,644.1063337000006,11.24177625601432,-0.1264980037139949,4.632254905017249,-35.66415094339554,1
12922,-4.9442,0.4866,306.4634,3822,12.922,660.6553573000007,11.530611205824568,-2.1023155356260155,4.501351195881687,19.759259259258243,1
12977,-5.3244,0.6632,302.6524,3822,12.977,677.3012393000006,11.821136653623023,-3.4633124198200145,4.098113795726082,-69.29090909090905,1
13030,-4.6924,1.2746,298.4756,3896,13.03,693.1204461000003,12.097233897336896,-3.609160443721109,3.258402033432776,-78.807547169813,1
13084,-4.0311,1.9736,294.1769,3924,13.084,709.0059987000004,12.374489093705645,-3.5807400499052915,2.706134672370216,-79.6055555555551,1
13138,-4.501,2.2191,302.1037,3966,13.138,725.3195985000006,12.659215123068334,-4.687349765224724,1.7922494213830085,146.79259259259211,1
13193,-4.0811,2.4116,301.372,3988,13.193,741.8950585000005,12.948511475100952,-4.686028157460261,0.7157736216776853,-13.303636363636238,1
13246,-3.5799,2.4838,309.2988,3990,13.246,758.2878949000008,13.234620444021733,-4.348884933388257,-0.2686006071262925,149.56226415094133,1
13300,-3.4946,2.2274,304.1464,3990,13.3,774.7118005000009,13.521271672778468,-3.836923726724093,-1.5657446264642592,-95.41481481481432,1
13355,-3.7347,2.5744,312.1037,3994,13.355,791.8775040000008,13.82086971727458,-3.608370447308519,-2.748669162520385,144.6781818181821,1
13408,-3.9713,2.4766,311.6464,3996,13.408,808.3947632000005,14.1091502737199,-2.586876116560145,-3.900364496758053,-8.628301886792139,1
13462,-4.3473,2.294,310.9756,3994,13.462,825.1874456000006,14.402237871841606,-1.074983823317735,-4.796442751623872,-12.422222222222947,1
13516,-5.1533,1.8141,321.6464,3996,13.516,842.5563512000007,14.705382462029688,1.2441022926406329,-5.319743338305554,197.6074074074072,1
13571,-5.042,1.921,324.1159,3996,13.571,860.3827257000006,15.016511390748244,2.659020940424183,-4.69484958634307,44.89999999999991,1
13624,-4.9626,1.6278,320.9147,4000,13.624,877.3912048000009,15.313365351799892,3.955443612383098,-3.410512780984372,-60.3999999999996,1
13678,-4.6878,1.5225,322.5,4000,13.678,894.806204800001,15.617314441034706,4.530728963917718,-1.9406107661035692,29.357407407407592,1
13732,-4.7487,1.4929,321.0366,4002,13.732,912.1421812000004,15.919884308262729,4.956479296332654,-0.4606680855298746,-27.10000000000036,1
13786,-5.0267,1.4327,317.5305,4004,13.786,929.2888282000006,16.21914975408994,5.085004795364046,1.2095736484913375,-64.92777777777752,1
13840,-5.0159,1.2535,318.9024,4002,13.84,946.5095578000008,16.519708185205587,4.361511425529284,2.7762804514273265,25.4055555555551,1
13894,-5.1399,1.4079,311.372,4004,13.894,963.3236458000008,16.813169381525658,3.565598026755521,3.960715229803468,-139.4518518518509,1
13948,-5.0155,1.3672,311.311,4002,13.948,980.1344398000008,17.10657308670017,2.206322902226427,4.707081403705609,-1.1296296296302808,1
14002,-5.3364,0.8122,317.8354,3892,14.002,997.297551400001,17.406125894007403,0.1277797078289656,5.396341922660863,120.82222222222188,1
14056,-5.8732,0.8202,313.2927,3824,14.056,1014.2153572000004,17.701397307430387,-1.660964975106563,5.692837748563474,-84.12407407407582,1
14110,-5.4025,1.0277,306.6464,3826,14.11,1030.7742628000003,17.990404730677316,-2.750001997288199,4.762421921135393,-123.07962962962895,1
14163,-4.8597,1.6242,307.6524,3832,14.163,1047.0798400000008,18.27499073925544,-3.196667894937153,4.004500480644007,18.98113207547087,1
14218,-5.1624,1.5733,307.3476,3852,14.218,1063.9839580000007,18.570023255501077,-4.5279351066995925,2.9365711841393094,-5.541818181818214,1
14272,-5.2686,1.6,301.1585,3870,14.272,1080.2465170000007,18.85385845485091,-5.275435266519287,1.577316933518618,-114.61296296296231,1
14326,-4.8202,2.2741,301.8598,3874,14.326,1096.5469462000008,19.138354613879137,-5.268245280238022,0.8071248461358365,12.987037037037034,1
14380,-4.2684,2.3158,304.8781,3876,14.38,1113.0103636000008,19.42569545363926,-4.840987256167399,-0.3834195947324939,55.89444444444436,1
14434,-3.996,1.8335,302.4695,3894,14.434,1129.3437166000003,19.710766241379748,-3.994424114436277,-1.836930658465357,-44.603703703705605,1
14488,-3.7872,1.8532,302.2561,3894,14.488,1145.6655460000004,19.99563590435856,-3.249116164635407,-2.687094756182763,-3.951851851851438,1
14542,-3.0925,1.7043,303.2622,3806,14.542,1162.0417048000004,20.281453794248,-2.1160496913998754,-2.8267522784153707,18.63148148148145,1
