t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
1095,0.0559,0.1795,-0.2134,2578,1.095,-0.0113101999999999,-0.000197400229059,0.0559354322517625,0.1794889618299924,-14.381132075471715,0
1149,0.1472,0.2231,-7.2866,2480,1.149,-0.4047866000000003,-0.0070648589379532,0.1487724833924142,0.2220544937290255,-130.98518518518506,0
1204,0.0723,0.3518,-2.561,2394,1.204,-0.5456416000000002,-0.0095232424558498,0.075646947559235,0.3510955273497091,85.9200000000001,0
1258,0.1814,0.3882,-2.7744,2276,1.258,-0.6954592000000003,-0.0121380528532857,0.1860985135357052,0.3859696144255412,-3.951851851851849,0
1311,0.1939,0.4705,-4.7866,2172,1.311,-0.949149,-0.0165657751420116,0.2016672358360218,0.467223486128703,-37.9660377358491,0
1366,0.1829,0.5124,-4.6951,2100,1.366,-1.2073795000000007,-0.0210727475960828,0.1936562689012554,0.508432315569383,1.6636363636363571,0
1420,0.223,0.5469,-3.1098,2042,1.42,-1.3753087000000002,-0.0240036650463229,0.2360621032829422,0.541390148962496,29.357407407407504,0
1473,0.1808,0.5754,-2.2866,2002,1.473,-1.4964985000000006,-0.0261188260761563,0.1957653970802173,0.57048199735489,15.532075471698066,0
1527,0.2404,0.5843,-3.5366,1978,1.527,-1.6874749,-0.029451993049762,0.2575020554361921,0.5769673660148694,-23.148148148148223,0
1582,0.1449,0.602,-1.4939,1986,1.582,-1.7696394000000002,-0.0308860341030169,0.1634213285119836,0.5972382099191061,37.13999999999989,0
1636,0.1762,0.6257,0.4268,1974,1.636,-1.7465922000000005,-0.0304837845796513,0.195188888508125,0.6200388921696467,35.56851851851864,0
1689,0.2052,0.6438,0.1524,1974,1.689,-1.7385150000000005,-0.0303428108453092,0.224637249051516,0.6372782644485587,-5.1773584905660215,0
1743,0.1814,0.6673,0.2439,1994,1.743,-1.7253444000000002,-0.030112940510846,0.2014090888839855,0.661535810757757,1.6944444444444429,0
1798,0.2217,0.6674,0.7012,2018,1.798,-1.6867784000000003,-0.0294398368315219,0.241249241837624,0.6605849327018983,8.314545454545465,0
1852,0.2027,0.6838,0.6098,2020,1.852,-1.6538492000000002,-0.0288651138714742,0.2223507856214102,0.6776650043594856,-1.6925925925925918,0
1906,0.2288,0.6835,0.8232,2022,1.906,-1.6093964000000005,-0.0280892661497436,0.2479062323690877,0.6768043956362605,3.951851851851865,0
1959,0.2261,0.6919,0.7927,2026,1.959,-1.5673833,-0.027355999225774,0.244940659433458,0.6854567042171975,-0.5754716981132074,0
2014,0.2407,0.6929,0.6098,2026,2.014,-1.5338443000000004,-0.0267706332479476,0.259160910538111,0.6862088038265446,-3.3254545454545617,0
2068,0.2443,0.6951,0.6098,2028,2.068,-1.5009151000000005,-0.0261959102878999,0.2624228770795057,0.6884625869176296,0.0,0
2122,0.2543,0.7031,0.6402,2032,2.122,-1.4663443000000005,-0.0255925360028514,0.272208871942586,0.6963622836108693,0.5629629629629644,0
2176,0.2447,0.7123,0.7012,2034,2.176,-1.4284795000000003,-0.0249316705722423,0.2623809418493754,0.7059784850505252,1.1296296296296249,0
2230,0.2431,0.7173,0.5488,2032,2.23,-1.3988443000000004,-0.0244144387577553,0.2605382891307872,0.7111516715137512,-2.822222222222233,0
2284,0.2204,0.7372,0.6098,2032,2.284,-1.3659151000000005,-0.0238397157977076,0.2379103466026615,0.7317367470473254,1.1296296296296342,0
2338,0.4138,1.3406,-17.378,2032,2.338,-2.3043271000000054,-0.0402180949379327,0.4673672296939051,1.32287817753875,-333.10740740740573,0
2392,0.4412,2.0694,-40.5183,2032,2.392,-4.492315299999999,-0.0784056930227168,0.6019311185763435,2.02848532863549,-428.52407407407554,0
2446,-0.1211,2.3915,-62.4695,2032,2.446,-7.865668300000015,-0.1372818097047453,0.2073185352001494,2.385572569628194,-406.5037037037016,0
2500,0.4748,3.0116,-80.2134,2030,2.5,-12.1971919,-0.2128811581525829,1.1003634729923522,2.8433026267536503,-328.5907407407417,1
2553,0.3693,3.4297,-102.3171,2028,2.553,-17.619998199999994,-0.3075269827854742,1.3901533170149476,3.157007813609643,-417.05094339622696,1
2608,0.2505,3.7201,-109.4817,2024,2.608,-23.64149170000001,-0.4126218702479117,1.7212828803207083,3.3074279290582957,-130.2654545454543,1
2643,0.4192,3.793,-116.372,2022,2.643,-27.71451169999997,-0.4837094797474905,2.135104044350227,3.1628955657434066,-196.86571428571588,1
2698,0.8357,3.7153,-127.8049,2000,2.698,-34.743781199999994,-0.6063933765325064,2.804079671749256,2.576622939912354,-207.87090909090853,1
2752,0.8376,3.9065,-134.939,1998,2.752,-42.03048719999997,-0.7335703878573319,3.237662880268332,2.340909029358589,-132.1129629629632,0
2805,0.185,4.1461,-147.1951,1994,2.805,-49.83182750000002,-0.869729462160855,3.2875919639297964,2.5330040048733085,-231.2471698113192,1
2860,1.1536,3.5175,-164.5122,1988,2.86,-58.87999849999998,-1.027649837394322,3.6075026605518463,0.8303756764930846,-314.8563636363655,1
2914,1.4142,2.9782,-176.6159,1986,2.914,-68.41725710000003,-1.194106401578468,3.2895961002895904,-0.2195321775037131,-224.14259259259157,1
2968,1.7653,3.1727,-190.9146,1982,2.968,-78.72664549999999,-1.3740391730253774,3.4565835530823548,-1.111008335054497,-264.7907407407415,1
3021,1.917,3.1372,-203.9024,1982,3.021,-89.53347269999998,-1.5626538893594568,3.152704883598509,-1.8913922800239276,-245.0528301886794,1
3076,3.4767,2.6074,-226.2195,1982,3.076,-101.9755452,-1.7798090202562995,1.8292581801741932,-3.942054307117775,-405.7654545454536,1
3130,3.3397,2.5988,-232.1342,1980,3.13,-114.51079199999997,-1.998590349466382,0.9790809055465072,-4.116886944087029,-109.5314814814815,1
3183,3.1142,2.3864,-243.5366,1980,3.183,-127.41823179999994,-2.22386767197934,0.0030527624717995,-3.9234088852223,-215.1396226415097,1
3237,2.5507,2.4703,-259.8476,1980,3.237,-141.45000220000003,-2.4687682653432232,-0.4553279186152745,-3.521523685356877,-302.0555555555542,1
3292,4.4812,3.8088,-265.4878,1980,3.292,-156.05183119999995,-2.723618258206413,-2.5493968220579406,-5.299876104559509,-102.5490909090913,1
3346,5.678,4.1077,-276.0061,1980,3.346,-170.95616060000003,-2.983747879038205,-4.961723188953747,-4.949160159683525,-194.78333333333256,1
3399,5.2161,4.0652,-276.7073,1982,3.399,-185.6216475,-3.2397089118513014,-5.589235519177383,-3.5346847895061195,-13.230188679244764,1
3453,4.6154,4.4952,-282.6524,1982,3.453,-200.8848771,-3.506102522859158,-5.914661943119064,-2.554508621754686,-110.09444444444526,1
3508,4.0342,4.075,-290.8842,1982,3.508,-216.88350810000003,-3.785331309620792,-5.672559256111319,-0.8381325228779759,-149.66909090909087,1
3561,4.0184,4.3336,-288.8415,1982,3.561,-232.1921076,-4.052516774764949,-5.887192910518202,0.5182539477362638,38.54150943396278,1
3615,3.4091,4.1597,-287.5,1982,3.615,-247.71710760000008,-4.32347914113707,-5.141728148494597,1.5772439719264493,24.8425925925924,1
3670,3.4259,4.3113,-280.5488,1986,3.67,-263.1472916,-4.592786656125617,-4.689270198537314,2.8870129035232632,126.38545454545468,1
3724,2.6153,4.1103,-269.5427,1992,3.724,-277.7025974000001,-4.846824665970247,-3.722681714352975,3.142610544375805,203.81666666666567,1
3777,2.0223,3.9998,-264.0244,2012,3.777,-291.6958906000001,-5.091053705507179,-2.968846421784458,3.3576849545270946,104.11886792452864,1
3831,1.3976,4.6077,-250.0915,2012,3.831,-305.2008316000001,-5.326759391244755,-2.9594816168959,3.798111847912753,258.01666666666785,1
3867,1.3872,4.0438,-237.6524,2014,3.867,-313.7563180000001,-5.476080798034351,-1.9614096172560824,3.798620090682319,345.5305555555552,1
3921,0.8349,5.1566,-231.0976,2014,3.921,-326.23558840000004,-5.693885154761021,-2.1718545350759504,4.75085565435007,121.38518518518558,1
3976,0.5396,4.5251,-155.6707,2014,3.976,-334.79747690000005,-5.843318299274659,-1.438639614835762,4.324120052522272,1371.3981818181776,1
4029,0.8473,3.9285,-97.1646,2018,4.029,-339.94720070000005,-5.933197935152974,-0.5510932667170064,3.980869974186444,1103.8886792452847,1
4083,-0.1965,4.9768,-55.6402,2016,4.083,-342.95177150000006,-5.985637588222254,-1.6469465967688894,4.700501823996175,768.9703703703664,1
4137,0.0592,4.6235,-74.5427,2018,4.137,-346.9770773,-6.055892427831877,-0.9841860861446442,4.517923708722768,-350.0462962963002,1
4191,0.3438,4.7968,-92.2256,2018,4.191,-351.95725970000007,-6.142813008061751,-0.3307103627121916,4.797720222771933,-327.4611111111095,1
4245,0.4733,5.274,-107.2256,2014,4.245,-357.7474421000001,-6.243870755232779,0.2656427349634084,5.288527472497534,-277.7777777777764,1
4299,0.382,5.2544,-118.2622,2012,4.299,-364.13360090000015,-6.35533025284799,0.7597559408474133,5.213196166493935,-204.3814814814806,1
4354,0.8208,5.1899,-120.6098,2006,4.354,-370.7671399000001,-6.471107349457442,1.775915802338775,4.945189350571263,-42.68363636363658,0
4407,1.3045,5.1968,-136.0366,1986,4.407,-377.9770797000001,-6.596944537838023,2.8447366215080816,4.540476191353807,-291.0716981132076,1
4461,1.8002,5.1429,-143.6585,1984,4.461,-385.7346387000001,-6.732339484305742,3.85471311071484,3.851146229901316,-141.1462962962958,1
4515,1.5302,4.6942,-168.0183,1980,4.515,-394.8076269,-6.890693001390334,3.935962973035106,2.9808088088464606,-451.1074074074127,1
4569,1.8088,4.6321,-166.8293,1992,4.569,-403.8164091,-7.047925912375392,4.5121950494108765,2.09002480513318,22.018518518518803,1
4623,1.7497,4.4115,-183.689,1978,4.623,-413.7356151000001,-7.22104871625897,4.591944063132377,1.1986792986713817,-312.2166666666652,1
4677,1.8618,4.4443,-188.4756,1978,4.677,-423.9132975,-7.398682784361246,4.8102483155138005,0.2821575324116738,-88.64074074074162,1
4731,2.303,4.2794,-206.0061,1974,4.731,-435.0376269,-7.592838959467652,4.7289087147172255,-1.120042734841613,-324.6388888888876,1
4785,2.2657,3.9024,-215.7927,1974,4.785,-446.6904327000001,-7.796218787773146,4.026692055928243,-2.0366328428866063,-181.2333333333323,1
4839,2.3589,3.8095,-231.4329,1974,4.839,-459.18780930000014,-8.01433915730484,3.3839768233266847,-2.9369031851914773,-289.63333333333173,1
4893,2.2338,3.3723,-231.1585,1974,4.893,-471.6703683,-8.23220091092929,2.3090914005139003,-3.321199577573253,5.081481481481276,1
4946,2.5154,3.36,-247.7439,2284,4.946,-484.800795,-8.461370089036063,1.3234331672056447,-3.983134671579664,-312.93207547169834,1
5001,4.2092,3.6701,-207.2256,3180,5.001,-496.1982030000001,-8.660292384829207,-0.4976240358386889,-5.562316870599481,736.6963636363557,1
5054,4.1388,3.5878,-180.4573,3964,5.054,-505.76243990000006,-8.827219809174942,-1.4030077314306229,-5.294671244331029,505.0622641509437,1
5108,4.1897,3.4319,-185.8842,3998,5.108,-515.8001866999999,-9.002411540316464,-2.414710587441827,-4.847751693197203,-100.4981481481491,1
5163,4.4411,2.9285,-198.8415,3942,5.163,-526.7364692000001,-9.193285677869705,-3.650747618176759,-3.869305272058115,-235.5872727272702,1
5216,4.1519,2.3519,-209.9695,3726,5.216,-537.8648527000001,-9.387512610369315,-4.06139335504993,-2.5049533399958324,-209.96226415094392,1
