t,ax,ay,yawRate,steer,gas,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,x_world,y_world
1287.0,-0.0709,0.0959,11.4939,3722.0,2886.0,1.287,0.0,0.0,-0.0709,0.0959,0.0,0.0,0.0
1467.0,-0.1065,0.1322,-0.5183,3762.0,2874.0,1.467,-0.09329400000000009,-0.0016282874723555912,-0.10628459930851118,0.13237323728695777,-66.73444444444438,-0.003443621017595768,0.004288892888097439
1647.0,-0.1202,0.1321,-0.2134,3790.0,2902.0,1.647,-0.13170600000000007,-0.002298703344631653,-0.1198960239851102,0.13237595488819667,1.6938888888888892,-0.0107718732123091,0.012866766714572441
1827.0,-0.143,0.1229,0.3963,3842.0,3746.0,1.827,-0.060372000000000106,-0.0010536901760140184,-0.14287042211753453,0.12305060944163379,3.3872222222222237,-0.02272912708363055,0.025431480286956375
2008.0,-0.148,0.0644,-0.2744,3872.0,3984.0,2.008,-0.11003840000000012,-0.0019205323836265305,-0.14787604484570777,0.06468411985016279,-3.7055248618784518,-0.039597377248316246,0.040185114274042526
2727.0,-2.367,-0.4815,165.2744,4002.0,4002.0,2.727,118.72225519999999,2.072094248632959,1.5597514167701445,-1.8443716458142398,230.24867872044516,0.6997262480193067,-0.8546761191193074
3447.0,-2.981,-3.5154,345.0305,4004.0,4002.0,3.447,367.1442152000001,6.4078753848906125,-2.520655751702598,-3.858846037536171,249.66124999999994,0.1333701981206692,-3.751207729794766
4167.0,-2.6056,-3.6033,260.0,4004.0,4002.0,4.167,554.3442152,9.675131744623997,1.6316641964825056,4.136495400688498,-118.09791666666673,0.41286886767856223,-4.503380124753306
4886.0,-3.7858,-3.6996,318.3537,3224.0,4002.0,4.886,783.2405255000001,13.670126005025608,1.5988478155050005,-5.0460883328430635,81.15952712100136,1.5185213101911286,-7.863138706464845
5606.0,-3.8987,-3.7521,109.1464,3182.0,2884.0,5.606,861.8259335,15.041700118648698,5.3839065157070305,0.5400617836205237,-290.56569444444455,5.416728654622173,-10.947602080940705
6326.0,-3.0165,-2.961,6.5854,3258.0,2886.0,6.326,866.5674215,15.1244546956925,4.148752777806589,0.8091005120762871,-142.44583333333338,11.465649439068152,-13.612627749956216
