t,ax,ay,yawRate,steer,gas,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,x_world,y_world
1286.0,-0.0989,0.0704,13.1098,4002.0,2886.0,1.286,0.0,0.0,-0.0989,0.0704,0.0,0.0,0.0
1466.0,-0.1136,0.064,1.8598,4004.0,2874.0,1.466,0.33476399999999984,0.005842734017146294,-0.11397199384276316,0.06333517679382569,-62.50000000000002,-0.003692692600505524,0.0020520597281199512
1646.0,-0.1551,0.0445,-0.3049,4004.0,3222.0,1.646,0.27988199999999985,0.004884862417066767,-0.15531552502787999,0.04374182992644436,-12.026111111111115,-0.012417608211914354,0.0055213547458566985
1808.0,-0.2117,0.0471,-0.5488,4004.0,3682.0,1.808,0.19097639999999977,0.0033331669736056946,-0.21185581588112903,0.04639410821797482,-1.505555555555554,-0.025829976294166675,0.00986128723789231
2007.0,-0.2445,0.0219,-0.122,3964.0,4002.0,2.007,0.16669839999999975,0.002909435937806511,-0.24456268173393989,0.02118855122710455,2.144723618090451,-0.05199058977183472,0.016031526696488024
2168.0,-0.2785,0.0175,-0.3049,3966.0,4002.0,2.168,0.11760949999999973,0.0020526730066242663,-0.27853533502738986,0.016928294101288037,-1.1360248447204968,-0.08037562363783625,0.021462327785947363
2349.0,-2.5121,-3.9087,48.689,3968.0,4002.0,2.349,8.930318500000002,0.15586346107676127,-1.8748881574560028,-4.25127939531516,270.6845303867403,-0.17370995959373237,-0.11170840171880411
2528.0,-2.478,-3.6221,138.5366,3968.0,4002.0,2.528,33.728369899999976,0.5886711060855502,-0.04970743638852859,-4.388350667479489,501.94189944134126,-0.2676056528896063,-0.3840147751867323
2708.0,-2.818,-4.9696,180.7012,3994.0,4002.0,2.708,66.2545859,1.1563606685004104,3.4141583895915355,-4.580564446744716,234.2477777777776,-0.2514071713085015,-0.8062527013854355
2888.0,-3.1096,-7.511,241.4634,4000.0,4004.0,2.888,109.71799789999993,1.914940312051223,8.11974056733157,-0.3931237454415495,337.56777777777836,0.027870904654145323,-1.2412278369364438
3068.0,-2.6375,-7.8207,290.6708,1982.0,4002.0,3.068,162.0387419,2.828109561944292,4.920661416304677,6.626224110765531,273.37444444444407,0.4665784105050646,-1.4615133112986496
3248.0,-2.8048,-8.8902,291.25,4004.0,4002.0,3.248,214.46374190000003,3.74309842230232,-2.718313237904514,8.917024852529742,3.217777777777855,0.8172125674478774,-1.3928871804388914
3428.0,-2.7586,-8.3236,234.5732,4002.0,4002.0,3.428,256.68691789999997,4.480031864151369,-7.464686092383441,4.601157730634458,-314.87111111111153,0.9259908949974667,-1.1751835391065772
3608.0,-3.5802,-7.3604,234.5122,4002.0,4002.0,3.608,298.89911390000003,5.21677366884855,-8.174023231047856,-0.4226871399628469,-0.33888888888892776,0.7699308698611051,-0.9711749611090589
3787.0,-3.2817,-7.2947,248.4451,4004.0,4002.0,3.787,343.3707868,5.992950784823484,-5.232023735994532,-6.050465321443452,77.83743016759779,0.44709857233938993,-0.9621627234647853
3968.0,-3.1181,-7.0893,250.8842,3942.0,4002.0,3.968,388.78082700000004,6.785505499776469,0.6803028870880428,-7.714785161092931,13.475690607734782,0.14294661292478678,-1.2057938670904038
4148.0,-3.2712,-6.1345,257.1037,3676.0,4002.0,4.148,435.059493,7.593220594907222,5.083749903375191,-4.7421858472578595,34.55277777777789,0.005188547945366356,-1.6017258037493551
4328.0,-4.3929,-5.6455,242.8354,3962.0,4002.0,4.328,478.7698650000001,8.356110503578764,7.0628898829773465,-1.1335021662688827,-79.26833333333313,0.09626811517441283,-2.0343832105954203
4507.0,-4.0899,-5.6627,243.0793,4004.0,4002.0,4.507,522.2810596999999,9.115524112570066,5.6193101544912505,4.1493140020528125,1.3625698324022195,0.3668900014677947,-2.3316887952414533
4687.0,-3.0976,-5.6454,266.6159,3904.0,4002.0,4.687,570.2719217000001,9.9531226653403,-0.17065164216649764,6.437122411219619,130.75888888888858,0.6334946286683547,-2.42209253881786
4868.0,-2.3072,-5.6972,288.0488,3544.0,4002.0,4.868,622.4087545000001,10.863082059262075,-5.34247573102617,3.0396073337515808,118.4138121546962,0.7265555452625463,-2.4134179495530996
5586.0,-2.7057,-4.9911,185.3354,2968.0,4002.0,5.586,755.4795717000001,13.185605957721576,0.6935851750150168,-5.6347876006997275,-143.05487465181065,1.4532741231409632,-5.283875391002425
6127.0,-2.4375,-4.6814,84.6342,4004.0,3596.0,6.127,801.2666739,13.984741646058714,4.2570229790907135,-3.120042878790872,-186.139001848429,3.2467931562583368,-8.359890370871213
6307.0,-2.0204,-4.2202,96.6159,3668.0,3910.0,6.307,818.6575359000001,14.288269447718681,4.4762409723998,-1.3621200229822992,66.56499999999971,3.988557977370614,-9.42746612130971
