t,ax,ay,yawRate,steer
10000,-4.8786,2.3089,152.8049,3296
10054,-4.9515,2.0966,148.2927,3280
10108,-4.9088,2.6914,139.2683,3280
10163,-5.2305,2.6765,139.0854,3292
10216,-4.3165,3.3551,138.1707,3280
10270,-3.7539,3.8955,139.2378,3280
10324,-2.7996,4.2896,133.5671,3292
10379,-2.6166,4.1648,129.1768,3296
10432,-2.9054,3.7700,124.0244,3302
10486,-3.3950,3.7117,130.5488,3298
10541,-3.5496,3.4214,123.5671,3314
10594,-3.8357,3.9543,124.6342,3302
10648,-3.4943,3.9583,121.8598,3300
10702,-3.3542,3.7154,120.8842,3312
10757,-3.4280,3.4770,119.7866,3312
10810,-3.5559,3.2059,120.2439,3296
10864,-3.5788,2.7419,123.1707,3272
10918,-3.4606,2.4688,127.5305,3266
10972,-3.4102,2.2667,123.1098,3216
11026,-2.8799,2.5737,128.8719,3176
11080,-2.6870,2.5723,124.6342,3216
11133,-2.4977,2.7005,129.7256,3474
11188,-2.4138,2.4783,127.0732,3710
11242,-3.1248,1.9539,133.9939,3912
11296,-3.0184,1.6005,148.9024,4002
11350,-3.1957,1.5279,151.0976,4002
11404,-3.2021,1.0347,173.4146,4004
11458,-4.1255,1.2448,181.3415,4002
11511,-4.5062,1.3861,201.7073,4004
11566,-4.8647,1.2439,216.4024,4002
11620,-4.6733,1.2250,231.5854,4004
11674,-4.7356,1.1035,250.4573,4002
11727,-4.4459,1.0657,259.7866,4002
11782,-4.5230,0.8986,268.7500,4002
11836,-4.3228,1.1814,271.8293,4002
11889,-4.5442,1.2425,278.6281,4002
11943,-4.4710,1.7079,280.7927,4002
11998,-4.4305,1.7872,285.1829,4000
12052,-4.1382,1.4245,287.9878,3996
12105,-3.8224,1.8177,287.2561,4000
12160,-3.4602,1.8985,282.4390,3990
12214,-3.5558,1.6850,282.1342,3988
12267,-3.4700,1.6750,281.6769,3990
12321,-3.0978,1.9539,284.3903,3994
12376,-3.4613,1.6938,280.0000,3994
12430,-4.2032,2.2266,281.7378,3992
12483,-4.6209,2.3898,281.1585,3882
12537,-4.6554,2.2260,283.0183,3494
12592,-3.7631,2.0758,276.3110,3220
12646,-3.3643,2.3741,274.5122,3130
12699,-3.1234,2.7028,256.5549,3078
12753,-3.6470,2.7909,236.6768,3056
12808,-4.1554,2.8696,223.8415,3068
12862,-4.9246,2.3986,211.6463,3064
12915,-4.6776,2.2665,181.9512,3054
12969,-4.3765,2.0943,167.7439,3082
13024,-4.2846,2.8591,158.3537,3104
13077,-4.4443,3.3805,143.0183,3094
13131,-4.3579,3.3121,133.4146,3100
13186,-3.6903,3.4776,123.0183,3132
13240,-3.6021,3.4074,119.9695,3136
13293,-3.7306,3.1569,117.8049,3124
13347,-2.9539,3.2940,108.9634,3126
13402,-3.3845,3.2501,104.0854,3142
13455,-3.5225,3.4021,102.7744,3134
13509,-3.5531,3.3207,97.7744,3140
13563,-3.9553,2.7212,97.1951,3154
13618,-3.8849,2.2076,94.2378,3156
13671,-4.2624,2.2957,85.4268,3162
13725,-4.4629,2.9800,79.2988,3204
13779,-3.8758,2.3452,75.4268,3264
13833,-4.1153,2.9612,74.3293,3212
13887,-3.7318,2.5170,77.2561,3206
13941,-3.7526,1.9733,78.4451,3424
13995,-3.9679,1.3431,78.7500,3724
14049,-4.1468,0.6617,82.2256,3830
14103,-4.1794,1.0005,94.9390,3892
14157,-4.5832,1.7370,111.9207,3914
14211,-4.6377,1.0990,134.7866,3916
14265,-4.7842,0.6508,150.3049,3916
14319,-5.4731,0.4545,171.1890,3914
14372,-5.3702,0.6265,186.9207,3910
14427,-5.1873,0.5587,202.4695,3906
14481,-5.4676,0.7103,216.3415,3904
14535,-5.0109,0.3355,225.1829,3898
14588,-4.8266,-0.0050,235.7622,3898
14643,-4.8544,0.1942,257.7744,3896
14697,-6.0153,0.0467,261.6159,3896
14750,-5.7230,0.1164,285.9451,3898
14804,-5.6639,0.5413,288.7500,3898
14859,-4.9856,0.9870,292.1342,3902
14913,-5.0467,0.8466,297.6829,3902
14966,-4.5349,1.0944,294.8476,3902
15021,-3.7797,1.0608,293.0183,3902
15075,-3.8445,1.0522,282.0427,3902
15128,-3.9959,1.7611,277.1342,3902
15182,-3.7575,1.9011,266.6769,3902
15237,-3.0175,2.3062,251.6768,3924
15291,-3.0685,2.3769,246.2500,3942
15344,-3.1108,2.6342,240.7622,3910
15398,-3.6154,3.0478,240.4573,3628
15453,-3.2610,3.1991,230.1524,3432
15507,-2.6237,3.9470,220.7317,3340
15560,-3.0106,3.6752,203.5061,3310
15614,-2.9242,3.5531,194.8780,3304
15669,-3.1984,3.5880,183.5976,3302
15722,-2.9413,3.3129,176.9207,3298
15776,-2.9669,2.8701,174.2683,3268
15831,-3.5721,2.5690,170.0000,3268
15885,-3.3514,2.5642,168.5976,3282
15938,-2.8061,2.0806,159.0549,3270
15992,-2.9899,2.6241,158.9024,3274
16047,-2.7616,2.9707,156.2500,3292
16101,-2.8466,3.0637,148.6280,3296
16154,-3.1876,2.9083,152.8049,3298
16208,-4.5631,2.0455,143.9329,3298
16263,-4.5454,2.0075,149.5427,3312
16316,-4.9235,2.1438,146.2805,3296
16370,-5.0085,1.8199,152.5305,3296
16424,-5.8963,1.6063,149.5427,3308
16479,-5.9941,1.3779,152.2256,3308
16532,-5.8272,1.4231,155.1829,3316
16586,-5.4624,1.3913,155.2439,3516
16641,-4.6677,1.2677,151.9817,3680
16694,-4.0842,1.0630,152.7134,3750
16748,-3.7137,1.4088,165.6098,3776
16802,-2.9714,1.5240,166.5854,3778
16856,-3.3530,1.7483,182.9573,3794
16910,-3.8000,1.3412,187.6219,3778
16964,-4.5689,1.6375,202.7439,3776
17018,-4.9969,1.6691,210.9756,3778
17072,-5.0476,1.5752,223.7195,3778
17126,-4.5902,1.9353,229.3293,3774
17180,-3.4619,1.5037,228.2317,3774
17233,-3.0995,1.6014,234.1463,3786
17288,-3.1236,1.9295,233.0793,3774
17342,-3.1492,1.7815,234.7866,3776
17396,-3.4875,2.0741,235.2439,3778
17449,-3.9613,2.0102,235.7622,3778
17504,-3.7432,2.1359,236.5244,3780
17558,-3.0793,1.8509,237.8354,3782
17611,-2.7488,1.7101,238.5366,3812
17666,-3.3090,1.6611,236.7378,3802
17720,-3.2395,2.3254,241.8293,3806
17774,-3.6628,2.8400,237.6220,3808
17827,-3.5053,2.5033,245.5793,3808
17882,-3.5364,2.0941,240.0000,3806
17936,-3.6029,2.1393,236.7378,3804
17989,-3.3712,2.1318,237.3476,3812
18043,-3.8917,2.7829,244.1768,3800
18098,-4.9770,2.2081,249.9390,3798
18152,-4.7300,2.3080,257.1647,3796
18205,-5.1406,2.3119,263.7500,3800
18259,-5.0419,2.1062,268.0793,3790
18314,-4.6661,1.3876,272.1037,3770
18368,-4.7724,1.6463,274.2988,3582
18421,-5.0452,1.4603,280.3049,3348
18476,-4.6539,1.6068,273.2012,3206
18530,-4.3145,1.8658,260.4269,3188
18584,-4.5223,1.8230,250.7012,3188
18637,-4.1503,1.5556,236.9207,3198
18692,-3.2944,1.4274,221.6463,3214
18746,-2.6120,1.5250,210.4268,3228
18799,-2.8720,1.6912,195.3049,3210
18853,-3.0379,1.3419,186.2805,3210
18908,-2.6544,1.9948,174.7561,3220
18962,-2.8016,2.8710,168.2317,3220
19015,-2.6670,3.0098,165.3354,3208
19069,-2.5856,3.1467,150.0000,3206
19124,-3.0645,3.0666,145.9756,3224
19177,-3.6549,2.4260,136.9512,3214
19231,-3.4435,2.2137,135.3963,3218
19286,-3.5659,2.3197,132.6524,3288
19339,-3.5662,2.5894,126.1890,3438
19393,-3.8662,2.6030,124.0549,3642
19447,-3.7945,2.2543,123.2622,3702
19502,-3.9693,1.8365,129.0549,3782
19555,-4.6579,1.7460,133.3232,3854
19609,-4.2737,2.3425,143.8415,3894
19663,-4.3043,2.0732,160.2439,3918
19717,-4.3379,1.7941,171.2195,3938
19771,-4.6966,1.7470,192.4390,3936
19825,-4.2007,1.9042,197.9878,3958
19879,-4.5687,2.1645,212.7744,3958
19933,-4.4857,1.9476,231.4939,3962
19987,-4.1244,1.9962,238.5976,3980
20041,-5.0665,1.3676,253.9634,3982
20094,-4.5521,1.3440,263.2012,3980
20149,-4.6377,1.1121,273.5366,3944
20202,-4.7631,0.6325,279.2988,3924
20256,-4.4473,0.2178,264.5427,3858
20311,-3.8672,0.0535,215.5488,3720
20365,-3.5592,0.0969,157.4695,3618
20418,-3.4780,0.1647,117.1037,3562
20472,-3.1865,0.1318,82.6524,3540
20527,-3.0941,0.1121,54.8781,3510
20580,-2.8325,0.1199,22.7439,3510
20634,-2.5548,0.0849,-5.7012,3518
20688,-2.1472,0.3686,-3.2622,3504
