t,ax,ay,yawRate,steer
1036,0.0417,0.1120,0.6402,2988
1090,0.0712,0.2065,0.5183,2976
1143,0.1019,0.2854,0.7317,2844
1198,0.1275,0.3557,-0.1220,2600
1252,0.3601,0.5263,-6.2195,2346
1305,0.2024,0.5662,-5.9146,2188
1359,0.3357,0.5736,-7.1646,2090
1414,0.2485,0.5920,-6.0671,2026
1468,0.2601,0.6082,-4.7866,1982
1521,0.2109,0.6546,-3.1098,1976
1575,0.2444,0.6558,-1.8598,1978
1630,0.2429,0.6626,-0.4878,1974
1683,0.2398,0.6637,-0.1829,1974
1737,0.2474,0.6578,0.4268,1974
1792,0.2286,0.6608,0.4878,1972
1846,0.2293,0.6680,0.7012,1974
1900,0.2184,0.6723,0.5488,1974
1953,0.2317,0.6805,0.5793,1974
2008,0.2390,0.6838,0.4268,1972
2062,0.2554,0.6911,0.5488,1972
2116,0.2608,0.6999,0.3049,1974
2169,0.2642,0.7050,0.8537,1974
2224,0.2655,0.7158,0.7622,1974
2278,0.2535,0.7177,0.5183,1972
2332,0.2397,0.7159,0.7317,1974
2385,0.2320,0.7073,0.5183,1974
2440,0.2191,0.6903,0.6098,1974
2494,0.1662,2.1564,-17.8963,1974
2548,0.2766,2.8006,-44.6037,1974
2601,0.7921,3.7751,-59.6951,1972
2656,0.8846,4.4222,-83.0183,1974
2710,0.9566,4.4092,-102.1037,1974
2763,1.0119,4.2370,-119.9695,1974
2818,1.6647,4.4617,-135.1524,1974
2872,1.8442,4.1876,-148.3232,1974
2926,1.8996,3.5732,-162.8354,1972
2979,1.8979,3.7679,-179.4207,1974
3034,2.7097,3.8398,-196.9207,1974
3088,2.8118,3.7154,-217.1037,1974
3141,3.4978,3.8496,-232.5305,1974
3195,3.4025,3.9013,-243.6280,1974
3250,3.6045,3.9997,-261.2195,1974
3304,4.5888,3.6786,-268.8720,1974
3357,4.9486,4.0083,-280.8537,1974
3411,6.0480,3.4633,-305.1524,1978
3466,4.7867,3.2763,-306.4939,1978
3519,3.6977,3.5816,-311.5854,1988
3573,2.8605,3.1971,-305.5488,1978
3628,2.6121,3.5106,-307.6829,1978
3682,1.7516,3.4209,-303.1403,1978
3735,1.7092,3.6982,-275.6403,1978
3789,1.6896,4.2481,-262.6524,1976
3844,1.6136,4.1958,-263.4756,1974
3897,1.5088,4.6634,-247.5915,1986
3951,1.4421,4.9623,-241.0976,1974
4005,1.0115,5.0060,-229.7561,1974
4060,1.1980,5.2488,-225.6098,1974
4113,0.3881,4.7971,-220.3659,1974
4167,0.7453,4.6723,-222.5915,1974
4221,1.2656,4.5907,-222.3171,1974
4275,1.4238,4.1792,-224.6646,1972
4329,1.5279,3.9438,-219.8476,1974
4383,2.1168,4.0438,-211.3415,1974
4438,1.7471,4.0993,-209.5732,1974
4491,2.3984,4.4727,-208.5671,1974
4545,2.2305,4.3170,-200.9451,1974
4599,2.5347,4.6431,-208.5671,1976
4653,3.0333,4.9250,-204.5732,1978
4707,3.5701,5.2055,-212.8049,1978
4761,3.1879,4.6294,-222.2256,1978
4815,3.1781,4.2982,-232.7439,1978
4869,2.7848,3.9093,-245.5488,1976
4923,3.1980,3.5847,-250.2439,1980
4977,2.8232,4.0089,-254.1768,1980
5030,3.3201,3.5954,-265.1829,1982
5085,3.2537,3.6372,-266.9817,2138
5139,2.8443,3.3053,-270.1524,2280
5193,2.3736,3.1355,-273.3842,2466
5246,2.0813,3.0950,-274.2378,2852
5301,1.5377,3.5204,-262.0732,3004
5355,1.1899,3.3895,-241.9207,3204
5408,0.7092,3.0405,-215.6402,3350
5463,0.3964,3.2977,-195.1219,3416
5517,0.3305,3.4785,-166.1280,3440
5571,0.3204,3.6964,-142.5915,3454
5624,0.3306,4.1729,-120.4573,3448
5679,-0.1847,4.8879,-95.7317,3466
5733,0.0155,5.1596,-72.1646,3488
5786,-0.0570,5.0202,-48.1707,3502
5840,0.1790,5.4881,-34.7866,3494
5895,0.0771,5.0628,-14.8780,3530
5949,0.3222,4.8892,-1.1280,3554
6002,-0.1694,4.8230,20.7622,3576
6056,-0.0872,4.4158,44.3293,3620
6111,-0.2043,4.3845,80.5488,3660
6164,-1.7991,3.8184,98.0183,3706
6218,-2.2600,3.1160,117.6524,3712
6273,-3.0851,2.5948,132.4085,3754
6326,-3.5354,1.6367,148.2317,3778
6380,-4.0609,0.6275,159.5427,3802
6433,-3.7022,-0.6166,173.6585,3820
6488,-3.5239,-1.0688,187.8963,3818
6542,-3.2319,-1.8348,197.2256,3786
6596,-3.1046,-2.2426,213.3232,3766
6649,-3.0827,-2.3227,223.3537,3762
6704,-3.2567,-2.5793,239.2683,3744
6758,-3.2590,-2.6591,250.6402,3754
