t,ax,ay,yawRate,steer
1045,-0.0062,0.0900,0.7012,2992
1099,0.0099,0.1678,0.5183,2992
1154,0.0170,0.2271,0.3963,2978
1207,0.0241,0.2736,0.0915,2992
1261,0.0294,0.3104,0.5488,2990
1315,0.0379,0.3445,0.2744,2980
1370,0.0317,0.3594,0.5793,2980
1423,0.0187,0.3704,0.3354,2992
1477,0.0269,0.3858,0.6402,3290
1531,-0.0829,0.3345,2.2256,3694
1585,-0.1400,0.3313,9.7866,3954
1639,-0.2202,0.3666,12.5305,4002
1693,-0.2739,0.3574,13.5366,4002
1747,-0.0917,0.5239,7.8049,4002
1801,-0.0806,0.5355,0.3354,4004
1855,-0.1234,0.4691,1.9817,4002
1909,-0.0972,0.4883,1.1280,4004
1963,-0.0989,0.4840,0.6707,4002
2017,-0.1193,0.4825,0.2439,4004
2071,-0.1419,0.4875,0.1524,4002
2125,-0.1662,0.4877,0.4268,3990
2180,-0.1799,0.4988,0.3659,3990
2234,-0.1942,0.5078,0.6707,3994
2287,-0.1956,0.5082,0.7317,3998
2341,-0.6329,1.5998,17.6829,4002
2396,-1.5306,2.1605,47.0122,4004
2449,-1.6224,2.6707,80.7317,4014
2503,-2.3691,2.3291,102.5305,4002
2557,-2.7648,2.2200,127.0122,3998
2612,-2.7654,2.8318,154.3598,3992
2665,-3.5033,2.5624,175.0610,3988
2719,-3.7019,2.3080,197.3171,3982
2774,-3.4657,2.5450,212.7744,3982
2827,-3.7350,1.9934,226.4024,3992
2881,-3.8638,1.7685,246.0976,3978
2935,-3.2922,1.8836,256.9817,3978
2990,-3.2984,1.2435,271.3110,3976
3043,-3.5155,1.1313,281.4329,3976
3097,-3.6240,1.1181,293.9939,3976
3151,-3.7238,1.0362,309.6951,3974
3205,-4.1148,1.2058,316.8903,3986
3259,-4.4775,1.0145,334.3598,3972
3313,-4.3419,1.2550,336.9208,3970
3367,-4.4518,1.2113,338.0793,3968
3421,-4.7949,1.0203,334.2073,3964
3475,-4.6581,0.6252,330.6403,3924
3529,-4.2297,0.8382,332.5305,3858
3584,-3.6385,1.6455,320.1829,3846
3637,-3.5094,1.9599,303.4756,3832
3691,-3.2131,2.3523,286.0366,3830
3745,-2.6725,2.6240,276.7378,3874
3799,-2.5886,2.9094,262.1647,3938
3853,-2.9782,3.0267,255.4573,3978
3907,-2.9318,3.0213,257.1647,3998
3961,-2.6950,2.5626,258.8110,4004
4015,-1.7088,2.5964,265.3354,4002
4069,-1.3953,1.6199,267.0427,4002
4123,-1.9939,2.0932,269.2683,4002
4176,-2.7185,2.0677,278.4756,4004
4231,-2.6402,2.0353,282.1037,4004
4285,-2.6107,1.7556,291.0671,4002
4339,-3.3263,1.5141,286.9512,4002
4392,-3.9463,1.0217,298.2927,4002
4447,-4.5193,0.8877,302.2256,4002
4501,-4.2169,1.1728,307.6829,4002
4554,-4.5012,1.3869,309.6037,4002
4609,-4.6008,1.1085,310.8537,4002
4663,-5.1090,0.8318,314.6342,4002
4717,-4.8591,1.2276,315.6098,4002
4770,-4.3551,0.9701,317.3476,4002
4825,-4.0314,1.1630,316.8598,4004
4879,-3.6340,1.5361,316.2195,4004
4932,-3.2707,1.9347,315.7622,4002
4986,-3.0379,2.0975,308.0183,4002
5041,-2.8101,2.5954,307.7134,4002
5095,-2.6033,2.6021,300.6098,4004
5148,-2.4691,2.6113,304.1464,4002
5202,-2.5911,2.4711,303.6281,4002
5257,-2.4219,2.9006,297.3171,4002
5310,-2.5064,2.5743,304.9085,4004
5364,-2.7866,2.4501,309.2683,4004
5419,-2.2834,2.7808,311.2805,4004
5473,-2.6494,3.0315,308.7500,4002
5526,-3.0676,2.9519,313.4147,4002
5580,-3.4022,3.2824,315.1829,3748
5635,-3.9878,2.5009,319.1159,3624
5689,-4.5305,2.6874,317.5305,3694
