t,ax,ay,yawRate,steer
1035,0.0201,0.1034,0.5793,1976
1089,0.2129,0.2163,-5.6402,2014
1143,0.1770,0.3115,-8.6890,2360
1197,0.1426,0.3042,-5.9146,2674
1251,-0.1546,0.4373,9.6646,2932
1305,0.1502,0.4791,8.9024,3030
1359,-0.0464,0.4025,6.5854,2976
1413,0.1884,0.3833,-0.7012,2988
1467,0.1253,0.4766,0.9146,2988
1521,0.1788,0.4794,0.4573,2936
1575,0.1588,0.5124,0.9146,2574
1629,0.3224,0.5363,-4.6951,2156
1683,0.2465,0.4817,-9.0854,1968
1737,0.3633,0.5108,-9.8780,1968
1790,0.3381,0.5188,-10.5488,1968
1845,0.0995,0.5774,-3.0183,1968
1899,0.0628,0.6027,3.2317,1968
1952,0.1427,0.5918,-0.8232,1968
2007,0.0859,0.6243,1.4939,1968
2061,0.1563,0.6373,0.1220,1968
2115,0.1409,0.6521,1.2195,1966
2168,0.1683,0.6543,0.2134,1968
2223,0.1949,0.6556,0.7622,1968
2277,0.2038,0.6653,0.4268,1968
2331,0.2445,0.6615,0.6707,1968
2384,0.2334,0.6738,0.4573,1970
2439,0.2614,0.6813,0.6707,1970
2493,0.2537,0.6848,0.6707,1968
2547,0.2456,0.6824,0.4573,1968
2600,0.2525,0.6886,0.7927,1968
2655,0.2312,0.6936,0.4878,1970
2709,0.2357,0.6904,0.5488,1968
2763,0.2197,0.6907,0.6707,1968
2817,0.2217,0.6876,0.5793,1968
2871,0.2219,0.6899,0.6707,1968
2925,0.2177,0.6927,0.7927,1968
2979,0.2278,0.6911,0.3049,1968
3033,0.2407,0.6874,0.4573,1968
3087,0.2433,0.6902,0.5793,1968
3141,0.3254,0.7040,0.3659,1968
3195,-0.0883,0.9645,-7.4085,1968
3249,-0.4580,1.7364,-40.3049,1968
3303,0.0717,2.1984,-67.1646,1968
3357,-0.2299,2.5062,-86.9207,1968
3410,-0.0039,3.3763,-106.7073,1968
3465,0.2028,3.7540,-123.5061,1968
3519,0.5664,3.9207,-153.3842,1968
3573,1.2686,3.9927,-155.2744,1968
3627,1.4688,3.9900,-160.0000,1968
3681,1.7760,4.2522,-175.9451,1966
3735,1.8288,4.1961,-197.1037,1968
3788,1.6541,3.5384,-210.3963,1980
3843,2.9360,3.8640,-237.9573,1968
3897,2.6979,3.2761,-241.9512,1968
3951,2.8263,3.4272,-248.1098,1968
4004,3.4208,2.9161,-271.8598,1968
4059,3.3706,2.8241,-280.4573,1994
4113,4.1737,3.2467,-299.0244,2202
4166,4.3627,3.3908,-301.7683,2226
4220,4.0092,3.9016,-306.4329,2224
4275,3.2098,3.4641,-311.6159,2164
4329,2.5108,3.8018,-302.6220,2116
4382,1.7266,4.1174,-300.5793,2038
4436,1.6815,4.2755,-287.4390,1990
4491,1.4798,3.9979,-280.3964,1974
4545,1.7244,3.9439,-268.2927,1974
4598,1.2665,4.3192,-254.8171,1974
4653,1.0324,4.1094,-245.6402,1996
4707,0.8867,3.9761,-229.5732,2002
4760,0.7199,4.2822,-215.5488,2006
4814,-0.0355,3.8500,-206.9817,2006
4869,0.4222,4.4596,-204.2988,2008
4923,-0.0554,4.2251,-206.3720,2008
4976,0.0912,4.0806,-205.8232,2006
5030,0.4991,3.5226,-215.4268,1986
5085,1.1252,3.6067,-212.5915,1982
5138,1.1923,3.4753,-216.1280,1980
5192,1.2081,3.5943,-220.4878,1978
5246,1.4563,3.4682,-225.7622,1978
5301,1.5117,3.3588,-234.4512,1974
5354,0.8991,3.3425,-238.1098,1972
5408,1.6530,3.5120,-247.8049,1974
5463,1.8827,3.7625,-253.2927,1972
5516,2.4949,3.2561,-260.8842,1968
5570,2.5294,3.1891,-268.2012,1968
5624,1.7381,3.3279,-267.6829,1968
5679,2.2213,4.0098,-273.8110,1968
5732,2.2808,4.3686,-281.0366,1968
5786,2.4193,4.6565,-278.7805,1968
5840,1.9388,4.8639,-274.4817,1968
5894,1.5314,4.5198,-279.3598,1968
5948,1.4047,4.3279,-273.2927,1968
