t,ax,ay,yawRate,steer
8444,-1.4385,-1.0118,87.3171,3912,
8499,-1.2671,-1.0426,83.5366,3906,
8553,-1.0099,-0.8212,74.6037,3904,
8606,-0.8812,-0.6862,71.0061,3902,
8660,-0.7758,-0.6883,64.3293,3846,
8715,-0.8026,-0.6502,60.8841,3706,
8768,-0.5530,-0.3119,53.0183,3738,
8822,-0.6876,-0.2112,43.2622,3762,
8877,-0.6152,-0.0962,47.4085,3800,
8931,-0.8829,0.1472,50.1220,3820,
8984,-2.0528,1.0424,51.8293,3822,
9038,-2.8001,1.5478,74.5122,3828,
9093,-3.0646,1.9302,91.3415,3830,
9146,-3.4697,1.9038,99.3598,3846,
9200,-3.7914,2.0789,114.6037,3834,
9254,-3.8093,1.6148,126.8598,3814,
9309,-3.8260,1.6419,150.2134,3770,
9362,-3.7202,1.8067,163.1098,3554,
9416,-3.6748,1.0589,182.6524,3290,
9470,-3.8219,0.4061,162.1951,3146,
9525,-3.4195,0.3096,136.7988,3012,
9578,-2.9937,0.0106,116.0366,2980,
9632,-2.5439,0.1330,98.7195,2990,
9687,-2.6231,0.0695,80.3049,2992,
9740,-2.6506,0.0116,68.8110,2980,
9794,-2.5548,-0.1243,54.9390,2980,
9848,-2.4288,-0.0458,40.6402,2990,
9902,-2.2050,-0.1502,19.2683,2992,
9956,-1.8262,-0.0162,13.2317,2980,
10010,-1.3513,-0.1528,8.5061,3152,
10064,-1.1577,-0.0121,13.7195,3468,
10118,-1.3466,-0.0954,30.4878,3660,
10172,-1.7936,-0.3095,57.7134,3764,
10226,-2.2939,-0.6537,82.8354,3804,
10279,-2.3188,-0.8007,92.2256,3758,
10334,-2.4162,-0.7966,96.2805,3650,
10388,-2.3845,-0.8628,87.8354,3758,
10442,-2.2562,-0.8583,81.8902,3858,
10496,-2.2474,-1.0099,86.3110,3940,
10550,-2.2064,-1.0282,93.5061,3980,
10604,-2.3996,-1.3909,97.8964,4004,
10657,-2.2927,-1.3263,100.6098,4002,
10712,-1.8308,-1.5078,94.9390,4002,
10766,-1.8807,-0.9692,97.0122,4004,
10820,-2.2904,-0.9966,104.4207,4002,
10873,-2.4672,-1.2847,103.5366,4002,
10928,-3.0205,-1.0991,110.7622,4002,
10982,-3.0135,-0.8980,118.9634,3914,
11036,-2.9270,-0.9712,121.0671,3678,
11089,-2.5715,-0.6070,109.0854,3416,
11144,-1.8039,-0.8481,85.0305,3330,
11198,-1.2693,-0.6555,53.6890,3302,
11251,-1.2285,-0.3673,41.7988,3232,
11305,-1.1279,-0.3020,36.7988,3082,
11360,-0.6452,-0.0774,35.3354,2992,
11414,-0.5521,-0.0490,23.7500,2838,
11467,-0.2922,0.2486,7.3476,2706,
11522,-0.0068,0.2042,-1.6768,2618,
11576,-0.2487,0.3233,-8.4756,2580,
11629,-0.0496,0.3371,-15.5183,2560,
11683,-0.1220,0.3368,-20.3354,2500,
