t,ax,ay,yawRate,steer
1037,-0.0412,0.1379,0.6707,2992,
1090,-0.0765,0.2549,0.3659,2978,
1144,-0.0598,0.2897,0.8841,2978,
1199,-1.1688,1.1406,-7.2256,2992,
1252,-1.0849,1.8381,9.4817,2992,
1306,-0.3632,1.1333,-4.1463,2980,
1359,-0.1551,0.8530,3.2012,2992,
1414,0.0162,0.6786,3.7195,2992,
1468,-0.0464,0.5812,1.8293,2980,
1522,-0.1166,0.4424,2.1646,2980,
1575,-0.0914,0.4536,1.6159,2992,
1630,-0.1033,0.4213,1.9207,2992,
1684,0.1003,0.4060,-0.2439,2980,
1738,0.1037,0.3789,1.2500,2992,
1792,0.0451,0.4597,0.0915,2992,
1846,-0.0352,0.5238,0.6402,2980,
1900,-0.1129,0.5709,0.0610,2980,
1954,-0.1612,0.6166,0.7927,2992,
2008,-0.1917,0.6580,0.7927,2992,
2062,-0.2166,0.6868,0.4878,2980,
2116,-0.2322,0.7147,0.6098,2986,
2170,-0.2379,0.7408,0.4268,2990,
2224,-0.2430,0.7482,0.5488,2978,
2278,-0.2523,0.7585,0.5793,2980,
2332,-0.2522,0.7524,0.5793,2992,
2385,-0.2554,0.7365,0.5183,2992,
2440,-0.2531,0.7333,0.6707,2978,
2494,-0.2595,0.7432,0.7012,2978,
2548,-0.2665,0.7411,0.5793,2990,
2601,-0.2644,0.7370,0.5793,2980,
2656,-0.2724,0.7400,0.5793,2978,
2710,-0.2710,0.7337,0.6707,3060,
2763,-0.3035,0.7258,1.5244,3078,
2818,-0.3434,0.7128,1.0061,3068,
2872,-0.2641,0.7340,0.8232,3030,
2926,-0.2099,0.6729,0.5183,3002,
2979,-1.4909,2.0342,7.6829,2996,
3034,-1.6371,2.5731,5.5793,2984,
3088,-1.9868,2.9779,3.1707,2994,
3142,-1.9778,3.2997,10.9451,2992,
3195,-1.9284,3.7119,9.5122,2978,
3250,-1.9531,3.6107,6.8902,2980,
3304,-2.0025,3.7624,3.4146,2992,
3357,-1.6250,3.2877,14.4207,2992,
3411,-1.3977,2.9227,14.2988,2978,
3466,-1.2393,2.4971,10.2134,2990,
3519,-1.1562,2.0202,7.4085,2990,
3573,-0.9862,2.0031,10.2134,2978,
3628,-1.0030,1.5651,8.4146,2980,
3681,-0.8709,1.2052,12.2866,2992,
3735,-0.6503,0.9210,11.9817,2990,
3789,-0.3651,0.7115,10.2134,2980,
3844,-0.3902,0.3159,10.4573,2770,
3897,-0.2873,0.1957,9.6341,2526,
3951,0.1796,0.2198,-10.6098,2420,
4005,0.6445,0.3851,-28.3841,2398,
4059,0.6990,0.2578,-33.1707,2346,
4113,0.6899,0.3618,-36.0671,2282,
4167,0.7880,0.2703,-40.2744,2218,
4221,1.2151,0.2321,-42.0427,2172,
4275,0.8739,0.3317,-45.0305,2174,
4329,0.9687,0.2587,-46.2805,2234,
4383,0.8602,0.0705,-35.5183,2202,
4436,0.7969,-0.0006,-30.0305,2222,
4491,0.6475,-0.0996,-29.8171,2680,
4545,0.5707,-0.1395,-18.7500,3358,
4598,0.1367,-0.1485,-4.7561,3682,
4653,0.1395,-0.2309,5.8232,3782,
4707,0.0369,-0.2129,12.4390,3838,
4760,-0.1462,-0.1727,19.1463,3860,
4814,-0.1328,-0.1664,21.2805,3866,
4869,-0.0195,-0.0115,16.4939,3880,
4923,0.0964,-0.0432,12.5915,3874,
4976,0.2840,-0.0556,8.6585,3848,
5030,0.4005,-0.0325,4.4207,3724,
5085,0.5086,-0.0394,-3.2927,3384,
5139,0.4878,0.1925,-10.2134,3008,
5192,0.2969,0.2196,-15.7317,2992,
5246,0.0761,0.2633,-11.0671,2992,
5301,-0.0013,0.3390,5.9146,2980,
5355,-0.1878,0.3607,-0.2744,2986,
5408,-0.0770,0.4624,0.6098,2992,
5463,-0.0673,0.5083,0.5183,2980,
5517,-0.0998,0.5082,0.8841,2980,
5571,-0.1268,0.5095,0.4268,2990,
5624,-0.1426,0.5139,0.6402,2990,
5679,-0.1476,0.5313,0.4878,2978,
5733,-0.1516,0.5452,0.6098,2980,
5787,-0.1515,0.5602,0.6098,2992,
5840,-0.1571,0.5765,0.7012,2980,
5895,-0.1673,0.5843,0.5183,2980,
5949,-0.1784,0.5876,0.6707,2992,
6002,-0.1906,0.5797,0.5488,2992,
