t,ax,ay,yawRate,steer
1049,-0.0761,0.2126,0.6098,2976,
1103,-0.1399,0.3884,0.5488,2976,
1157,-0.1972,0.5195,0.7012,2988,
1211,-0.2334,0.6215,0.5183,2988,
1265,-0.2595,0.7060,0.6098,2976,
1319,-0.2722,0.7717,0.6098,2988,
1373,-0.2690,0.8189,0.5183,2988,
1427,-0.2741,0.8610,0.5183,2976,
1481,-0.2854,0.8923,0.7317,2978,
1536,-0.2987,0.9049,0.6098,2988,
1589,-0.2969,0.9294,0.6402,2988,
1643,-0.3108,0.9432,0.6098,2976,
1697,-0.3152,0.9638,0.8537,2988,
1751,-0.3273,0.9788,0.6098,2988,
1805,-0.3380,0.9938,0.7012,2980,
1859,-0.3451,1.0067,0.7012,2978,
1913,-0.3489,1.0131,0.6707,2988,
1967,-0.3504,1.0265,0.7927,2992,
2021,-0.3531,1.0319,0.6098,2980,
2075,-0.3562,1.0367,0.7012,2992,
2129,-0.3578,1.0506,0.5183,2992,
2183,-0.3628,1.0483,0.8232,2980,
2237,-0.3511,1.0445,0.3049,2980,
2291,-0.3431,1.0439,0.6402,2990,
2344,-0.3257,1.0429,0.7012,2990,
2399,-0.3128,1.0326,0.5793,2978,
2453,-0.3129,1.0272,0.4878,2990,
2507,-0.3207,1.0267,0.4878,2992,
2561,-0.3313,1.0253,0.7927,2978,
2615,-0.3316,1.0305,0.5793,2980,
2669,-0.3390,1.0360,0.4878,2992,
2722,-0.5288,2.6369,-16.2805,2992,
2777,-0.9488,3.1223,8.5061,2980,
2831,-0.9999,3.4110,6.3110,2992,
2885,-1.3118,3.5601,2.8963,2990,
2938,-1.5158,3.8766,10.9146,2980,
2993,-1.7375,3.8440,7.1341,2978,
3047,-1.8267,4.1870,7.0122,2990,
3101,-1.8430,4.1196,4.7256,3012,
3154,-1.9322,4.1159,2.1341,3042,
3209,-1.9887,4.3467,9.9695,3194,
3263,-2.0937,4.1391,16.4634,3324,
3316,-2.1754,4.0645,30.0610,3292,
3371,-2.5059,3.4201,44.7866,3026,
3425,-1.7696,3.1556,56.5854,2992,
3478,-1.4263,2.3842,31.2500,2878,
3532,-1.3584,2.1793,21.9207,2758,
3587,-0.7697,2.1816,3.4146,2682,
3640,-0.3922,1.8616,-10.7927,2708,
3694,0.2834,1.4754,-26.8293,2738,
3748,0.6716,1.1267,-25.6707,2658,
3802,0.9830,0.6294,-32.1037,2602,
3856,1.1384,0.5691,-40.0915,2598,
3910,1.5260,0.5458,-48.2927,2626,
3964,1.3171,0.2288,-46.8902,2642,
4018,1.0570,0.0231,-40.4573,2642,
4072,1.0376,0.0965,-42.5305,2522,
4126,0.9522,0.1012,-38.7500,2414,
4180,1.4537,0.3184,-54.0549,2366,
4234,1.7189,0.4238,-58.1098,2362,
4288,1.8563,0.4645,-66.1585,2370,
4342,1.9539,0.4214,-61.4329,2402,
4397,2.1650,0.5085,-59.7561,2404,
4450,2.0806,0.6108,-55.3354,2404,
4504,1.7564,0.5490,-57.5000,2404,
