t,ax,ay,yawRate,steer
32650,-0.3291,1.0834,0.4878,2276,
32704,-0.3260,1.0908,0.6707,2318,
2,1.0703,0.8232,2294,
32595,-0.3306,1.0693,0.7012,2292,
32650,-0.3291,1.0834,0.4878,2276,
32704,-0.3260,1.0908,0.6707,2318,
1036,-0.0795,0.2040,0.7317,2640,
1090,-0.1278,0.3657,1.2195,2516,
1143,-0.3091,0.4530,-9.0244,2404,
1198,-0.3339,0.5822,-0.9451,2304,
1252,-0.3126,0.7047,-4.4207,2224,
1306,-0.2807,0.7816,-2.8963,2126,
1359,-0.1470,0.8513,-3.5061,2056,
1414,-0.1631,0.8937,-3.0793,2016,
1468,-0.1563,0.9275,-2.2866,1994,
1522,-0.2137,0.9781,-0.7927,1994,
1575,-0.2102,1.0128,0.1829,2014,
1630,-0.2093,1.0382,0.5793,2016,
1684,-0.2288,1.0556,0.7317,2034,
1738,-0.2467,1.0681,0.6402,2034,
1792,-0.2534,1.0867,0.8841,2036,
1846,-0.2333,1.1069,0.7012,2036,
1900,-0.2394,1.1129,0.6402,2040,
1953,-0.2528,1.1049,0.5183,2042,
2008,-0.2535,1.1080,0.6098,2042,
2062,-0.2473,1.1115,0.7927,2042,
2116,-0.2496,1.1046,0.6402,2042,
2169,-0.2595,1.1174,0.5488,2042,
2224,-0.2579,1.1204,0.5183,2042,
2278,-0.2657,1.1281,0.4573,2046,
2332,-0.2753,1.1285,0.4268,2048,
2385,-0.2767,1.1312,0.5488,2048,
2440,-0.2736,1.1319,0.7927,2048,
2494,-0.2744,1.1306,0.6707,2050,
2547,-0.2703,1.1276,0.6098,2050,
2601,-0.2718,1.1233,0.4878,2054,
2656,-0.2653,1.1199,0.6707,2050,
2710,-0.2654,1.1176,0.6402,2050,
2763,-0.2607,1.1191,0.5488,2050,
2818,-0.2674,1.1175,0.7317,2052,
2872,-0.2700,1.1253,0.6707,2052,
2926,-0.2725,1.1262,0.5793,2052,
2979,-0.2783,1.1366,0.6707,2054,
3034,-0.2844,1.1410,0.4268,2056,
3088,-0.2845,1.1436,0.7927,2056,
3141,-0.2841,1.1438,0.6402,2058,
3195,-0.2761,1.1420,0.6707,2060,
3250,-0.2755,1.1406,0.5793,2062,
3304,-0.2774,1.1375,0.6402,2060,
3357,-0.3900,1.1734,0.7927,2062,
3411,-0.0410,1.7331,-18.2317,2062,
3466,-0.0634,2.2043,-38.2927,2062,
3519,0.0733,3.2651,-58.0488,2062,
3573,0.3191,3.7709,-76.6768,2062,
3628,0.7174,3.9073,-86.4329,2062,
3681,0.5964,4.1353,-100.5488,2064,
3735,0.3335,4.4804,-108.5976,2072,
3789,0.9822,3.5513,-109.4512,2144,
3843,1.3599,2.7821,-99.2073,2226,
3897,1.5026,2.1074,-81.5854,2250,
3951,1.6220,1.7219,-56.7683,2248,
4004,1.4839,1.0509,-49.6341,2250,
4059,1.3513,0.7905,-43.0488,2248,
4113,1.2798,0.8282,-40.0000,2234,
4167,1.2316,0.6568,-33.0488,2242,
4221,0.9777,0.6251,-30.8841,2240,
4275,0.7256,0.6782,-28.5061,2238,
4329,0.7754,0.5689,-25.6402,2238,
4383,0.8018,0.5068,-25.3354,2316,
4436,0.5337,0.4983,-20.0915,2514,
4491,0.1837,0.5351,-13.7805,2872,
4545,0.1824,0.5632,-5.4268,3024,
4599,0.1593,0.4831,4.6951,3168,
4653,0.0575,0.5301,8.6280,3262,
4707,0.0523,0.5452,5.4573,3264,
4761,0.0088,0.4956,5.1220,3194,
4814,-0.0457,0.4314,3.5976,3122,
4869,0.1172,0.4198,3.4146,3020,
4923,-0.1050,0.3536,4.3293,2982,
4977,0.0980,0.4639,-0.0305,2992,
5030,0.1258,0.5933,0.4573,2990,
5085,0.0465,0.2907,2.7134,2978,
5139,0.1100,0.2158,-0.5793,2980,
5193,0.1067,0.1415,2.1951,2992,
5246,0.0413,0.2966,0.5183,2992,
5301,-0.0283,0.4279,0.3354,2976,
5355,-0.1011,0.5559,0.3963,2992,
5408,-0.1642,0.6664,0.2439,2990,
5463,-0.2133,0.7553,0.5488,2978,
5517,-0.2578,0.8183,0.6098,2980,
5571,-0.2876,0.8624,0.6098,2990,
5624,-0.3115,0.8925,0.5793,2988,
5679,-0.3196,0.9060,0.7622,2976,
5733,-0.3299,0.9154,0.5488,2988,
5787,-0.4320,1.0345,-0.3659,2988,
5840,-0.3781,1.0167,4.8780,2976,
5895,-0.5855,2.1742,3.8720,2976,
5949,-0.6542,2.6396,4.6951,2990,
6002,-1.1444,2.8501,3.5366,2988,
6056,-1.5385,2.9964,6.2195,2976,
6111,-2.0286,3.1206,11.3110,2992,
6165,-1.9054,3.5059,14.0244,2988,
6218,-1.4649,3.8160,6.4024,2784,
6273,-1.2931,2.9604,20.3659,2528,
6327,-0.6351,2.7083,-9.5732,2274,
6380,-0.2007,2.2983,-38.2927,2168,
6434,0.3873,2.0982,-70.0000,2090,
6489,0.9883,1.6139,-93.2927,2064,
6542,1.3327,1.5018,-102.0427,2062,
6596,1.5177,1.3054,-101.0671,2064,
6650,1.4780,1.0419,-101.0671,2088,
6705,1.3040,0.9437,-99.0854,2126,
6758,1.6183,0.8493,-93.9939,2168,
6812,2.0986,0.9198,-89.3902,2264,
6866,1.6837,0.9652,-82.1646,2462,
6921,1.2813,0.8708,-69.3902,2772,
6974,0.8086,0.8245,-48.9634,2968,
7028,0.2686,0.6529,-25.3354,3076,
7083,0.1555,0.6066,1.5549,3268,
7136,-0.0767,0.5906,11.4939,3420,
7190,-0.5886,0.2335,29.2378,3480,
7244,-0.7768,0.1524,45.0610,3544,
7298,-0.7321,0.1104,49.6341,3580,
7352,-0.8447,0.0084,51.1585,3618,
7406,-0.8175,-0.1791,52.7744,3688,
7460,-1.0366,-0.1648,54.6341,3780,
7514,-1.0452,-0.1778,57.6524,3836,
7568,-1.0809,-0.2428,60.3659,3862,
7622,-1.1568,-0.2508,58.6585,3886,
7675,-1.2376,-0.2346,57.3171,3884,
7730,-1.0471,-0.1518,54.4817,3880,
7784,-1.0752,-0.0118,53.4451,3824,
7838,-1.1929,0.0600,53.8110,3728,
7891,-1.0362,0.2621,47.4695,3466,
7946,-0.8793,0.4045,40.2134,3456,
8000,-0.5689,0.6018,28.8415,3404,
8054,-0.7419,0.4441,29.0549,3438,
8108,-0.7405,0.4506,24.5122,3480,
8162,-0.7998,0.4649,20.7927,3550,
8216,-0.8974,0.5907,27.5915,3608,
8269,-0.7433,0.4438,36.5854,3666,
8324,-0.8058,0.4116,36.3720,3694,
8378,-0.8161,0.3671,37.8354,3714,
8432,-0.8545,0.6226,36.4329,3736,
8485,-1.0279,0.9262,26.8902,3748,
8540,-1.1220,0.9018,43.6280,3716,
8594,-1.2074,1.1864,42.4390,3712,
8647,-1.5099,1.5649,50.7622,3682,
8701,-1.5517,1.7610,58.5976,3652,
8756,-1.4190,1.6855,68.3842,3630,
8809,-1.1731,1.1373,62.5305,3628,
8863,-1.2899,0.8859,62.1951,3636,
8918,-1.3748,0.6254,56.8598,3604,
8972,-1.2157,0.4414,56.4024,3570,
9025,-1.1459,0.3378,53.2012,3446,
9079,-1.1087,0.3157,45.8841,3414,
9134,-1.1288,0.2808,36.3720,3280,
9188,-0.6823,0.3180,29.3598,2974,
9241,-0.3505,0.3339,20.2134,2812,
9295,0.1424,0.3931,7.6220,2598,
9350,0.3558,0.4629,-7.0122,2508,
9403,0.4038,0.4330,-12.2256,2414,
9457,0.3997,0.4312,-15.3659,2364,
9511,0.4792,0.5044,-18.0793,2338,
9566,0.4178,0.5352,-19.2073,2302,
9619,0.3458,0.6096,-19.0854,2280,
9673,0.2350,0.5658,-19.6951,2262,
9728,0.4398,0.5790,-17.6829,2254,
9782,0.2049,0.4977,-17.6524,2252,
9835,0.3827,0.5356,-15.7622,2264,
9889,0.1051,0.4696,-14.0244,2278,
9944,0.1468,0.4801,-12.5305,2284,
9997,0.0964,0.5249,-11.1280,2356,
10051,0.0354,0.4577,-8.3232,2482,
10105,-0.1565,0.5151,-2.8659,2574,
10160,-0.1793,0.4284,-1.2195,2680,
10213,-0.2181,0.0803,0.1829,2778,
10267,-0.1276,-0.0919,2.1951,2800,
10321,0.1010,0.6290,-2.4695,2830,
10375,-0.2688,1.3852,-4.2378,2830,
10429,-0.5780,1.9907,-5.1220,2816,
10483,-0.5227,2.7053,-5.7622,2824,
10537,-0.7687,3.1890,-5.6402,2822,
10591,-1.2169,3.4768,-7.6220,2810,
