t,ax,ay,yawRate,steer
1050,-0.0062,0.1422,0.5488,2988,
1104,-0.0074,0.2579,0.5488,2976,
1159,-0.0116,0.3500,0.5488,2988,
1212,-0.0280,0.4212,0.5793,2992,
1266,-0.0363,0.4773,0.5793,2978,
1320,-0.0496,0.5173,0.5183,2980,
1375,-0.0469,0.5527,0.6402,2990,
1428,-0.0432,0.5758,0.7012,2992,
1482,-0.0418,0.5894,0.6098,2978,
1537,-0.0358,0.6080,0.5488,2988,
1590,-0.0325,0.6267,0.5183,2992,
1644,-0.0231,0.6407,0.7012,2980,
1698,-0.0185,0.6610,0.5793,2980,
1753,-0.0201,0.6739,0.6402,2990,
1806,-0.0160,0.6809,0.6707,2988,
1860,-0.0176,0.6898,0.6402,2980,
1914,-0.0256,0.6921,0.4268,2988,
1969,-0.0353,0.6887,0.7317,2988,
2022,-0.0445,0.6827,0.7622,2980,
2076,-0.0433,0.6749,0.7012,2978,
2130,-0.0476,0.6769,0.6402,2992,
2184,-0.0352,0.6727,0.5793,2988,
2238,-0.0152,0.6746,0.5793,2976,
2292,-0.0064,0.6815,0.6402,2976,
2347,0.0001,0.6874,0.7012,2988,
2400,0.0058,0.6830,0.6707,2976,
2454,-0.0025,0.6910,0.5793,2980,
2508,-0.0197,0.6874,0.6707,2988,
2562,-0.0268,0.6821,0.5488,2992,
2616,-0.0291,0.6754,0.5793,2976,
2670,-0.0285,0.6667,0.6402,2976,
2724,-0.0295,0.6651,0.6402,2990,
2778,-0.0217,0.6623,0.4573,2978,
2832,-0.0188,0.6639,0.7622,2978,
2886,-0.0150,0.6714,0.5183,2988,
2940,-0.0082,0.6789,0.6402,2990,
2994,-0.0061,0.6839,0.4268,2976,
3048,-0.0030,0.6941,0.6402,2978,
3102,0.0024,0.6942,0.5793,2988,
3155,-0.0852,0.6669,0.3354,2990,
3210,-0.5705,1.2666,-6.6159,2976,
3264,-0.5914,1.9772,0.7012,2988,
3318,-0.8873,2.6271,-1.0976,2988,
3372,-0.8502,2.8410,2.9573,2976,
3426,-0.9210,3.2798,3.6280,2976,
3480,-1.0217,3.3454,2.2256,2988,
3533,-1.0889,3.2323,7.8659,2988,
3588,-0.7566,3.0781,9.3293,2976,
3642,-0.9089,2.6406,4.5122,3032,
3696,-0.8033,2.0632,5.8232,3190,
3749,-1.1310,1.5117,13.5366,3252,
3804,-1.0786,1.3070,25.9146,3272,
3858,-1.1689,0.9532,41.6463,3284,
3911,-1.1324,0.7559,42.1037,3288,
3965,-1.1147,0.6526,47.8659,3296,
4020,-1.1144,0.3406,45.6098,3316,
4074,-1.1319,0.1791,47.3171,3352,
4127,-1.2359,0.1528,51.0671,3336,
4182,-1.6055,0.0160,48.1402,3316,
4236,-1.4084,-0.0476,53.5061,3322,
4289,-1.3341,-0.1013,49.4817,3318,
4343,-1.4853,-0.0767,49.0244,3262,
4398,-1.4104,0.0153,44.6951,3146,
4452,-0.8975,0.1496,39.4817,2992,
4505,-0.9306,-0.1063,28.5671,2840,
4559,-0.3667,-0.1104,13.2927,3032,
4614,-0.5878,-0.1908,5.3354,2992,
4667,-0.5445,-0.0631,12.4390,2992,
4721,-0.5745,-0.1185,12.3171,2978,
4775,-0.3087,-0.1436,12.8049,2990,
4830,-0.1574,-0.1834,9.5427,2992,
4883,-0.1705,-0.1577,9.8780,2888,
4937,-0.1153,-0.0615,7.6829,2776,
4992,-0.0463,-0.0363,1.0671,2684,
5045,0.0798,-0.0051,-7.2866,2606,
5099,0.3531,0.0026,-15.5793,2530,
5153,0.4017,0.1994,-21.2500,2522,
5208,0.5052,0.0939,-25.1524,2452,
5261,0.6364,0.1786,-26.9512,2422,
5315,0.5661,0.0816,-28.7805,2432,
5369,0.6473,0.0265,-28.1402,2406,
5423,0.8128,0.2137,-29.7256,2382,
5477,0.7259,0.2969,-30.6098,2346,
5531,0.6679,0.2203,-30.3049,2324,
5585,0.6104,0.3376,-29.1768,2322,
5639,0.4462,0.3376,-29.1463,2312,
5693,0.0414,0.6110,-37.6829,2346,
5747,0.1883,0.9715,-39.2988,2348,
5800,0.3651,1.4298,-45.8841,2370,
5855,0.2366,1.7783,-49.1159,2360,
5909,0.2553,2.0629,-49.5732,2372,
5963,0.5160,2.3461,-53.9634,2376,
6017,0.2078,2.5980,-61.0671,2368,
6071,0.5738,2.7535,-64.2378,2382,
6125,0.9556,2.7789,-68.2622,2388,
6178,1.2055,2.4003,-78.4146,2410,
6233,1.7233,2.3751,-74.5427,2418,
6287,2.0218,2.2745,-77.5000,2542,
6341,1.6739,2.1524,-70.4573,2748,
6394,1.6274,2.1117,-64.3902,2992,
6449,0.9318,2.1936,-33.1402,3044,
6503,0.5520,1.8439,-11.3415,3184,
6556,0.3257,1.7304,5.4268,3292,
6610,-0.1240,1.3881,27.1037,3352,
6665,-0.5306,1.0569,45.0610,3410,
6719,-0.6854,0.8187,68.0183,3438,
6772,-0.8548,0.5099,76.7378,3418,
6827,-1.2302,0.0871,82.0732,3404,
6881,-1.7580,-0.1185,78.4146,3382,
6935,-1.8373,0.0421,81.6159,3256,
6988,-2.1307,0.1951,70.4268,3088,
7043,-1.6681,0.6253,66.3720,2982,
7097,-1.1300,0.7952,37.8963,2992,
7150,-0.5880,0.8828,26.4329,2992,
7204,-0.3569,0.6875,26.9207,2980,
7259,-0.4991,0.6128,22.7744,2990,
7312,-0.5290,0.5055,6.1585,2992,
7366,-0.7058,0.5624,10.9146,2980,
7420,-0.8040,0.4418,11.9512,2980,
7475,-0.4249,0.6120,14.2683,2928,
7528,-0.2863,0.3512,7.1037,2584,
7582,-0.1261,0.3222,7.8963,2308,
7636,0.8104,0.3209,-25.8537,2158,
7690,1.2732,0.2501,-59.8781,2080,
7744,1.7330,0.0061,-98.9939,1988,
7798,2.9814,0.1418,-114.7256,1970,
7853,2.9655,-0.0149,-122.5610,1970,
7906,3.3176,-0.0631,-122.0427,1992,
7960,3.4150,-0.0500,-124.4207,1996,
8014,3.5690,-0.1209,-112.0427,1996,
8069,3.7564,-0.0800,-109.4207,2040,
8122,3.6908,0.1783,-108.6281,2114,
8176,3.5129,0.1910,-100.9146,2392,
8230,2.8879,0.2711,-85.0305,3136,
8284,2.3625,0.2652,-55.1524,2820,
8338,1.2986,0.2227,-26.5854,2846,
8392,1.0418,0.2481,-15.0305,3118,
8446,0.5729,0.1846,-9.7561,2880,
8500,0.8314,0.1055,1.4024,2952,
8554,0.7905,0.2664,-4.1768,2974,
8608,0.6616,0.1269,-2.1646,2768,
8662,0.3526,0.1097,0.0610,2536,
