t,ax,ay,yawRate,steer
1036,-0.0034,0.1456,0.4573,2986,
1090,-0.0041,0.2630,0.5183,2988,
1143,-0.0406,0.5915,-0.1524,2976,
1198,0.2519,1.6790,0.4268,2974,
1252,-0.1370,2.1242,7.2866,2986,
1306,-0.5966,2.9352,7.5915,2988,
1359,-0.7904,3.4816,9.7561,2976,
1414,-0.4078,3.5873,5.1220,2988,
1468,-0.7931,3.6116,8.9634,2988,
1521,-1.2024,3.7967,5.4268,2954,
1575,-1.1424,4.1344,2.9573,2768,
1630,-1.4876,4.0171,4.1463,2710,
1684,-1.3634,4.2897,-9.2073,2686,
1737,-1.3938,4.3415,-15.4268,2692,
1792,-1.1754,3.9152,-29.7256,2770,
1846,-0.7090,4.0142,-36.3415,2860,
1899,-0.3992,3.4828,-32.2256,2962,
1953,-0.6047,3.4188,-25.6098,2966,
2008,-0.4335,3.7938,-14.7256,2980,
2062,-0.8113,3.6910,-10.6098,2982,
2115,-0.6878,3.8219,11.1585,2974,
2169,-1.0209,3.8179,-4.7561,2974,
2224,-0.3868,3.7300,10.1524,2986,
2277,-0.5972,3.4308,15.7317,2976,
2331,-0.7478,2.8432,11.0061,2976,
2384,0.1162,0.9348,26.8293,2988,
2439,-0.0201,0.1866,25.1220,2990,
2493,0.9771,-0.4215,34.8476,2978,
2546,0.4819,-1.1402,35.0305,2976,
2600,0.5076,-1.4231,44.0244,3198,
2655,-0.2523,-1.7873,45.8537,3476,
2709,-0.8550,-2.0983,65.6707,3628,
2763,-1.5157,-2.0143,96.6159,3652,
2817,-0.1840,-1.8461,93.6585,3598,
2871,-1.5857,-1.8537,108.1707,3310,
2925,-1.9461,-2.2788,125.7317,3114,
2978,-0.5877,-1.7043,92.2256,3066,
3033,0.2198,-1.6938,75.7927,3160,
3087,-0.4236,-1.4499,37.9268,3256,
3141,-0.5233,-1.5803,27.8049,3300,
3194,-0.4579,-1.4290,32.6829,3370,
3249,-0.6876,-1.5363,42.3171,3394,
3303,-0.7402,-1.4996,45.4268,3416,
3357,-0.6860,-1.2892,48.8110,3448,
3410,-0.8524,-1.1329,46.1890,3452,
3465,-0.9845,-0.9111,47.8659,3440,
3519,-0.7733,-1.0382,48.1402,3424,
3572,-0.7613,-0.9986,42.8659,3438,
3627,-0.7455,-1.1073,42.3171,3462,
3681,-0.7343,-0.7513,42.6524,3528,
3734,-0.6602,-1.0449,40.7927,3628,
3788,-0.8600,-1.0366,47.7439,3740,
3843,-0.9634,-1.0308,50.0915,3830,
3897,-0.9914,-1.0200,55.5488,3878,
3950,-0.9181,-1.0583,58.2317,3942,
4004,-0.8164,-1.1388,54.4207,3984,
4059,-0.8657,-1.1361,54.0549,4002,
4112,-0.8161,-1.0075,51.7683,4002,
4166,-0.5926,-0.9324,49.1463,4002,
4220,-0.4333,-0.8666,43.6890,4002,
4275,-0.5076,-0.7531,42.1037,4002,
4328,-0.2787,-0.5929,32.4695,4002,
4382,-0.2828,-0.5490,30.8841,4004,
4436,-0.1831,-0.4675,28.1402,4004,
4491,-0.0737,-0.3256,22.3780,4004,
4544,-0.2433,-0.2035,19.6646,4002,
4598,-0.1267,-0.1441,16.3720,4004,
4653,-0.1248,-0.0674,14.8476,4002,
4706,-0.0725,0.0174,11.4939,4004,
4760,0.1598,-0.2451,3.9329,4002,
4814,-0.0890,-0.0453,0.2134,4002,
4869,-0.1641,0.0303,-1.2500,4004,
4922,-0.2175,0.1459,-1.4939,4002,
4976,-0.2616,0.2661,-1.4634,4002,
5030,-0.3233,0.3455,-1.5854,3998,
5085,-0.3582,0.4148,-0.8232,3998,
5138,-0.3886,0.4750,-0.7012,3996,
