t,ax,ay,yawRate,steer
8054,0.4650,-0.1777,3.1098,2212,
8109,0.7374,-0.0047,1.6463,2216,
8163,0.7087,0.0149,2.8354,2216,
8217,0.5195,1.6467,-22.8354,2220,
8270,0.2983,2.3512,-39.0854,2222,
8325,0.4747,2.7175,-50.6098,2224,
8379,0.4411,3.2198,-65.9451,2224,
8432,0.3691,3.3827,-73.1402,2228,
8486,0.4821,3.4373,-81.8598,2246,
8541,0.9172,3.8162,-84.9085,2266,
8595,0.9564,3.6511,-86.7073,2270,
8648,1.0146,3.9843,-94.4207,2258,
8702,0.9304,3.6242,-104.6342,2332,
8757,1.5445,3.7742,-116.0976,2480,
8810,2.3455,3.0208,-114.0244,2836,
8864,2.0929,2.5904,-102.0122,3036,
8919,1.8989,2.0771,-55.3963,3228,
8972,1.5090,1.5324,-8.2012,3324,
9026,1.0554,0.9204,32.0122,3428,
9079,0.7414,0.1076,47.4085,3554,
9134,0.2905,-0.6896,67.1951,3684,
9188,0.0049,-1.3063,79.1768,3766,
9242,-0.2714,-1.9304,85.8232,3794,
9295,-0.3157,-2.0625,85.5488,3834,
9350,-0.5466,-2.4980,85.0915,3834,
9404,-0.6494,-2.1909,76.5549,3832,
9458,-0.6876,-2.0151,75.3963,3778,
9512,-0.6516,-1.8640,70.0000,3666,
9566,-0.6563,-1.4773,61.2805,3642,
9620,-0.4791,-1.2604,51.9817,3652,
9674,-0.3914,-1.1893,46.8293,3706,
9728,-0.4501,-1.1698,45.9146,3704,
9782,-0.4458,-1.0239,44.4512,3396,
9836,-0.5098,-1.0303,37.7134,3122,
9890,-0.4141,-0.8884,20.0915,2996,
9944,-0.1622,-0.7088,8.2622,2996,
9998,-0.0757,-0.6576,8.5671,2982,
10052,0.0108,-0.5576,7.9268,2988,
10105,-0.0325,-0.4509,6.5854,3056,
10160,-0.1084,-0.4594,5.7012,3420,
10214,0.0459,-0.3900,8.1402,3800,
10268,-0.1950,-0.4379,17.8963,3940,
10321,-0.3289,-0.4610,25.8537,4002,
10376,-0.4111,-0.5230,29.1463,4002,
10430,-0.1024,-0.5486,29.3902,4002,
10483,0.1073,-0.4485,18.8720,4004,
10537,0.0882,-0.3281,17.6524,4004,
10592,0.1055,-0.2826,14.4512,4004,
10646,0.0332,-0.2984,10.1220,4002,
10699,-0.1209,-0.0079,3.5061,4004,
10754,0.1254,0.0018,-0.1829,4004,
10808,0.0759,0.0091,-1.0976,4004,
10861,0.0464,0.0992,-0.7927,4002,
10915,-0.0175,0.1732,-1.0976,4004,
10970,-0.0585,0.2214,-1.0671,3988,
11024,-0.1000,0.2777,-0.3049,3988,
11077,-0.1197,0.3160,0.1829,3982,
11131,-0.1350,0.3471,0.4878,3978,
11186,-0.0941,0.3974,0.3963,3962,
11240,-0.5388,0.8078,-7.7439,3942,
11293,-0.2438,1.0892,13.4756,3950,
11347,-1.0627,1.2429,42.0732,3934,
11402,-1.3989,2.2920,53.7805,3912,
11455,-1.9016,2.1391,65.6402,3910,
11509,-2.1002,2.0230,75.9451,3892,
11564,-2.1346,1.8315,76.1585,3874,
11618,-2.5279,1.6735,85.2134,3832,
11671,-2.3163,1.5854,86.4939,3782,
11725,-2.4856,1.3248,90.3659,3752,
11780,-2.4352,1.0622,96.8598,3792,
11833,-2.5487,0.9662,104.8781,3794,
11887,-2.6068,0.5316,102.7134,3814,
11941,-2.7927,0.4574,108.8720,3816,
11996,-3.0482,0.6072,116.3110,3814,
12049,-3.0927,0.4360,127.5610,3824,
12103,-3.4960,0.1965,134.0244,3770,
12157,-3.8378,0.2937,143.5671,3768,
12212,-4.2017,0.0209,156.0671,3764,
12265,-3.8436,-0.0278,160.9451,3742,
12319,-4.1245,-0.5720,177.4695,3548,
12374,-3.9470,-0.9292,193.7195,3052,
12427,-3.4875,-0.5547,184.9695,2996,
12481,-3.2645,-0.4854,152.4695,2968,
