t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
1035,0.0201,0.1034,0.5793,1976,1.035,0.0,0.0,0.0201,0.1034,0.0
1089,0.2129,0.2163,-5.6402,2014,1.089,-0.30457080000000025,-0.00531576326543315,0.21404678619261125,0.21516522330668253,-115.17592592592582
1143,0.177,0.3115,-8.689,2360,1.143,-0.7737768000000007,-0.013504952835545671,0.18119052421767765,0.30908129017092445,-56.459259259259206
1197,0.1426,0.3042,-5.9146,2674,1.197,-1.093165200000001,-0.019079332008222333,0.14837762677428082,0.30142408641784457,51.37777777777773
1251,-0.1546,0.4373,9.6646,2932,1.251,-0.5712768000000026,-0.009970661100257187,-0.15023221749928217,0.43881970195656483,288.5037037037046
1305,0.1502,0.4791,8.9024,3030,1.305,-0.09054720000000216,-0.0015803467684618472,0.15095695625970568,0.478862033739161,-14.114814814814801
1359,-0.0464,0.4025,6.5854,2976,1.359,0.26506439999999815,0.004626246509823225,-0.048261561049027735,0.4022810357512655,-42.90740740740737
1413,0.1884,0.3833,-0.7012,2988,1.413,0.22719959999999811,0.003965381079214076,0.18687859219349187,0.38404406228944427,-134.93703703703693
1467,0.1253,0.4766,0.9146,2988,1.467,0.27658799999999817,0.004827371271506045,0.12299782382554081,0.47719931405460053,29.9222222222222
1521,0.1788,0.4794,0.4573,2936,1.521,0.3012821999999981,0.005258366367652027,0.1762766788389026,0.480333563784092,-8.468518518518545
1575,0.1588,0.5124,0.9146,2574,1.575,0.35067059999999817,0.006120356559943995,0.15566097466092615,0.513362309648469,8.468518518518511
1629,0.3224,0.5363,-4.6951,2156,1.629,0.09713519999999792,0.0016953290595831598,0.321490332149519,0.5368458031263651,-103.88333333333324
1683,0.2465,0.4817,-9.0854,1968,1.683,-0.3934764000000025,-0.00686745870889426,0.24980221616541384,0.47999582581398337,-81.30185185185178
1737,0.3633,0.5108,-9.878,1968,1.737,-0.9268884000000029,-0.016177254378542262,0.3715154437021661,0.5048562221967584,-14.677777777777768
1790,0.3381,0.5188,-10.5488,1968,1.79,-1.4859748000000024,-0.025935152861664274,0.3514399468680151,0.5098578367990501,-12.656603773584918
1845,0.0995,0.5774,-3.0183,1968,1.845,-1.651981300000002,-0.02883251286637624,0.11610423142464296,0.5742915787692634,136.91818181818198
1899,0.0628,0.6027,3.2317,1968,1.899,-1.477469500000002,-0.025786707372794395,0.07831904776923969,0.6008804013749488,115.74074074074063
1952,0.1427,0.5918,-0.8232,1968,1.952,-1.521099100000002,-0.026548187544122515,0.1583590869196653,0.5878034787154376,-76.50754716981142
2007,0.0859,0.6243,1.4939,1968,2.007,-1.4389346000000018,-0.02511414649086763,0.101550025538463,0.6219460525746083,42.129090909090785
2061,0.1563,0.6373,0.122,1968,2.061,-1.4323466000000018,-0.02499916419974624,0.1721814699867721,0.6331939050505732,-25.40555555555564
2115,0.1409,0.6521,1.2195,1966,2.115,-1.3664936000000014,-0.02384981252743041,0.156410917366792,0.6485544271134679,20.324074074073977
2168,0.1683,0.6543,0.2134,1968,2.168,-1.3551834000000014,-0.023652412298371346,0.1837272560589599,0.6501366590041245,-18.98301886792455
2223,0.1949,0.6556,0.7622,1968,2.223,-1.3132624000000015,-0.022920752822642807,0.20987433565287972,0.6509609306511892,9.978181818181868
2277,0.2038,0.6653,0.4268,1968,2.277,-1.2902152000000013,-0.022518503299277168,0.21872862455473374,0.6605424428455708,-6.211111111111079
2331,0.2445,0.6615,0.6707,1968,2.331,-1.2539974000000014,-0.021886383441448366,0.2589181297294165,0.655990778972861,4.51666666666668
2384,0.2334,0.6738,0.4573,1970,2.384,-1.2297605000000014,-0.021463369735971752,0.24780714931552883,0.6686356382575723,-4.026415094339627
2439,0.2614,0.6813,0.6707,1970,2.439,-1.1928720000000013,-0.02081954395484982,0.27552668029468363,0.6757105137895897,3.8799999999999883
2493,0.2537,0.6848,0.6707,1968,2.493,-1.1566542000000013,-0.02018742409702102,0.2674717153729723,0.6795392641160919,0.0
2547,0.2456,0.6824,0.4573,1968,2.547,-1.1319600000000012,-0.019756429000875035,0.25903298083442305,0.6774149650251561,-3.9518518518518317
2600,0.2525,0.6886,0.7927,1968,2.6,-1.0899469000000013,-0.019023162076905405,0.2655528732934791,0.6836723495107707,6.32830188679246
2655,0.2312,0.6936,0.4878,1970,2.655,-1.0631179000000015,-0.01855490769188785,0.24402914735762057,0.6891909570212836,-5.5436363636363915
2709,0.2357,0.6904,0.5488,1968,2.709,-1.0334827000000013,-0.018037675877400825,0.24811419377390287,0.6860364398834263,1.1296296296296229
2763,0.2197,0.6907,0.6707,1968,2.763,-0.9972649000000015,-0.017405556019572024,0.23168813194477403,0.686771570113339,2.2574074074074146
2817,0.2217,0.6876,0.5793,1968,2.817,-0.9659827000000013,-0.01685957863230465,0.23326058922734025,0.6837646872377324,-1.6925925925925827
2871,0.2219,0.6899,0.6707,1968,2.871,-0.9297649000000014,-0.01622745877447585,0.23306561660131608,0.6862084510979504,1.6925925925925966
2925,0.2177,0.6927,0.7927,1968,2.925,-0.8869591000000016,-0.015480356625525665,0.2283967303007662,0.6892470628068857,2.2592592592592666
2979,0.2278,0.6911,0.3049,1968,2.979,-0.8704945000000015,-0.015192995145501806,0.23827318430581101,0.6875594080810538,-9.033333333333287
3033,0.2407,0.6874,0.4573,1968,3.033,-0.8458003000000016,-0.014762000049355824,0.25082080449806793,0.6837720190465109,2.822222222222231
3087,0.2433,0.6902,0.5793,1968,3.087,-0.8145181000000015,-0.01421602266208845,0.25308698387569223,0.6866716162713479,2.259259259259249
3141,0.3254,0.704,0.3659,1968,3.141,-0.7947595000000015,-0.0138711700365039,0.3351336860521103,0.6994187390062734,-3.951851851851865
3195,-0.0883,0.9645,-7.4085,1968,3.195,-1.1948185000000002,-0.02085351678873987,-0.0681690420174371,0.9661315240227,-143.97037037037083
3249,-0.458,1.7364,-40.3049,1968,3.249,-3.3712831000000114,-0.05883999011184145,-0.3550965830145405,1.7603282014247792,-609.1925925925896
3303,0.0717,2.1984,-67.1646,1968,3.303,-6.9981715,-0.12214113429423035,0.33901376695258023,2.1732862480162667,-497.4018518518533
3357,-0.2299,2.5062,-86.9207,1968,3.357,-11.691889300000023,-0.20406196406369545,0.282748190547842,2.500789057625997,-365.85370370370197
3410,-0.0039,3.3763,-106.7073,1968,3.41,-17.347376200000017,-0.30276883127210263,1.0029693032587341,3.2238904256690692,-373.3320754716987
3465,0.2028,3.754,-123.5061,1968,3.465,-24.14021169999998,-0.4213261762934573,1.7203417831438126,3.3427635257627135,-305.43272727272887
3519,0.5664,3.9207,-153.3842,1968,3.519,-32.42295850000002,-0.5658873790624822,2.580248099742507,3.0058305331098065,-553.2981481481452
3573,1.2686,3.9927,-155.2744,1968,3.573,-40.8077761,-0.7122300533616508,3.5695340422765107,2.1930403487006602,-35.00370370370421
3627,1.4688,3.99,-160.0,1968,3.627,-49.44777609999997,-0.8630265007339604,3.9865835428599223,1.478047731231448,-87.51111111111113
3681,1.776,4.2522,-175.9451,1966,3.681,-58.94881150000002,-1.0288508508124976,4.558956054972753,0.6717890508390809,-295.27962962962806
3735,1.8288,4.1961,-197.1037,1968,3.735,-69.59241129999998,-1.214616711587107,4.5704307812380085,-0.25085279331140153,-391.8259259259273
3788,1.6541,3.5384,-210.3963,1980,3.788,-80.74341519999997,-1.4092384445448354,3.758394457335551,-1.063387263921009,-250.80377358490583
3843,2.936,3.864,-237.9573,1968,3.843,-93.83106670000001,-1.6376610545734105,3.6591968650119253,-3.187612006359446,-501.10909090908956
