t,ax,ay,yawRate,steer
1038,0.0024,0.1130,0.5488,3074
1092,0.0359,0.2077,0.3963,3004
1145,0.0517,0.3117,-1.0976,2998
1200,0.0385,0.3734,-0.3354,2996
1254,0.0102,0.4175,0.4573,2982
1307,0.0130,0.4609,0.2134,2994
1361,0.0132,0.4899,0.8537,2990
1416,0.0168,0.5197,0.5183,2980
1470,0.0240,0.5403,0.6402,2980
1523,0.0345,0.5534,0.5183,3184
1577,0.0980,0.5715,0.0610,3734
1632,-0.0585,0.5597,7.6220,4002
1685,-0.1273,0.5488,13.1402,4004
1739,-0.1583,0.5137,13.7500,4004
1794,-0.0290,0.6351,7.9268,3928
1848,0.0735,0.7207,-0.9146,3348
1901,-0.0460,0.6929,-3.9024,3112
1955,0.0565,0.7616,-13.4146,3018
2010,-0.0366,0.6222,-15.0610,2984
2063,-0.3985,0.5170,0.8841,2982
2117,0.0494,0.5797,-5.2744,2994
2171,-0.1094,0.5888,-1.4024,2980
2226,-0.1359,0.6357,-0.9756,2980
2279,-0.0613,0.6498,0.6098,2992
2333,-0.0768,0.6602,0.3354,3012
2387,-0.0725,0.6636,0.3049,3036
2442,-0.0465,0.6578,0.7927,3092
2495,-0.0108,0.6440,0.6098,3146
2549,0.0315,0.6752,1.0061,3192
2604,-0.0236,0.6436,1.6768,3236
2658,-0.0218,0.6240,2.4695,3256
2711,0.0070,0.6022,2.2866,3266
2765,-0.0140,0.5890,1.6768,3234
2820,0.0103,0.6053,-0.0305,3172
2874,0.0332,0.6260,-0.0610,3164
2927,-0.0467,0.5879,0.8537,3144
2981,-0.0364,0.5934,0.5793,3112
3036,-0.0330,0.5805,0.4268,3070
3089,-0.0134,0.5837,-1.1280,2990
3143,0.0697,0.6388,-2.7439,2980
3197,-0.0678,0.5982,0.7622,2980
3252,-0.0533,0.6232,0.5793,2992
3305,0.0431,0.6479,0.0000,2992
3359,-0.4041,0.4958,0.7317,2978
3414,-0.7916,1.5861,4.2683,2992
3468,-0.7157,2.1203,7.1646,2992
3521,-1.0442,2.3767,5.1524,2978
3575,-1.3740,2.7302,10.3049,2978
3630,-0.9948,3.8505,1.2805,2992
3683,-1.1071,3.6234,-3.5061,2992
3737,-1.7869,3.6850,10.3963,2978
3791,-1.5071,3.5312,8.8415,2992
3846,-2.1111,3.5504,2.7134,3036
3899,-2.0184,3.7104,8.1707,3086
3953,-1.8934,3.9399,1.0671,3192
4007,-2.4427,3.9420,26.3110,3246
4061,-2.4244,3.4553,37.6220,3312
4115,-2.6740,3.1640,46.4329,3364
4169,-3.7352,2.7817,56.5244,3554
4224,-3.7739,2.7214,67.5305,3722
4277,-3.4348,2.6881,86.8293,3766
4331,-3.6950,1.7161,100.8232,3782
4385,-3.6240,1.7359,119.0549,3782
4439,-4.1121,1.5467,138.9329,3790
4493,-3.8839,0.8466,152.6829,3776
4547,-4.0926,0.4599,170.3354,3772
4601,-3.9334,0.9215,188.6280,3766
4655,-3.8683,1.0053,201.2195,3766
4709,-4.1601,0.6750,214.7256,3764
4763,-4.6195,-0.5077,240.1524,3738
4816,-4.9593,-1.1000,256.5549,3466
4871,-4.9419,-1.3459,259.9390,3090
4924,-4.6875,-1.5446,258.6281,3044
4978,-4.4453,-1.4009,251.7378,2892
5032,-4.6322,-1.5464,257.6524,2976
5087,-4.5931,-0.9182,261.1281,3050
5140,-4.5684,-0.4065,249.4512,3044
5194,-3.8396,0.1670,202.5305,2964
5249,-2.4109,0.6350,125.0305,2984
5302,-3.2326,1.2176,43.0488,3004
5356,-2.8662,1.2188,30.0000,3000
5410,-2.3404,1.0105,3.7500,2986
5465,-2.3583,1.5271,2.8049,2982
5518,-2.0427,1.6450,-0.4268,2990
