t,ax,ay,yawRate,steer
1050,0.0077,0.1298,0.5183,4002
1104,0.0085,0.2025,-0.6098,4004
1159,-0.1656,0.2932,11.5244,4002
1212,-0.1487,0.3729,12.8049,3988
1266,-0.2397,0.3639,12.9268,3356
1320,-0.0141,0.5727,1.1585,3054
1375,0.1214,0.7057,-16.0061,2980
1428,-0.0245,0.5679,-15.0915,2978
1482,-0.3218,0.4869,-2.9573,2992
1537,0.2133,0.5471,-4.2988,2990
1591,-0.0429,0.4233,-1.2195,2980
1644,0.0466,0.5033,0.6402,2992
1698,0.0109,0.5205,1.0671,2990
1753,-0.0042,0.5615,1.0061,2980
1806,0.0211,0.6149,0.5793,2978
1860,0.0360,0.6485,0.6098,2992
1914,0.0475,0.6572,0.3659,2992
1969,0.0686,0.6488,0.6707,2996
2023,0.0956,0.6282,0.4878,3028
2076,0.1177,0.6141,0.7622,3012
2130,0.1224,0.6330,0.7927,2978
2185,0.1286,0.6348,0.8232,2980
2239,0.1119,0.6337,0.3354,2992
2292,0.1312,0.6128,1.0976,2992
2347,0.1198,0.6176,0.8232,2980
2401,0.1078,0.6191,0.6402,2992
2454,0.0973,0.6183,0.4573,2990
2508,0.0840,0.6283,0.6098,2978
2563,0.0797,0.6333,0.3963,2980
2617,0.0877,0.6379,0.4878,2992
2670,0.0979,0.6401,0.3659,2992
2724,0.1200,0.6370,0.6707,2980
2779,0.1491,0.6150,0.6402,2992
2833,0.5096,1.0359,-10.6098,2992
2886,0.4010,1.8812,-13.8415,2980
2940,-0.2792,3.0435,3.5671,2980
2995,-0.4278,3.0085,4.7561,2992
3048,-0.7555,3.3932,3.9024,2992
3102,-0.8505,3.4984,8.7195,2980
3156,-0.9759,3.7679,8.8720,2992
3211,-1.0000,4.1449,0.7622,2992
3264,-1.3172,3.8321,12.7744,2978
3318,-1.2285,3.7887,2.6829,2980
3373,-1.2797,4.0073,4.1159,2992
3426,-1.1468,3.4879,7.1037,2992
3480,-1.1540,3.5469,1.4329,2980
3534,-1.6261,3.0602,12.2866,2992
3589,-1.5700,2.3797,10.0915,3032
3642,-1.6534,2.3960,3.4146,3360
3696,-1.5703,2.5934,19.5122,3628
3750,-1.7638,2.6589,34.9390,3646
3805,-2.5224,1.8666,75.0610,3608
3858,-2.7468,1.3674,91.9207,3560
3912,-3.5793,0.8511,102.3476,3560
3966,-3.6569,0.8202,122.4085,3548
4020,-4.6618,0.3847,138.4756,3532
4074,-4.6163,0.0688,141.4329,3532
4128,-4.5396,0.1628,146.1585,3534
4183,-5.4182,0.0067,158.5976,3566
4236,-4.8493,0.1998,173.8415,3556
4290,-5.3131,0.2225,185.6098,3562
4344,-4.8016,-0.1734,190.0305,3580
4398,-5.2697,-0.2451,199.0244,3600
4452,-4.5481,0.1334,213.5976,3600
4506,-4.8006,-0.0130,220.7012,3600
4560,-3.9975,0.5226,221.4024,3612
4614,-3.5811,0.6378,244.5427,3604
4668,-3.2628,0.3542,241.7988,3604
4722,-3.4626,0.4366,265.9756,3606
4775,-3.8158,0.8362,268.1403,3608
4830,-4.0980,0.9563,269.9085,3608
4884,-3.7007,1.0633,271.6769,3608
4938,-4.3866,1.3314,272.5915,3620
4992,-4.5076,2.3130,253.9329,3608
5046,-5.3500,2.2727,245.6707,3564
5100,-4.5415,2.3550,215.2439,3484
5153,-4.2930,2.8982,210.9451,3384
5208,-3.6911,3.1187,199.7561,3284
5262,-3.3824,3.4421,173.1402,3130
5316,-2.9472,3.3106,164.5427,2996
5369,-2.1940,3.6665,136.1280,2982
5423,-1.2089,2.8422,32.9268,2982
5477,-1.2894,1.7872,-13.1402,2990
