t,ax,ay,yawRate,steer
1049,-0.0014,0.1144,0.5793,3612
1103,-0.0998,0.1581,5.9451,3998
1157,-0.0439,0.1361,10.5183,4004
1211,-0.0385,0.2204,10.9146,4002
1265,-0.2257,0.2314,11.7988,3822
1318,-0.0498,0.3518,4.2683,3340
1373,0.0746,0.4878,-9.9390,3104
1427,0.0616,0.4678,-15.0610,2992
1481,-0.0800,0.3910,-4.6951,2978
1534,-0.1325,0.3865,4.0549,2992
1589,-0.2779,0.3097,2.3780,2992
1643,-0.0959,0.3751,1.0671,2978
1696,-0.1122,0.4543,0.0305,2980
1751,-0.1390,0.4673,1.4939,2992
1805,-0.1007,0.5022,1.0671,3026
1859,-0.0672,0.5167,0.9756,3042
1912,-0.0576,0.5307,0.4573,3166
1967,-0.1543,0.4920,4.6341,3084
2021,0.0791,0.5143,-1.0061,3032
2075,0.0566,0.5604,-0.0610,2990
2128,0.0740,0.5958,-0.4573,2998
2183,-0.0011,0.5666,1.8902,2994
2237,-0.0315,0.5649,1.0061,2982
2290,0.0021,0.5707,0.7012,2990
2344,0.0107,0.5542,0.9451,2992
2399,-0.0039,0.5458,0.5183,2980
2452,0.0027,0.5526,0.6098,2978
2506,0.0117,0.5598,0.4573,2992
2561,0.0046,0.5551,0.7622,2992
2615,-0.0011,0.5466,0.8232,2980
2668,-0.0033,0.5450,0.6098,2990
2722,-0.0189,0.5437,0.5488,2990
2777,-0.0161,0.5480,0.4573,2980
2831,-0.0215,0.5366,0.7012,2980
2885,-0.0028,0.5384,0.5183,2990
2938,0.0054,0.5399,0.5793,2992
2993,0.0110,0.5397,0.4878,2980
3047,0.0122,0.5356,0.4268,2990
3101,0.0126,0.5276,0.7012,2992
3154,-0.0110,0.5308,0.7622,2980
3209,-0.0203,0.5333,0.6402,2980
3263,-0.0780,0.5320,0.7622,2990
3316,0.0583,0.5089,0.5183,2992
3371,-0.0812,0.5087,2.3171,2978
3425,-0.2900,0.9279,-2.1646,2992
3479,-0.4997,1.3289,-1.5854,2990
3532,-0.8006,2.2708,-1.2500,2980
3587,-1.0551,2.9529,-3.8720,2978
3641,-1.1841,3.2937,-6.2500,2992
3695,-1.6531,4.0446,1.4634,2992
3748,-1.5389,4.1383,0.7622,2980
3803,-1.7827,4.0007,5.2134,3044
3857,-1.6067,4.4398,3.3232,3308
3910,-1.8016,4.2888,27.6524,3396
3964,-2.2830,3.7988,38.7195,3538
4019,-2.7338,3.3756,63.6585,3638
4072,-3.4541,3.3958,67.6220,3698
4126,-3.4059,3.5436,82.0732,3726
4180,-4.9005,2.1276,101.7378,3744
4235,-4.4026,1.9027,113.7500,3746
4288,-5.0477,1.6687,133.2927,3746
4342,-4.1722,1.7702,155.0305,3726
4397,-4.0220,1.8955,163.8110,3726
4450,-3.7204,1.4604,182.1646,3738
4504,-4.1538,1.2665,193.2622,3720
4558,-5.0210,0.7795,207.8354,3718
4613,-5.1411,0.0672,225.6402,3712
4666,-5.9694,-0.1694,232.6220,3694
4720,-5.9300,-0.6680,250.2744,3692
4774,-5.6308,-0.4865,258.4756,3688
4829,-5.9177,-0.5041,259.3598,3682
4882,-5.7526,0.0937,278.4451,3670
4936,-5.0201,0.4269,290.5793,3668
4990,-5.0638,0.2630,294.9390,3666
5044,-5.1893,0.4216,292.8659,3654
5098,-4.8438,0.6854,288.2927,3646
5152,-4.4722,0.6407,276.0061,3624
5207,-4.1514,1.0522,262.4390,3636
5260,-4.0298,1.6644,251.9817,3624
5314,-3.5360,2.0077,227.9268,3624
5368,-3.7626,2.2516,221.1585,3626
5422,-3.4252,2.4118,194.2988,3640
5476,-3.5264,2.8445,181.3110,3580
