t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
10105,-0.1565,0.5151,-2.8659,2574,10.105,-0.1547586000000007,-0.0027010471157769,-0.1551081214377175,0.5155208343646863,101.0611111111106,0
10160,-0.1793,0.4284,-1.2195,2680,10.16,-0.2218311000000004,-0.0038716830783208,-0.1776400312674998,0.4290909802026624,29.934545454545606,0
10213,-0.2181,0.0803,0.1829,2778,10.213,-0.2121374000000006,-0.0037024960966202,-0.217801195334973,0.0811069621589719,26.460377358491044,0
10267,-0.1276,-0.0919,2.1951,2800,10.267,-0.093602,-0.0016336630864517,-0.1277499632979478,-0.0916914220490279,37.26296296296277,0
10321,0.101,0.629,-2.4695,2830,10.321,-0.2269550000000006,-0.0039611120038637,0.1034907405703067,0.6285949941068649,-86.38148148148105,0
10375,-0.2688,1.3852,-4.2378,2830,10.375,-0.4557962000000018,-0.0079551444080786,-0.2577721448240392,1.3872944897723822,-32.74629629629613,0
10429,-0.578,1.9907,-5.122,2816,10.429,-0.7323842000000031,-0.0127825156795847,-0.552507319134255,1.9979254621489455,-16.37407407407399,0
10483,-0.5227,2.7053,-5.7622,2824,10.483,-1.0435430000000048,-0.0182132612361392,-0.4733436950801736,2.714370852762726,-11.855555555555496,0
10537,-0.7687,3.189,-5.6402,2822,10.537,-1.3481138000000064,-0.0235290245015724,-0.6934600918963599,3.2062023939463167,2.2592592592592458,0
10591,-1.2169,3.4768,-7.622,2810,10.591,-1.7597017999999949,-0.0307125902632706,-1.1095613691807678,3.5125286359005954,-36.70000000000102,0
10645,-1.2795,3.6505,-6.6159,2792,10.645,-2.1169603999999964,-0.0369479291143361,-1.1437790158525498,3.6952726642151017,18.631481481481387,0
10699,-1.1567,3.2585,-3.8415,2626,10.699,-2.324401399999997,-0.0405684575679656,-1.023592220632335,3.3027316127504163,51.37777777777752,0
10753,-0.3402,2.6686,-13.3537,2278,10.753,-3.045501200000001,-0.0531540233134383,-0.1979394795183764,2.6829055075510944,-176.15185185185098,1
10807,0.5088,2.6453,-27.2866,2070,10.807,-4.518977600000008,-0.0788710379438714,0.7156396032830004,2.596988542179759,-258.0166666666654,1
10861,1.0128,2.3695,-58.689,2020,10.861,-7.688183600000024,-0.1341841173178311,1.320691741517857,2.2127059031616763,-581.525925925923,0
10915,2.1088,2.1087,-90.5488,2162,10.915,-12.57781879999989,-0.2195243507792402,2.517393130916309,1.5988698991523298,-589.9962962963127,0
