t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
1094,-0.0653,0.2628,0.5793,2978,1.094,0.0312822,0.0005459773872673,-0.0654434731175644,0.2627643085091858,1.6944444444444433,0
1147,-0.0848,0.3668,0.4573,2980,1.147,0.0555191,0.0009689910927439,-0.0851553860659863,0.3667176573659261,-2.301886792452834,0
1202,-0.1339,0.4342,0.7012,2992,1.202,0.0940850999999999,0.0016420947720681,-0.1346128167006252,0.4339795382041921,4.434545454545461,0
1256,-0.1641,0.4944,0.4878,2990,1.256,0.1204262999999999,0.0021018354409944,-0.1651387842037644,0.4940539970000268,-3.951851851851849,0
1310,-0.1878,0.5406,0.5793,2978,1.31,0.1517085,0.0026478128282618,-0.1892307476180551,0.5401008462832769,1.6944444444444433,0
1363,-0.2034,0.5776,0.5488,3274,1.363,0.1807948999999999,0.0031554662758138,-0.205221581673575,0.5769553036547945,-0.5754716981132098,0
1418,-0.2058,0.61,0.5488,3584,1.418,0.2109788999999999,0.0036822764572358,-0.2080447883268675,0.6092380536785509,0.0,0
1472,-0.4203,0.5531,10.4878,3750,1.472,0.7773201000000005,0.0135667950869315,-0.4277648849954001,0.5473471505040216,184.0555555555554,0
1525,-0.4455,0.578,11.5244,3858,1.525,1.3881132999999997,0.0242271474757237,-0.4593711836394298,0.5670382400171167,19.55849056603776,0
1580,-0.4033,0.5984,8.2012,3918,1.58,1.839179300000001,0.0320997343195245,-0.422297421576365,0.5851481331508749,-60.421818181818,0
1634,-0.2858,0.722,3.872,3994,1.634,2.0482673000000005,0.0357490083459344,-0.3114226811654918,0.7113238036616631,-80.17037037037063,0
1688,-0.3555,0.7231,3.9329,4002,1.688,2.2606439000000007,0.0394556792701254,-0.3837463232748797,0.7085143748527699,1.12777777777778,0
1741,-0.3141,0.7863,2.5305,4004,1.741,2.394760400000001,0.0417964537763764,-0.3466806661414047,0.7724888450481029,-26.46037735849049,0
1796,-0.3566,0.7507,1.128,4002,1.796,2.456800400000001,0.0428792560443137,-0.3884518167229825,0.7347239182744866,-25.500000000000032,0
1850,-0.3581,0.7792,0.8232,3944,1.85,2.501253200000001,0.0436551037660442,-0.3917640798441267,0.7628297029769389,-5.644444444444437,0
1903,-0.3679,0.7837,0.3963,3894,1.903,2.5222571000000014,0.0440216909768038,-0.4020322365381243,0.7667504031848653,-8.054716981132087,0
1957,-0.3522,0.7975,-0.122,3854,1.957,2.515669100000001,0.0439067086856825,-0.3868649198733175,0.7812724388914609,-9.59814814814814,0
2012,-0.3191,0.8032,-2.4695,3846,2.012,2.379846600000002,0.0415361588623925,-0.3521770262294642,0.7892568607216356,-42.68181818181823,0
2066,-0.318,0.7934,-0.2744,3796,2.066,2.365029000000002,0.041277542955149,-0.3504694319937998,0.7796016529215054,40.65000000000013,0
2120,-0.2745,0.8392,-1.2195,3778,2.12,2.299176000000002,0.0401281912828331,-0.3079455609067644,0.8275121881385302,-17.501851851851765,0
2173,-0.3259,0.7853,-1.6463,3598,2.173,2.211922100000002,0.0386053234426273,-0.3559664047303547,0.772136528538409,-8.052830188679255,0
2228,-0.1655,0.86,-5.4878,3196,2.228,1.910093100000001,0.0333374136146253,-0.1940729069738476,0.8540058294758416,-69.84545454545434,0
2282,-0.2339,0.813,-8.2622,3064,2.282,1.4639343000000025,0.0255504735678784,-0.2545939310111164,0.8067590348377307,-51.37777777777794,0
2336,-0.1976,0.8328,-11.9512,3038,2.336,0.8185695000000045,0.0142867329314038,-0.2094774206402187,0.8298920473422557,-68.31481481481504,0
2390,-0.3631,0.7472,-4.3293,3002,2.39,0.5847873000000033,0.0102064638088478,-0.3707072251065887,0.7434551790483223,141.1462962962956,0
2444,0.1046,0.7481,3.4451,2984,2.444,0.7708227000000027,0.0134533940641125,0.0945263536658601,0.7494394828554448,143.97037037037083,0
2498,-0.0284,0.7694,-2.1646,2996,2.498,0.6539343000000022,0.0114133066267243,-0.0371793577478797,0.7690257572782951,-103.8833333333328,0
2551,0.0496,0.7937,0.0305,3138,2.551,0.6555508000000022,0.0114415198740828,0.0405158173150688,0.7942155365814068,41.41698113207552,0
2606,0.0411,0.8001,1.0061,3272,2.606,0.710886300000002,0.0124073065423201,0.0311700052793213,0.8005483438062233,17.73818181818191,0
2660,-0.1663,0.722,4.2988,3372,2.66,0.9430215000000032,0.0164588300920957,-0.1781602145657802,0.7191652299338971,60.97592592592562,0
2714,-0.1498,0.7289,2.8963,3436,2.714,1.0994217000000026,0.0191885285328733,-0.163758082852363,0.7258915485804465,-25.972222222222303,0
2767,-0.1907,0.7421,4.4207,3528,2.767,1.3337188000000024,0.0232777843557477,-0.2079212202066869,0.7374602810916412,28.76226415094343,0
2822,-0.2469,0.7182,3.872,3628,2.822,1.5466788000000031,0.0269946375307949,-0.2661952402658407,0.7112741694029182,-9.97636363636361,0
2876,-0.2727,0.7172,3.3232,3688,2.876,1.7261316000000029,0.0301266797427178,-0.2941798422069918,0.7086602503591332,-10.162962962962997,0
2930,-0.2464,0.7481,4.9085,3708,2.93,1.991190600000004,0.0347528320047614,-0.2722445796235639,0.7390869088717436,29.357407407407266,0
2983,-0.2417,0.7728,2.6524,3728,2.983,2.131767800000004,0.037206366997996,-0.2702791719764538,0.7632744586292158,-42.56792452830194,0
3038,-0.2795,0.7465,1.0671,3728,3.038,2.1904583000000035,0.0382307094626377,-0.3078280411013125,0.7352716485161989,-28.82363636363652,0
3092,-0.2126,0.8022,0.7317,3730,3.092,2.229970100000004,0.0389203204660272,-0.2436529972408812,0.793320122608481,-6.211111111111078,0
3145,-0.2793,0.7806,0.9451,3742,3.145,2.2800604000000035,0.0397945611243389,-0.3101343147497935,0.7688703120908467,4.026415094339628,0
3200,-0.9359,2.1462,2.1951,3690,3.2,2.400790900000004,0.041901705856918,-1.02498164338273,2.105111845182682,22.727272727272663,0
3254,-0.7229,2.0225,10.8841,3670,3.254,2.988532300000002,0.0521597284371989,-0.8273620711386246,1.9820602067649729,160.90740740740793,0
3308,-1.1069,2.1849,40.9146,3666,3.308,5.197920699999995,0.0907208304725683,-1.300292240097464,2.075633809307971,556.1203703703721,0
3361,-0.9382,3.0245,41.8293,3666,3.361,7.414873600000011,0.1294139579392052,-1.320675354299414,2.878130660436756,17.258490566037676,0
3416,-1.3027,3.2734,68.0488,3664,3.416,11.157557599999992,0.1947361166009163,-1.911505292483143,2.9594462939558364,476.7181818181842,1
3470,-1.8423,3.2518,79.3598,3642,3.47,15.442986800000014,0.2695309660020233,-2.6416726525709877,2.64383020004284,209.46296296296205,1
3524,-3.0301,3.2699,96.7683,3634,3.524,20.668475,0.3607329401161349,-3.989222058709586,1.9899395433793587,322.3796296296305,0
3577,-3.533,2.9951,107.9878,3496,3.577,26.39182839999999,0.4606243012013469,-4.496117854824517,1.1124914586315624,211.6886792452832,0
3632,-3.424,2.7677,122.1951,3272,3.632,33.11255890000001,0.577923176565552,-4.379893530623036,0.4477409411774555,258.3145454545448,0
3686,-2.9834,3.463,123.8415,2948,3.686,39.79999989999999,0.6946410405484137,-4.508796952294816,0.7508625726302913,30.488888888888983,0
3739,-3.6269,3.1166,102.622,2810,3.739,45.23896589999998,0.7895689051524395,-4.766828153975449,-0.3807210533540535,-400.3679245283023,0
3793,-2.598,2.8026,67.9268,2684,3.793,48.9070131,0.8535884059109987,-3.819783498334387,-0.1158653781433909,-642.5037037037005,0
3848,-1.9884,2.3082,18.5366,2694,3.848,49.9265261,0.8713822645278837,-3.046350841397813,-0.0356139174317322,-898.003636363641,0
3901,-2.0848,1.7388,-20.7622,2656,3.901,48.8261295,0.8521767207801327,-2.6813415045616944,-0.4245282274652981,-741.4867924528311,0
3955,-1.3073,1.1578,-27.0122,2648,3.955,47.36747069999999,0.8267183220569431,-1.737234288853941,-0.1776264496918782,-115.74074074074016,0
4009,-0.8275,0.9899,-34.9085,2722,4.009,45.48241169999998,0.793817835912591,-1.2860171680451822,0.1040101124557123,-146.227777777777,0
4064,0.1358,0.7843,-35.2744,2870,4.064,43.54231969999999,0.7599568427209894,-0.4418597866945238,0.6620634855527603,-6.65272727272737,0
4117,0.0473,0.8013,-37.622,2980,4.117,41.54835369999999,0.7251555708481681,-0.4960645883579215,0.631061727707588,-44.29433962264156,0
4171,-0.1661,0.7267,-25.9451,2980,4.171,40.14731829999998,0.7007028901811723,-0.5955085950817789,0.4483877933036601,216.2388888888878,0
4226,-0.2761,0.5043,-7.8354,3054,4.226,39.71637129999999,0.6931814461295803,-0.5346222795072944,0.2114916505548724,329.2672727272744,0
4279,-0.4359,0.4073,-2.7134,3094,4.279,39.57256109999999,0.6906714846416288,-0.5954722159456515,0.0362621019354284,96.64150943396238,0
