t,ax,ay,yawRate,steer,gas,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,x_world,y_world,is_drift
1467.0,-0.079,0.0467,0.2744,3168.0,2884.0,1.467,0.049392,0.000862053024145,-0.0790402285173942,0.0466318804673165,2.8794444444444416,-0.0025609034039635,0.001510872927141,0
1647.0,-0.0838,0.0177,0.4878,3782.0,2886.0,1.647,0.137196,0.0023945219205661,-0.0838421427541005,0.01749928851128,1.185555555555556,-0.00783829223316,0.0035887228020475,0
1827.0,-0.1173,0.1094,7.0427,3930.0,2886.0,1.827,1.4048819999999995,0.0245198165020029,-0.1199469392719946,0.1064912285555971,36.41611111111112,-0.017001961894769,0.0091168884821554,0
2007.0,-0.1546,0.0962,0.2439,3034.0,3096.0,2.007,1.4487839999999998,0.0252860509502135,-0.1569828371120579,0.0922604403428093,-37.77111111111108,-0.0312518754788088,0.0176342924293703,0
2187.0,-0.0399,-0.0313,-13.0488,2994.0,3156.0,2.187,-0.8999999999999964,-0.0157079632679489,-0.0403867166678782,-0.0306694166359343,-73.84833333333344,-0.0468103186828878,0.0251580072775809,0
2367.0,-0.0631,0.1182,-1.1585,3406.0,3272.0,2.367,-1.1085299999999965,-0.0193474983571326,-0.0608014587569408,0.1193986290249097,66.05722222222217,-0.0643387291506916,0.0365502377061987,0
2547.0,-0.1213,0.1271,-1.4634,3608.0,3656.0,2.547,-1.3719419999999969,-0.0239449050463959,-0.1182221208563555,0.1299678042448408,-1.693888888888887,-0.0856975363342415,0.0521534249923492,0
2727.0,-0.1052,0.0648,-0.4573,3666.0,3906.0,2.727,-1.4542559999999964,-0.0253815553668825,-0.103521567472346,0.0674489812233549,5.589444444444453,-0.1104104423038953,0.0699419592701365,0
2907.0,-0.2125,-0.0803,2.9573,3692.0,4002.0,2.907,-0.921941999999996,-0.0160909234124214,-0.2137645359683241,-0.0768704310007888,18.969999999999985,-0.1420493192389228,0.0852398915834982,0
3429.0,-0.4764,-1.7129,134.878,3436.0,4002.0,3.429,69.48437399999996,1.2127311049871417,1.437301645060684,-1.046492881536158,252.72164750957864,0.1578396391022125,-0.1555486710402511,0
3987.0,-0.2547,-2.7178,236.0671,4002.0,4002.0,3.987,201.2098158000001,3.511773773041309,-0.7458102503890426,2.6258476727362985,181.3424731182795,0.2461921317681888,0.4046510933427096,1
4166.0,-0.064,-2.6459,170.7317,4004.0,4002.0,4.166,231.7707901000001,4.045163397193679,-2.0388605373457533,1.6875812630075586,-365.0022346368711,0.2092074675764156,0.6384285437745165,1
4508.0,-0.3145,-4.0144,173.75,746.0,4002.0,4.508,291.19329010000007,5.0822816719600095,-3.8565872390133,-1.1580382022540403,8.825438596491269,-0.3125378388597497,0.9496383559312024,1
4707.0,-0.9364,-5.1383,211.0366,4002.0,4002.0,4.707,333.18957350000005,5.815255090890648,-3.1533191580217697,-4.163598220007891,187.36984924623127,-0.7410010740552742,0.965839774806578,1
4869.0,-0.3397,-4.9755,233.3232,4002.0,4002.0,4.869,370.9879319,6.474960896819503,0.6148690105074006,-4.949033485431035,137.5716049382718,-1.0736636683348495,0.8491464347777945,1
5066.0,-0.6285,-4.0072,244.7866,4004.0,4002.0,5.066,419.2108921,7.316610327367687,3.1206977947395997,-2.5911212561181705,58.18984771573592,-1.357086650045198,0.6066827458400281,1
5228.0,-0.4669,-5.4716,272.1037,3974.0,4002.0,5.228,463.2916915,8.085965413808827,5.432372326680465,0.8035751827403946,168.62407407407423,-1.4475881155620516,0.4283853891393283,1
5408.0,-1.37,-5.1152,297.4695,3876.0,4002.0,5.408,516.8362015000002,9.02049340967586,3.2716768065429025,4.163928663357387,140.92111111111052,-1.4421429709376763,0.3651885037202191,1
5588.0,-2.5713,-5.2146,300.8842,1402.0,4002.0,5.588,570.9953575000002,9.965749001977102,-0.4812137853649614,5.794141018544054,18.9705555555558,-1.4522891529591262,0.489721787301937,1
5768.0,-3.4059,-4.3751,251.4024,3580.0,4002.0,5.768,616.2477895000001,10.75555293491194,-3.44001655091306,4.348326223898595,-274.8988888888894,-1.5738918712301586,0.7551408405379689,1
5948.0,-3.3764,-4.9783,176.3415,3578.0,4002.0,5.948,647.9892595000001,11.309546095834946,-5.777695961158058,1.673851017987524,-417.0049999999986,-1.882691938642714,1.0747926667567984,1
6128.0,-3.8015,-4.8489,160.3354,1784.0,4002.0,6.128,676.8496315000001,11.813254610585329,-6.089664746955373,-0.9376655745461492,-88.92277777777794,-2.3887971438566216,1.3640641283603312,1
6308.0,-6.7283,-5.0891,121.5854,3816.0,4002.0,6.308,698.7350035000001,12.195226410009104,-8.115914862680008,-2.302365227701668,-215.27777777777803,-3.1578579906213604,1.57873895658633,0
6488.0,-6.6621,-5.6338,52.2561,3848.0,4002.0,6.488,708.1411015000001,12.35939378987436,-7.677666755586798,-4.144479706809686,-385.1627777777765,-4.1756752402671165,1.6591326423116952,1
6668.0,-5.7937,-5.7175,109.8171,4002.0,4002.0,6.668,727.9081795000001,12.704394384472891,-4.951953274453027,-6.460257325187128,319.7833333333338,-5.353935776005145,1.5302139907009975,1
6848.0,-5.2665,-6.6153,169.1463,4002.0,4002.0,6.848,758.3545135,13.235783157934788,-0.0249555185473093,-8.455624965790172,329.6066666666672,-6.533004870544107,1.1273330901986995,1
7028.0,-4.5226,-6.3826,225.8842,4002.0,4002.0,7.028,799.0136695,13.945419301216797,5.403730466317586,-5.656075544703335,315.210555555556,-7.5369930979743796,0.5411953420480139,1
7207.0,-4.7462,-5.9517,274.0244,4004.0,4002.0,7.207,848.0640371000001,14.801509715150344,7.612136087658976,-0.0673165132778779,268.939664804469,-8.29150316064536,-0.0438429736815507,1
7388.0,-4.543,-6.5043,307.7744,3420.0,4002.0,7.388,903.7712035,15.7737831857867,4.105359377357283,6.789019949355327,186.46408839779,-8.919947824784582,-0.4130029478081569,1
7567.0,-4.932,-5.4338,298.0488,2720.0,4002.0,7.567,957.1219387,16.704929173386336,-1.886105633432125,7.091784823268089,-54.33296089385459,-9.601881059589363,-0.5508559286762243,1
7747.0,-4.8444,-4.0171,200.2134,3218.0,4002.0,7.747,993.1603507,17.333918119976573,-4.278065094514968,4.615567442589551,-543.530000000001,-10.426233286332431,-0.5399346527891282,1
7927.0,-5.3647,-6.8519,129.2378,3576.0,3030.0,7.927,1016.4231547,17.739930643022678,-8.523371767094464,1.755184725291616,-394.3088888888896,-11.52674275832936,-0.4721453918025839,0
8107.0,-3.8335,-6.0557,80.2134,4004.0,2884.0,8.107,1030.8615667,17.99192847118214,-7.087885133066422,-1.0625954453393782,-272.3577777777782,-12.856899708637638,-0.4387842232450353,0
8287.0,-2.9907,-4.6611,31.0976,3794.0,2872.0,8.287,1036.4591347000005,18.089624462886416,-5.378808442949582,-1.3185444376486908,-272.86555555555327,-14.361330052497498,-0.4481438944673047,0
