t,ax,ay,yawRate,steer,gas,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,x_world,y_world,is_drift
2206.0,-0.0487,-0.0338,-0.0305,4014.0,2886.0,2.206,-0.0109799999999999,-0.0001916371518689,-0.0487064764414447,-0.033790666650112,-39.46472222222224,-0.0063123593468112,-0.0043792703978545,0
2386.0,-0.072,-0.0539,-0.2439,4002.0,3174.0,2.386,-0.054882,-0.0009578716000795,-0.0720515962407035,-0.0538310085282323,-1.1855555555555546,-0.0118030107384156,-0.0083130302730965,0
3106.0,-0.0586,-0.035,-0.1829,3526.0,3752.0,3.106,-0.18657,-0.0032562607854458,-0.0587136582515932,-0.034808997898749,0.0847222222222222,-0.0642027767424592,-0.0420930542847759,0
3268.0,0.1456,-0.141,-6.9512,3540.0,3834.0,3.268,-1.3126643999999996,-0.0229103157537158,0.1423317182845079,-0.1442984475667685,-41.77962962962965,-0.0722573704787103,-0.053480528145346,0
3448.0,0.0605,-0.0721,0.122,3542.0,3856.0,3.448,-1.2907043999999996,-0.0225270414499778,0.0588605874337917,-0.0734444773073439,39.29555555555552,-0.0792998360416901,-0.0685128779440708,0
3628.0,0.0465,-0.0438,-0.061,3590.0,3914.0,3.628,-1.3016843999999996,-0.0227186786018468,0.0454930077740236,-0.0448450247371168,-1.0166666666666655,-0.0848683281527916,-0.0849982065442782,0
3808.0,-1.3998,0.8628,5.6402,3646.0,3936.0,3.808,-0.2864484000000011,-0.0049994677170697,-1.395468983484637,0.8697874430758088,31.673333333333385,-0.1356500153287951,-0.0733024219888294,0
3988.0,-1.8314,0.118,54.7866,3738.0,3958.0,3.988,9.575139600000009,0.1671177123580929,-1.825513720446429,-0.1882806853127429,273.03555555555533,-0.2455783470472631,-0.0677069316375135,0
4528.0,-1.0562,-1.1443,135.6707,4004.0,4002.0,4.528,82.83731759999995,1.4457839356402462,1.0036755839200082,-1.190636910331118,149.78537037037052,-0.2826915419315928,-0.3981101836361193,0
5067.0,-1.7121,-4.3085,299.3293,2882.0,4002.0,5.067,244.1758103000001,4.261671843460085,-3.132421515823665,3.4179517414973803,303.63376623376587,-1.229770239875857,0.2650851801309085,1
5248.0,-2.1723,-6.6632,299.3598,4004.0,4002.0,5.248,298.35993410000015,5.207363206078307,-6.895351073746361,-1.2534971478966006,0.1685082872929156,-1.773704540165221,0.4467250388104712,1
5428.0,-3.2481,-9.2532,262.4085,4002.0,4002.0,5.428,345.59346410000006,6.031743821917823,-5.448162427765423,-8.15410264901572,-205.28500000000037,-2.491154141234132,0.3631684365310987,1
5607.0,-3.5322,-8.3492,252.3476,4002.0,4002.0,5.607,390.7636845000001,6.820112891749334,1.2354379731609009,-8.981050634222706,-56.206145251396585,-3.165033243087946,-0.007685805773408,1
5787.0,-4.7698,-9.4294,236.7073,4002.0,4002.0,5.787,433.3709985,7.563750806480407,7.670052251102257,-7.268760201393439,-86.89055555555568,-3.5941673397258995,-0.6161196900125828,1
5967.0,-3.9907,-11.3512,241.2195,3468.0,4002.0,5.967,476.7905085,8.32156421558301,11.931494737256717,1.5539823888369253,25.067777777777856,-3.636721006876737,-1.1742045448534413,1
6148.0,-5.1179,-10.2465,223.4146,4004.0,4002.0,6.148,517.2285511,9.02734120201474,8.68496210568775,7.466933499286557,-98.3696132596685,-3.394983039745087,-1.4907656627399564,1
6327.0,-4.9807,-8.5692,225.8537,3796.0,4002.0,6.327,557.6563634,9.732939636028,2.146970981614823,9.676211900020787,13.626256983240182,-3.087125113149877,-1.4937933622330817,1
7028.0,-4.8551,-8.3264,245.122,3072.0,4002.0,7.028,729.4868853999999,12.73194800034855,-3.416325882842928,-9.012749327048738,27.486875891583484,-3.560277512197276,-5.934524474432035,1
7208.0,-7.1392,-9.6362,196.9817,2996.0,4002.0,7.208,764.9435914000001,13.350784261960182,1.753966453326136,-11.863731654104727,-267.4461111111103,-3.62494319572653,-7.459182704127476,1
7389.0,-6.6011,-9.1459,138.1707,3022.0,4002.0,7.389,789.9524881000001,13.787271851666327,6.32888569250302,-9.33633835672372,-324.92265193370145,-3.4826275088810776,-9.298179038225848,1
7928.0,-6.217,-10.2099,22.561,4014.0,2886.0,7.928,802.1128671000001,13.999510503506704,9.260207656607976,-7.559212999148721,-214.4892393320966,-0.3685407577911515,-16.970637357283138,1
8126.0,-1.051,-12.0906,47.9268,3456.0,2874.0,8.126,811.6023735000001,14.165133634575776,12.115261225148911,-0.7124989869489755,128.11010101010132,1.2503761783738403,-19.817024243955878,0
8180.0,-0.4535,-8.3528,-10.8232,3420.0,2886.0,8.18,811.0179207000001,14.154933008893275,8.359538312218946,-0.3050398277989314,-1087.9629629629576,1.7162753928645451,-20.59420107282267,0
8306.0,0.0715,-6.6228,-5.5793,3380.0,2886.0,8.306,810.3149289000002,14.142663487368756,6.622306955092438,0.1079012628949175,41.61825396825415,2.908509305228559,-22.40590063306212,0
