t,ax,ay,yawRate,steer
1040,-0.0326,0.1417,0.4878,2992
1094,-0.0653,0.2628,0.5793,2978
1147,-0.0848,0.3668,0.4573,2980
1202,-0.1339,0.4342,0.7012,2992
1256,-0.1641,0.4944,0.4878,2990
1310,-0.1878,0.5406,0.5793,2978
1363,-0.2034,0.5776,0.5488,3274
1418,-0.2058,0.6100,0.5488,3584
1472,-0.4203,0.5531,10.4878,3750
1525,-0.4455,0.5780,11.5244,3858
1580,-0.4033,0.5984,8.2012,3918
1634,-0.2858,0.7220,3.8720,3994
1688,-0.3555,0.7231,3.9329,4002
1741,-0.3141,0.7863,2.5305,4004
1796,-0.3566,0.7507,1.1280,4002
1850,-0.3581,0.7792,0.8232,3944
1903,-0.3679,0.7837,0.3963,3894
1957,-0.3522,0.7975,-0.1220,3854
2012,-0.3191,0.8032,-2.4695,3846
2066,-0.3180,0.7934,-0.2744,3796
2120,-0.2745,0.8392,-1.2195,3778
2173,-0.3259,0.7853,-1.6463,3598
2228,-0.1655,0.8600,-5.4878,3196
2282,-0.2339,0.8130,-8.2622,3064
2336,-0.1976,0.8328,-11.9512,3038
2390,-0.3631,0.7472,-4.3293,3002
2444,0.1046,0.7481,3.4451,2984
2498,-0.0284,0.7694,-2.1646,2996
2551,0.0496,0.7937,0.0305,3138
2606,0.0411,0.8001,1.0061,3272
2660,-0.1663,0.7220,4.2988,3372
2714,-0.1498,0.7289,2.8963,3436
2767,-0.1907,0.7421,4.4207,3528
2822,-0.2469,0.7182,3.8720,3628
2876,-0.2727,0.7172,3.3232,3688
2930,-0.2464,0.7481,4.9085,3708
2983,-0.2417,0.7728,2.6524,3728
3038,-0.2795,0.7465,1.0671,3728
3092,-0.2126,0.8022,0.7317,3730
3145,-0.2793,0.7806,0.9451,3742
3200,-0.9359,2.1462,2.1951,3690
3254,-0.7229,2.0225,10.8841,3670
3308,-1.1069,2.1849,40.9146,3666
3361,-0.9382,3.0245,41.8293,3666
3416,-1.3027,3.2734,68.0488,3664
3470,-1.8423,3.2518,79.3598,3642
3524,-3.0301,3.2699,96.7683,3634
3577,-3.5330,2.9951,107.9878,3496
3632,-3.4240,2.7677,122.1951,3272
3686,-2.9834,3.4630,123.8415,2948
3739,-3.6269,3.1166,102.6220,2810
3793,-2.5980,2.8026,67.9268,2684
3848,-1.9884,2.3082,18.5366,2694
3901,-2.0848,1.7388,-20.7622,2656
3955,-1.3073,1.1578,-27.0122,2648
4009,-0.8275,0.9899,-34.9085,2722
4064,0.1358,0.7843,-35.2744,2870
4117,0.0473,0.8013,-37.6220,2980
4171,-0.1661,0.7267,-25.9451,2980
4226,-0.2761,0.5043,-7.8354,3054
4279,-0.4359,0.4073,-2.7134,3094
4333,-0.5120,0.3301,6.5854,3060
4387,-0.3990,0.1813,11.9512,3024
4442,-0.0248,0.1852,9.0549,3034
4495,-0.0797,0.5921,7.1646,3002
4549,-0.3836,1.0655,11.6768,2998
4603,-0.5664,2.0160,-0.3354,3006
4658,-1.0292,2.8827,3.1402,3002
4711,-0.7098,2.8951,3.6280,2990
4765,-0.7202,2.4650,2.0732,3112
4819,-1.1431,2.2239,11.7683,3398
4873,-0.8670,2.6961,24.6037,3674
4927,-1.4076,1.9342,49.9390,3790
4981,-2.5176,1.7925,77.4695,3850
5036,-2.7041,1.5695,92.5305,3886
5089,-2.8719,1.3801,114.6342,3842
5143,-4.1890,1.3766,133.1402,3780
5197,-4.5550,0.6468,160.7317,3600
5252,-5.0743,1.0978,173.5671,3344
5305,-4.7863,0.6551,180.3659,3112
5359,-5.4715,0.2636,186.9207,3004
5413,-5.0744,0.0605,193.3232,3000
5467,-5.6478,-0.3179,199.3902,2984
5521,-5.2202,-0.2768,216.4329,2982
5575,-5.4260,-0.7013,235.9146,2992
