t,ax,ay,yawRate,steer
10006,-0.4328,0.6118,0.5183,3862
10060,-0.4358,0.6072,0.7927,3860
10114,-0.4233,0.6127,0.5488,3858
10168,-0.4186,0.6199,0.5488,3854
10222,-0.3971,0.6233,0.6707,3850
10275,-0.3943,0.6222,0.6707,3858
10330,-0.3404,0.5595,0.0915,3844
10384,-0.3709,0.5688,0.4573,3842
10438,-0.9432,0.4579,23.6585,3842
10491,-1.7984,0.3941,32.3171,3838
10546,-1.6916,1.0723,39.4512,3838
10600,-2.1855,1.8467,59.5427,3836
10653,-2.4753,1.8384,82.5915,3846
10707,-2.6697,1.5272,74.9085,3832
10762,-2.9939,1.4473,82.0122,3766
10816,-2.8352,0.7566,94.0549,3440
10869,-2.3850,0.8289,80.2134,2980
10924,-1.7361,0.2302,55.4878,2934
10978,-1.1260,0.3254,20.8841,2842
11031,-0.7399,0.2594,-2.2561,2724
11085,-0.2376,0.2717,-1.4939,2584
11140,0.0791,0.2202,-9.0854,2524
11193,0.1423,0.3600,-18.4756,2474
11247,0.3633,0.1956,-24.4817,2510
11301,0.4405,0.1642,-26.5244,2748
11356,0.1379,0.2070,-22.6524,2994
11409,-0.1315,0.0952,-6.3415,3180
11463,-0.5984,-0.1317,10.8841,3322
11517,-0.4213,-0.2188,19.4512,3404
11572,-0.5908,-0.2550,26.3110,3456
11625,-0.5019,-0.1873,24.5122,3478
11679,-0.4690,-0.2719,27.0427,3500
11734,-0.3829,-0.2328,26.1280,3500
11787,-0.2421,-0.2873,22.8354,3514
11841,-0.3407,-0.2533,23.9634,3524
11895,-0.2941,-0.1241,22.7439,3528
11950,-0.1467,-0.0864,22.9573,3542
12003,-0.2184,-0.0710,23.4756,3532
12057,-0.1785,-0.1301,21.2805,3532
12111,-0.2764,-0.0188,19.9695,3532
12165,-0.2561,-0.0960,16.4024,3544
12219,-0.3074,-0.0672,16.0671,3536
12273,-0.7415,0.3188,27.9268,3538
12327,-0.9418,0.6501,30.6098,3550
12381,-0.9737,0.7834,29.8171,3538
12435,-1.1438,1.0491,36.3415,3520
12489,-1.1990,1.2511,40.0915,3436
12542,-1.2317,1.4074,43.8110,3282
12597,-1.2779,1.7345,40.0000,3098
12651,-0.9850,2.0249,35.9756,2984
12705,-0.7118,1.9930,15.1220,2876
12759,-0.5633,1.9372,11.8902,2742
12813,-0.5310,1.9673,-1.9207,2664
12867,0.0521,2.2466,-13.7805,2624
12921,0.4415,2.3815,-19.5427,2622
12975,0.5002,2.2040,-33.6585,2614
13029,0.3259,2.1841,-28.9024,2626
13083,0.5797,2.2951,-42.2256,2628
13136,0.8482,2.3925,-49.8171,2616
13191,1.1340,2.2563,-45.6402,2634
13245,1.0815,2.2609,-53.5976,2656
13299,1.2483,2.2584,-50.9146,2702
13352,1.1509,2.3650,-50.3963,2774
13407,0.8144,1.9121,-48.5366,2922
13461,0.8919,1.9003,-29.4817,2980
13514,1.1066,1.7348,-20.5793,2972
13569,0.4807,1.7245,-8.3537,2950
13623,0.4516,1.5701,-9.3902,2966
13676,0.3613,1.5410,-7.7134,2986
13730,0.3182,1.4392,-6.1890,2974
13785,0.0013,1.0455,-3.8415,2976
13838,0.0604,0.5587,2.8049,2990
13892,0.2566,0.2415,2.5915,2990
13946,0.1387,-0.1716,-5.5183,2978
14000,0.4002,-0.5458,-2.3780,2860
14054,0.5802,-0.5788,0.7012,2616
14108,0.5561,-0.7504,-13.0488,2448
14162,1.2043,-0.5835,-40.2744,2386
14216,1.3240,-0.7153,-53.9329,2366
14270,1.5797,-0.8897,-54.1768,2362
14324,1.4041,-0.7472,-55.2744,2326
14377,1.4240,-0.4230,-53.3841,2322
14432,1.5744,-0.6070,-49.7561,2278
14486,1.4741,-0.3506,-47.9878,2250
14540,1.4235,-0.5300,-44.8780,2230
14595,1.5827,-0.2085,-41.0976,2210
14648,1.3336,-0.1606,-40.2134,2206
14702,0.9711,-0.0767,-37.9268,2202
14756,0.9158,-0.0149,-36.2195,2198
14810,0.7652,0.0398,-35.3354,2198
14864,0.6318,0.0577,-35.3963,2202
14918,0.6735,0.0873,-31.6463,2204
14972,0.5680,0.1134,-30.1220,2210
15026,0.6330,0.0678,-28.4756,2228
15080,0.6051,0.0954,-25.4268,2252
15134,0.4596,0.0643,-23.6890,2366
15188,0.0890,0.1152,-17.0427,2450
15242,0.0205,0.0553,-11.7683,2564
15296,-0.2810,0.0365,-9.6951,2872
15350,-0.3349,0.0264,-4.9085,3170
15404,-0.4820,0.0120,5.4878,3364
15458,-0.4325,-0.0689,8.3841,3538
15512,-0.4269,-0.1322,14.8476,3600
15566,-0.2870,-0.1403,14.3598,3620
15620,-0.2004,-0.1333,11.1280,3638
15674,-0.2412,0.0241,10.0000,3640
15728,-0.2586,0.0408,8.4451,3662
15781,-0.4482,0.3784,6.0976,3676
15836,-0.2556,0.1303,-1.7988,3662
15890,-0.2600,0.1296,-2.0122,3662
15944,-0.3373,0.2268,-1.9207,3686
15997,-0.3848,0.2978,-1.0366,3726
16052,-0.4716,0.3479,1.4329,3728
16106,-0.4218,0.4650,0.2134,3706
16159,-0.4227,0.5257,0.3049,3702
16214,-0.4425,0.4986,0.3659,3692
16268,-0.9243,1.3676,-2.6524,3692
16322,-0.6341,0.8451,12.7439,3694
16375,-0.7414,1.6778,23.7195,3694
16430,-1.5786,2.0868,49.3902,3696
16484,-1.7767,2.1114,51.7073,3676
16538,-2.0951,2.3701,55.7012,3588
16591,-2.1659,2.3265,63.1098,3448
16646,-2.0899,2.3487,58.8110,3380
16700,-1.9229,2.6441,57.8354,3286
16753,-1.8290,2.6909,51.9207,3120
16807,-1.5340,2.8327,46.9817,2986
16862,-1.2904,2.9126,27.9573,2978
16916,-1.4049,2.7945,19.7866,2962
16969,-1.2015,2.4166,7.9573,2968
17024,-1.0383,2.3365,18.9634,2968
17078,-0.8752,2.2092,13.5061,2982
17131,-0.7490,2.0656,16.1280,2986
17185,-1.1029,1.9968,15.2744,2974
17240,-1.0078,1.9039,21.0366,2866
17294,-1.3392,1.9972,13.9939,2808
17347,-0.3837,1.9277,12.7744,2850
17401,-0.5220,1.9180,-0.9146,2976
