t,ax,ay,yawRate,steer
10051,-0.1776,-0.4230,7.6829,3058
10105,-0.2589,-0.2810,8.2317,3054
10160,-0.3833,-0.1850,8.9024,3068
10213,-0.3828,-0.1701,4.4207,3066
10267,-0.3718,-0.3429,7.4695,3032
10321,-0.3899,-0.3682,6.3720,3044
10376,-0.3320,-0.3644,5.2134,3040
10429,-0.2805,-0.2394,3.2927,3028
10483,-0.0649,-0.1288,5.1524,3028
10537,-0.2827,0.0186,5.8841,3040
10591,0.1133,1.4399,-5.7927,3038
10645,-0.2599,1.8434,9.0854,3026
10699,-0.6254,2.3668,7.7744,3036
10754,-0.6339,2.6466,8.5061,3036
10807,-0.7815,2.8547,9.1463,3024
10861,-1.0217,3.0638,5.3963,3020
10915,-0.9912,3.1281,11.6159,3034
10970,-1.3360,2.9359,8.7195,3032
11023,-1.3441,3.3423,8.6890,3042
11077,-1.4440,2.7758,18.2622,3076
11131,-1.2500,2.1335,25.0000,3182
11185,-1.0584,1.5588,34.2073,3318
11239,-1.4060,0.6811,45.9146,3460
11293,-1.9115,0.1623,63.9024,3568
11346,-2.3303,-0.1766,81.1585,3654
11401,-2.8780,-0.7834,90.5183,3684
11455,-3.1992,-1.2248,101.8293,3726
11509,-3.6186,-1.5004,108.3537,3744
11563,-3.3244,-1.7600,113.3842,3762
11617,-3.4678,-2.3763,114.4207,3766
11671,-3.4470,-2.3243,115.6707,3616
11725,-3.4361,-2.2995,106.9207,3210
11779,-3.1114,-1.9612,93.6281,2952
11833,-2.3675,-1.3999,55.7012,2730
11887,-1.5938,-1.0591,15.8537,2576
11940,-0.9963,-0.7037,-13.4756,2414
11995,-0.6429,-0.6386,-38.7500,2332
12049,0.0943,-0.3706,-57.5305,2274
12103,0.6070,-0.4516,-65.1524,2272
12156,0.4722,-0.2895,-73.0183,2252
12211,0.6181,-0.1784,-70.0000,2212
12265,0.6171,-0.2581,-73.5366,2132
12318,1.0678,-0.1960,-70.9756,2090
12372,1.3594,-0.0150,-79.4512,2026
12427,1.6535,-0.0274,-81.2500,1988
12481,1.8036,0.1127,-82.7439,1968
12534,1.9001,0.0868,-81.7683,1968
12589,2.0971,0.1077,-82.2561,1966
12643,1.9353,0.2025,-78.8720,1968
12696,2.0046,0.0193,-73.4756,1968
12750,1.7698,0.0533,-71.3110,1968
12805,1.7094,0.0072,-66.1890,1968
12859,1.6625,-0.0220,-58.2317,1968
12912,1.3424,0.0466,-58.9024,1966
12966,1.3407,-0.0968,-57.8049,1968
13021,1.2095,-0.1086,-49.6037,1968
