t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
1036,-0.0034,0.1456,0.4573,2986,1.036,0.0,0.0,-0.0034,0.1456,0.0
1090,-0.0041,0.263,0.5183,2988,1.09,0.027988200000000026,0.0004884862417066773,-0.0042284713872910076,0.26299796582811596,1.1296296296296287
1143,-0.0406,0.5915,-0.1524,2976,1.143,0.019911000000000033,0.00034751250736459155,-0.04080555119244056,0.5914858552762535,-12.65471698113209
1198,0.2519,1.679,0.4268,2974,1.198,0.04338500000000001,0.00075721109597774,0.25062857047556886,1.6791902601138955,10.530909090909104
1252,-0.137,2.1242,7.2866,2986,1.252,0.43686140000000034,0.007624669804871962,-0.1531921844008976,2.123093684847299,127.03333333333322
1306,-0.5966,2.9352,7.5915,2988,1.306,0.8468024000000007,0.014779489993790043,-0.6399140222718208,2.9260623103583936,5.64629629629629
1359,-0.7904,3.4816,9.7561,2976,1.359,1.3638757000000001,0.02380412155294243,-0.8730446789694393,3.4618006454045194,40.841509433962315
1414,-0.4078,3.5873,5.122,2988,1.414,1.6455856999999998,0.028720888588735647,-0.5106480960355135,3.5741097705603986,-84.25636363636373
1468,-0.7931,3.6116,8.9634,2988,1.468,2.1296093000000003,0.03716869406609168,-0.9267597735111532,3.5796338489015267,71.13703703703698
1521,-1.2024,3.7967,5.4268,2954,1.521,2.4172297,0.04218861704199477,-1.361460105645421,3.7426091207519865,-66.72830188679254
1575,-1.1424,4.1344,2.9573,2768,1.575,2.5769239,0.04497580662833311,-1.3271300494410752,4.078856083740947,-45.73148148148144
1630,-1.4876,4.0171,4.1463,2710,1.63,2.8049703999999998,0.04895596890098235,-1.6824001765704182,3.9394892836351043,21.618181818181842
1684,-1.3634,4.2897,-9.2073,2686,1.684,2.3077761999999993,0.04027829308916315,-1.5350292788824287,4.231320215130697,-247.28888888888866
1737,-1.3938,4.3415,-15.4268,2692,1.737,1.4901557999999968,0.026008125077690063,-1.5062301735103625,4.303785700334874,-117.34905660377323
1792,-1.1754,3.9152,-29.7256,2770,1.792,-0.14475220000000144,-0.0025264024895053612,-1.1655048883789758,3.918157035541673,-259.9781818181821
1846,-0.709,4.0142,-36.3415,2860,1.846,-2.1071932000000033,-0.03677745931563543,-0.5609217651976528,4.037554880534449,-122.51666666666662
1899,-0.3992,3.4828,-32.2256,2962,1.899,-3.815150000000001,-0.06658692895746168,-0.16657771621411877,3.5016436632617105,77.6584905660379
1953,-0.6047,3.4188,-25.6098,2966,1.953,-5.198079200000002,-0.09072359681943287,-0.29247260893684895,3.4595253002430364,122.51481481481471
2008,-0.4335,3.7938,-14.7256,2980,2.008,-6.007987200000001,-0.1048591580576751,-0.03403287090726537,3.8183350368580555,197.89454545454566
2062,-0.8113,3.691,-10.6098,2982,2.062,-6.5809163999999996,-0.11485865897849215,-0.38294255966830165,3.759660049259067,76.21851851851876
2115,-0.6878,3.8219,11.1585,2974,2.115,-5.989515899999995,-0.10453677305555135,-0.28524348463841653,3.8728057793376798,410.722641509431
2169,-1.0209,3.8179,-4.7561,2974,2.169,-6.246345299999994,-0.10901929170147286,-0.5994384455499115,3.906311658072958,-294.7148148148158
2224,-0.3868,3.73,10.1524,2986,2.224,-5.687963299999993,-0.09927368731760186,-0.015212622336419124,3.7499710420377452,271.06363636363557
2277,-0.5972,3.4308,15.7317,2976,2.277,-4.854183199999993,-0.0847214793349943,-0.30474315176217903,3.469029848740719,105.26981132075484
2331,-0.7478,2.8432,11.0061,2976,2.331,-4.259853799999995,-0.07434847446359193,-0.5345412577656428,2.890892029071014,-87.51111111111139
2384,0.1162,0.9348,26.8293,2988,2.384,-2.8379008999999966,-0.04953071455031029,0.16233987540418796,0.9279004498618117,298.5509433962268
2439,-0.0201,0.1866,25.122,2990,2.439,-1.4561908999999926,-0.025415325742579365,-0.015351519425364751,0.18705053020863813,-31.041818181818094
2493,0.9771,-0.4215,34.8476,2978,2.493,0.42557950000000133,0.007427763503991231,0.9802038195326312,-0.4142307716402062,180.1037037037043
2546,0.4819,-1.1402,35.0305,2976,2.546,2.282195999999999,0.03983183437584449,0.5269220144122242,-1.1201057274774397,3.4509433962264873
2600,0.5076,-1.4231,44.0244,3198,2.6,4.659513600000011,0.08132385386145424,0.6215268527188195,-1.3771622058964001,166.5537037037028
2655,-0.2523,-1.7873,45.8537,3476,2.655,7.181467099999998,0.12534024601864885,-0.026886239354776742,-1.8048195782773853,33.26000000000023
2709,-0.855,-2.0983,65.6707,3628,2.709,10.727684900000016,0.1872334226214789,-0.44947667046781514,-2.2207788302091602,366.98148148147953
2763,-1.5157,-2.0143,96.6159,3652,2.763,15.944943499999999,0.27829176311946846,-0.9040296600262124,-2.3531853632455073,573.0592592592611
2817,-0.184,-1.8461,93.6585,3598,2.817,21.002502500000023,0.36656281978334077,0.4898824290782251,-1.789401133251127,-54.76666666666626
2871,-1.5857,-1.8537,108.1707,3310,2.871,26.843720300000005,0.4685113027194401,-0.5777733556713947,-2.3699844154500713,268.7444444444452
2925,-1.9461,-2.2788,125.7317,3114,2.925,33.63323209999999,0.5870106382324465,-0.3581537658390441,-2.9752244503592182,325.2037037037049
2978,-0.5877,-1.7043,92.2256,3066,2.978,38.52118890000002,0.672321578087693,0.6016413985550171,-1.69942855323334,-632.1905660377314
3033,0.2198,-1.6938,75.7927,3160,3.033,42.6897874,0.7450773471063895,1.3100057477028073,-1.0959723632398806,-298.7800000000016
3087,-0.4236,-1.4499,37.9268,3256,3.087,44.73783460000001,0.7808225139826406,0.7196344556657419,-1.3280712406413562,-701.2203703703668
3141,-0.5233,-1.5803,27.8049,3300,3.141,46.23929920000001,0.8070280148547803,0.7794082787000995,-1.4709567346097396,-187.4425925925932
3194,-0.4579,-1.429,32.6829,3370,3.194,47.97149290000001,0.837260498202083,0.7549139063903348,-1.2968494145190819,92.03773584905665
3249,-0.6876,-1.5363,42.3171,3394,3.249,50.29893340000002,0.8778819980713463,0.742783668247406,-1.5103919597855806,175.16727272727235
3303,-0.7402,-1.4996,45.4268,3416,3.303,52.75198060000001,0.920695748418174,0.7456977374163624,-1.4968737703667996,57.587037037037156
3357,-0.686,-1.2892,48.811,3448,3.357,55.38777460000002,0.9666990321224856,0.6713698929077501,-1.2968789869903192,62.67037037037005
3410,-0.8524,-1.1329,46.189,3452,3.41,57.83579160000002,1.0094249889172797,0.5052560985046868,-1.3246752224314542,-49.4716981132076
3465,-0.9845,-0.9111,47.8659,3440,3.465,60.468416100000006,1.055372954410949,0.3074703782908605,-1.3056819775403485,30.48909090909113
3519,-0.7733,-1.0382,48.1402,3424,3.519,63.06798690000002,1.1007440240096522,0.5753485793254506,-1.1596663926613489,5.079629629629542
