t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
10004,-0.136,1.0495,7.9573,2970,10.004,0.0,0.0,-0.136,1.0495,0.0
10058,-0.2587,1.0148,-1.7988,2974,10.058,-0.09713520000000048,-0.0016953290595832042,-0.2569792091244561,1.0152371230790218,-180.6685185185176
10113,-0.2673,1.0508,2.9573,2986,10.113,0.0655162999999987,0.001143475148724338,-0.2685013886723424,1.0504936621803216,86.4745454545459
10166,-0.323,1.0379,0.5793,2988,10.166,0.09621919999999917,0.0016793418436349134,-0.32474253261982816,1.037356109302712,-44.86792452830119
10220,-0.2761,1.0401,0.3049,2976,10.22,0.11268379999999925,0.001966703323658773,-0.2781450328417998,1.0395549820502206,-5.081481481481457
10274,-0.2726,1.0351,0.6707,2988,10.274,0.14890159999999825,0.002598823181487558,-0.27528911829353253,1.0343880661285538,6.774074074074262
10328,-0.2813,1.0349,0.6402,2968,10.328,0.18347239999999843,0.003202197466536017,-0.2846125062610172,1.033993917428832,-0.5648148148148114
10382,-0.2911,1.0453,0.4573,2764,10.382,0.20816659999999854,0.0036331925626820025,-0.2948958465598899,1.0442354809532788,-3.3870370370370204
10436,-0.265,1.0685,-0.2134,2642,10.436,0.19664299999999849,0.0034320678009991832,-0.26866559651825,1.067584210845914,-12.420370370370307
10490,-0.2105,1.0746,-6.0061,2486,10.49,-0.12768640000000311,-0.002228548090018542,-0.20810468148854794,1.0750664405247472,-107.27222222222169
10544,-0.2968,1.1077,0.6098,2418,10.544,-0.09475720000000296,-0.0016538251299708223,-0.294967652844312,1.108189340219223,122.51666666666605
10598,-0.3203,1.0744,-2.5305,2402,10.598,-0.23140420000000364,-0.0040387651929435255,-0.3159581501703145,1.0756848503818175,-58.153703703703414
10652,-0.3477,1.0783,-0.4573,2404,10.652,-0.25609840000000295,-0.004469760289089498,-0.34287680022787387,1.0798433589486462,38.392592592593665
10706,-0.3346,1.0805,0.4268,2402,10.706,-0.23305120000000284,-0.004067510765723858,-0.3302022988213299,1.081852047117862,16.372222222222142
10760,-0.3309,1.0837,0.3354,2412,10.76,-0.21493960000000276,-0.003751403712919652,-0.3268322849516566,1.0849337111147757,-1.6925925925925849
10814,-0.3346,1.0777,0.7317,2442,10.814,-0.17542780000000255,-0.0030617927095301528,-0.33129874278737015,1.0787194227543637,7.338888888888853
10868,-0.3386,1.0738,0.4268,2446,10.868,-0.15238060000000242,-0.0026595431861645134,-0.3357429884063408,1.074696722678533,-5.646296296296268
10921,-0.347,1.0664,0.8841,2450,10.921,-0.10552330000000326,-0.0018417290225697892,-0.3450353927747474,1.0670372710138927,8.628301886792608
10976,-0.3087,1.069,0.6098,2450,10.976,-0.07198430000000236,-0.0012563630447433953,-0.30735670462506004,1.0693869954894828,-4.987272727272591
11030,-1.3986,3.3912,-18.1402,2426,11.03,-1.051555099999975,-0.018353098761137786,-1.3361289225155781,3.416296079442963,-347.2222222222319
11084,-1.4478,3.4786,-20.4573,2422,11.084,-2.1562492999999803,-0.03763364977882262,-1.3158933528961554,3.530610072466757,-42.909259259259045
11138,-1.4097,4.5575,-32.7439,2410,11.138,-3.9244198999999886,-0.06849404848578641,-1.0944769326090342,4.643294152214215,-227.52962962962843
11192,-1.2125,4.4748,-40.7317,2446,11.192,-6.1239317,-0.10688277133225363,-0.7282119274004062,4.57861318291814,-147.92222222222148
11246,-1.2899,4.3781,-51.6768,2514,11.246,-8.914478900000013,-0.15558700790456256,-0.5958883949252677,4.525098743761664,-202.68703703703608
11299,-1.5897,4.4094,-54.2073,2702,11.299,-11.78746579999996,-0.20573008867622672,-0.6554159273882645,4.641161967883235,-47.74528301886871
11354,-1.4494,4.5738,-58.811,2740,11.354,-15.022070799999945,-0.2621845959276976,-0.21437999326985824,4.793166804784246,-83.70363636363686
11408,-1.4588,4.6646,-52.7134,2772,11.408,-17.86859439999996,-0.31186580498342,0.0428309413412693,4.887203301527759,112.91851851851796
11462,-1.3629,4.5673,-31.7073,2772,11.462,-19.58078859999997,-0.3417492312069704,0.24658185145376876,4.759928895533381,389.0018518518499
11515,-1.2823,4.7896,-24.7256,2758,11.515,-20.89124539999999,-0.3646210170721196,0.5099483389718915,4.931988862677998,131.73018867924324
11570,-1.1987,3.8561,-19.4207,2738,11.57,-21.959383899999985,-0.38326355076443297,0.3302523116558105,4.024589707118726,96.45272727272777
11623,-0.8043,2.0693,-22.1341,2824,11.623,-23.132491199999965,-0.4037381356286135,0.07330906833365292,2.2189021520788277,-51.19622641509526
11677,-0.4146,1.6047,-19.4817,2988,11.677,-24.18450299999997,-0.4220992053084457,0.2791966272325599,1.6337088153468362,49.11851851851827
11731,-0.1535,0.6579,-12.9268,2976,11.731,-24.882550199999976,-0.4342824272827731,0.13756677353491836,0.6614151818783665,121.38703703703644
11785,-0.2746,0.4348,1.8293,2976,11.785,-24.783767999999974,-0.43255835265040954,-0.06704237831890042,0.509864216737501,273.26111111110976
11839,0.0384,0.1717,3.7805,2988,11.839,-24.57962099999997,-0.42899531534234064,0.10634023012683125,0.14016848952804112,36.133333333333155
11893,0.1222,0.0842,2.9268,2976,11.893,-24.42157379999997,-0.42623687132878263,0.14607879049684844,0.026143201161637937,-15.809259259259179
11948,0.1049,-0.0768,2.5,2680,11.948,-24.28407379999997,-0.4238370436072904,0.06403335399089519,-0.11314583322719712,-7.7600000000000415
12001,0.535,-0.1907,1.0061,2346,12.001,-24.23075049999997,-0.42290637645426177,0.4096008242366474,-0.3934700176438595,-28.186792452830694
