t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
10032,-1.2533,2.2406,9.4817,3288,10.032,0.0,0.0,-1.2533,2.2406,0.0
10086,-1.7032,2.7631,15.4878,3348,10.086,0.8363412000000042,0.014596907610080473,-1.743349836207886,2.7379450685859164,111.22407407407351
10139,-2.3389,2.6209,37.6524,3412,10.139,2.831918399999968,0.04942630022780923,-2.465532315636102,2.5021431654791617,418.2000000000075
10193,-2.5195,2.644,44.1463,3404,10.193,5.21581859999998,0.09103320775676076,-2.749427104367119,2.404010575636355,120.25740740740675
10248,-2.9297,2.515,64.4512,3406,10.248,8.760634599999962,0.15290191833413577,-3.2785716288312248,2.039444817744027,369.180000000002
10302,-3.3713,2.1777,74.8476,3404,10.302,12.802404999999982,0.22344411942378434,-3.7700449643346725,1.3765180517867466,192.52592592592495
10355,-3.1865,2.0529,75.1524,3400,10.355,16.785482200000043,0.2929619309249021,-3.6435872342865987,1.045204633621445,5.750943396226329
10409,-3.4666,2.1044,80.5793,3374,10.409,21.136764400000065,0.36890613199832484,-3.992212191579971,0.7127809883829983,100.4981481481477
10464,-3.4619,1.6778,87.8354,3376,10.464,25.96771140000004,0.45322206313766694,-3.847039018339715,-0.007432453955663165,131.92909090909166
10518,-3.142,1.8862,93.9329,3390,10.518,31.04008800000007,0.5417517357087829,-3.664682556723717,-0.004024729173548236,112.91666666666603
10571,-3.2367,1.8092,91.4329,3250,10.571,35.88603169999998,0.6263294086400577,-3.682831948129515,-0.4314862359757947,-47.169811320755564
10626,-4.1298,0.9819,97.8964,2918,10.626,41.27033369999995,0.7203032064617729,-3.7516550939136897,-1.9860663902074043,117.51818181818236
10679,-3.945,0.5054,76.311,2600,10.679,45.314816700000016,0.7908927513527118,-3.1334968413146527,-2.4494186464283914,-407.27169811320107
10733,-3.2034,0.4565,31.7988,2472,10.733,47.031951900000024,0.8208624142946033,-2.5174432293532694,-2.0328904045676888,-824.299999999996
10787,-1.6998,0.256,-11.0366,2410,10.787,46.43597550000002,0.8104606638504205,-1.3569409782385347,-1.0552569457611014,-793.2481481481442
10841,-0.564,-0.1816,-39.8476,2392,10.841,44.28420510000008,0.7729051856234661,-0.27696289393401674,-0.5237996901332556,-533.537037037052
10895,0.3767,-0.1625,-62.9573,2350,10.895,40.884510900000066,0.7135693282725113,0.3911588413106916,0.12370893607366108,-427.9574074074052
10949,1.2552,-0.5399,-76.8598,2318,10.949,36.73408170000005,0.6411306733615967,1.3288576518762398,0.3180509252462044,-257.4537037037026
11003,1.7669,-0.5555,-86.9207,2328,11.003,32.040363900000024,0.5592098435921317,1.7924581454134096,0.46648650242115275,-186.31296296296185
11057,1.9125,-0.6723,-83.8415,2440,11.057,27.5129229,0.4801910914523466,2.006777082897216,0.2872094698274086,57.02222222222194
11111,1.6593,-0.6906,-67.9878,2808,11.111,23.84158169999998,0.41611409954822665,1.796853102109039,0.039035617596289485,293.58703703703566
11165,1.0914,-0.518,-51.7683,2972,11.165,21.046093500000058,0.36732362625757825,1.2046182776363317,-0.09150281517241615,300.36111111111927
11219,0.4833,-0.5082,-35.0915,3120,11.219,19.151152500000048,0.3342506666765442,0.6232732424014993,-0.3215223091891476,308.8296296296281
11273,0.0021,-0.5354,-7.0122,3296,11.273,18.772493700000048,0.3276418238748935,0.1742860019120456,-0.5062429846798022,519.9870370370345
11327,-0.457,-0.4575,13.9329,3408,11.327,19.524870300000053,0.3407732727598539,-0.27781708431363517,-0.5839288635300284,387.8722222222203
11381,-0.6007,-0.3555,36.1585,3524,11.381,21.47742930000006,0.37485185614930205,-0.42882763959719095,-0.5507518456777986,411.58518518518304
11436,-0.9781,-0.4817,47.3781,3632,11.436,24.083224800000046,0.4203315672579537,-0.696395969989853,-0.8388963898968047,203.99272727272844
11489,-1.4227,-0.5443,64.4817,3732,11.489,27.5007549000001,0.47997871978896567,-1.0106055255926056,-1.1397430638708417,322.70943396225914
11543,-1.5193,-0.6653,69.7561,3806,11.543,31.267584299999996,0.5457222951798864,-0.953311259770239,-1.357237717570242,97.6740740740768
11597,-1.6301,-0.9771,77.5915,3890,11.597,35.457525300000015,0.6188505610941905,-0.7609760813426003,-1.7415125103267162,145.09999999999914
11651,-1.6766,-1.2002,77.6524,3946,11.651,39.65075490000004,0.6920362239062756,-0.5250401237015322,-1.9939409390710345,1.1277777777778413
11705,-1.6377,-1.1593,84.3598,3970,11.705,44.20618410000006,0.7715434622877673,-0.3656480595762176,-1.9729012333434601,124.21111111111061
11759,-1.6813,-1.052,85.1829,3990,11.759,48.80606070000008,0.8518264541432099,-0.31570699024337123,-1.9580099045488695,15.242592592592453
11813,-1.6649,-1.0096,83.1402,3990,11.813,53.295631500000106,0.9301842466046061,-0.18566119666991054,-1.9382244684378271,-37.82777777777778
11867,-1.8371,-1.0917,79.6951,3988,11.867,57.59916690000013,1.0052951088107376,-0.0626456680594969,-2.136076033354941,-63.79814814814777
11921,-1.5314,-0.9796,75.6402,3986,11.921,61.683737700000016,1.0765843178015546,0.13598240414206897,-1.8128184977442565,-75.0907407407429
11975,-1.0542,-0.8843,74.1159,3982,11.975,65.68599630000004,1.1464369078878136,0.3718116979066569,-1.3247943958591344,-28.227777777777575
12028,-0.9171,-0.7548,69.4207,3984,12.028,69.3652934000001,1.2106527564418939,0.38318281634781853,-1.1242625935499917,-88.58867924528164
12083,-0.8879,-0.8112,57.5915,3986,12.083,72.53282590000008,1.2659366277308206,0.507283333433679,-1.0904473713207872,-215.07636363636462
12137,-0.8678,-0.6298,58.2927,3990,12.137,75.68063170000009,1.320876203154195,0.3956034938425608,-0.9966056169115038,12.985185185185122
12191,-0.9825,-0.4469,55.6098,3988,12.191,78.6835609000001,1.3732872048984746,0.24541803853859598,-1.0510926916118617,-49.68333333333315
12244,-0.8775,-0.4528,50.2134,3990,12.244,81.34487110000005,1.4197358303053824,0.31559150969407646,-0.9356474170375364,-101.81886792453012
12299,-0.6824,-0.3531,47.7439,3994,12.299,83.97078560000003,1.4655666842062427,0.279470561005546,-0.7157133333473992,-44.9000000000003
12353,-0.5296,-0.2207,44.3293,3994,12.353,86.36456780000005,1.5073460651718764,0.18667517135555844,-0.5425283682899659,-63.23333333333289
12407,-0.4457,-0.0435,44.4512,3994,12.407,88.76493260000005,1.5492403341808516,0.033883132131773665,-0.4465340674091292,2.2574074074073325
12461,-0.6185,-0.0223,39.4817,3996,12.461,90.89694440000007,1.5864509597822227,0.03197926258704627,-0.6180751303558402,-92.02777777777739
12515,-0.5173,-0.0844,34.9085,3996,12.515,92.78200340000008,1.6193514459265748,0.10940822360627192,-0.5125938846760855,-84.68888888888847
12569,-0.7078,-0.0139,33.2317,3996,12.569,94.57651520000009,1.650671585302465,0.07033129248145964,-0.7044342121858416,-31.051851851851698
12622,-0.7104,-0.0418,30.2134,3996,12.622,96.17782540000006,1.6786197206382334,0.11800666016325828,-0.7017761952055037,-56.949056603774544
12677,-0.531,0.0604,27.3476,3998,12.677,97.68194340000005,1.7048715320767454,0.011122894002503297,-0.5343083765289565,-52.10545454545482
