t,ax,ay,yawRate,steer
1042,0.0383,0.1307,0.5488,3246,
1096,0.1642,0.2588,0.4268,2976,
1149,0.3148,0.3871,-3.1402,2976,
1204,0.3265,0.2685,4.4512,2992,
1258,0.3326,0.3556,0.8841,2990,
1312,0.3087,0.3970,0.6098,2584,
1366,0.4682,0.4938,-5.9756,2130,
1420,0.4028,0.4089,-5.5183,1968,
1474,0.4041,0.4239,-9.2073,1968,
1527,0.4521,0.5081,-10.4268,2146,
1582,0.2166,0.5861,-2.4390,2578,
1636,0.1393,0.6690,5.3049,2824,
1690,0.0908,0.5951,14.8780,3072,
1743,0.2561,0.5967,6.8293,3450,
1798,0.3274,0.6363,-0.6098,3564,
1852,0.2318,0.5957,14.2073,3536,
1906,0.3420,0.7108,7.4085,3302,
1959,0.3205,0.6955,1.3110,3060,
2014,0.1520,0.7120,-8.1402,2992,
2068,0.0220,0.6137,-0.9451,2978,
2121,0.1474,0.6523,-2.5000,2992,
2176,0.1543,0.6593,1.7378,2990,
2230,0.1675,0.6615,0.8841,2820,
2284,0.3432,0.7222,-4.0854,2518,
2337,0.2516,0.6366,-2.3171,2442,
2392,0.2406,0.6817,-9.0549,2426,
2446,0.1063,0.6933,1.0671,2430,
2499,0.2181,0.6863,-1.5244,2450,
2553,0.2109,0.6865,1.0671,2470,
2608,0.2214,0.6881,0.7622,2478,
2662,0.2307,0.6898,0.3963,2512,
2715,0.2267,0.7127,1.0366,2514,
2769,0.2642,0.7119,0.5183,2514,
2824,0.2535,0.7161,0.9451,2500,
2878,0.2608,0.7088,0.5793,2490,
2931,0.2709,0.7007,1.0061,2486,
2985,0.2765,0.7248,0.8537,2472,
3040,0.3318,0.7182,0.3354,2482,
3094,0.3191,0.7230,0.4573,2482,
3147,0.3424,0.7225,0.0915,2484,
3202,0.3462,0.7317,0.3049,2474,
3256,0.3603,0.7319,1.7073,2488,
3310,0.3366,0.7234,0.4573,2486,
3363,0.3339,0.7281,0.5793,2476,
3418,0.2513,0.7290,1.8902,2490,
3472,0.1551,1.7981,-12.3171,2490,
3526,-0.7584,3.0928,-11.3720,2492,
3579,-0.6728,3.5593,-19.9085,2482,
3634,-0.6541,3.9373,-21.6159,2496,
3688,-0.5185,4.1659,-46.4329,2498,
3741,-0.5168,4.3570,-42.6220,2488,
3795,-0.6035,4.0506,-51.5854,2502,
3850,-0.1180,4.6612,-52.6524,2502,
3904,0.3572,4.9567,-65.3963,2504,
3957,0.8106,5.0361,-74.6037,2492,
4012,1.1498,4.8261,-79.9085,2506,
4066,1.0563,4.4101,-65.7012,2506,
4119,1.5523,3.7541,-69.6646,2494,
4173,1.3989,3.5492,-60.5488,2506,
4228,1.4754,3.2272,-75.4878,2506,
4282,1.9258,2.7771,-77.4085,2506,
4335,2.3183,2.5138,-88.9329,2494,
4389,2.3378,3.0635,-96.2500,2508,
4444,2.3716,3.4746,-108.2317,2508,
4497,3.3415,3.5152,-97.5305,2446,
4551,3.3119,3.6750,-105.3964,2422,
4605,3.1600,3.3633,-119.0244,2402,
4660,3.3411,3.8408,-127.2561,2386,
4713,3.0511,3.9710,-118.6281,2346,
4767,3.7146,3.9180,-135.8842,2356,
4822,3.9093,3.8847,-147.7439,2352,
4875,4.0003,3.9520,-138.2622,2346,
4929,4.2604,3.9344,-158.5366,2342,
4983,4.0184,3.4377,-174.5732,2338,
5038,3.6557,3.2558,-182.3780,2438,
5091,3.2440,3.0596,-181.2195,2598,
5145,3.5490,2.6109,-184.1768,2906,
5198,3.9520,2.4800,-206.7378,3070,
5253,4.1480,2.4255,-225.0000,3260,
5307,4.2651,2.2071,-241.3720,3282,
5360,4.4866,2.1296,-258.5671,3166,
5414,4.4067,2.3238,-263.1403,3072,
5469,3.7063,2.3695,-256.4024,2978,
5523,3.1279,2.4180,-249.5122,2980,
