t,ax,ay,yawRate,steer
1044,0.0268,0.1120,0.4573,2914,
1098,0.0871,0.2036,0.0305,2980,
1153,0.0773,0.2639,0.3659,2726,
1207,0.0149,0.2968,1.0366,2258,
1260,-0.0225,0.3232,-7.6220,1974,
1314,0.0638,0.4147,-9.3598,1972,
1369,0.1277,0.4380,-11.3110,1970,
1422,0.0275,0.4965,-6.1890,1972,
1476,-0.0211,0.5269,0.4268,2276,
1530,-0.1333,0.5796,5.6707,2764,
1585,0.0145,0.5197,8.7500,2894,
1638,-0.0157,0.4493,13.2012,2976,
1692,0.0756,0.4710,8.1402,2980,
1746,0.0887,0.4812,1.0671,2972,
1800,0.1476,0.5372,-0.2439,2972,
1854,0.1353,0.5710,0.4878,2986,
1908,0.1298,0.5885,0.6098,2988,
1963,0.1378,0.5814,0.3963,2974,
2017,0.1275,0.5690,0.4878,2988,
2070,0.1326,0.5678,0.3354,2988,
2124,0.1243,0.5461,0.7317,2976,
2179,0.1062,0.5475,0.8232,2976,
2233,0.0998,0.5491,0.5793,2990,
2286,0.0951,0.5595,0.6402,2988,
2340,0.0862,0.5323,1.1890,2976,
2395,0.0694,0.5298,0.5488,2988,
2449,0.0728,0.5512,0.6707,2990,
2502,0.0846,0.5808,0.3659,2980,
2556,0.0394,0.4776,0.6707,2976,
2611,-0.8323,2.4291,-15.4573,2990,
2664,-0.9508,2.4192,0.8841,2992,
2718,-1.0561,2.6134,5.8537,2976,
2772,-0.9693,3.1394,4.5122,2988,
2827,-1.4300,3.1326,7.1646,2936,
2880,-1.5793,3.2191,6.1280,2762,
2934,-1.0504,3.8988,-2.0427,2562,
2989,-1.2186,3.8306,-4.6646,2460,
3042,-0.5932,4.1069,-16.4329,2386,
3096,-0.3012,4.1819,-40.3659,2348,
3150,0.4375,4.3113,-50.0915,2320,
3205,0.9735,4.3004,-68.1707,2254,
3258,1.8782,4.3181,-86.1281,2202,
3312,2.4128,4.1124,-97.4695,2174,
3366,2.8310,3.8104,-110.9146,2174,
3420,2.7977,3.7082,-126.7073,2174,
3474,3.8294,3.9951,-135.7622,2170,
3528,3.6472,3.9919,-149.7256,2174,
3582,3.4679,3.7164,-171.7073,2194,
3636,3.9322,3.5075,-178.1707,2180,
3690,3.9732,3.3538,-188.5061,2196,
3744,3.5525,3.0671,-202.2866,2198,
3799,3.1528,3.2643,-216.2500,2202,
3852,2.5869,3.7779,-224.8780,2206,
3906,3.0861,2.6996,-227.8354,2206,
3960,2.8716,2.9977,-238.0488,2210,
4014,3.0007,3.2864,-240.0610,2198,
4068,2.7190,3.0974,-242.8659,2212,
4122,2.7771,3.2690,-245.9146,2218,
4176,1.9425,3.6533,-245.7317,2334,
4230,2.3958,4.3012,-252.6829,3336,
4284,2.0723,4.1521,-242.8354,3158,
4337,1.8833,4.0749,-235.7012,2984,
4391,2.1114,4.0591,-213.5671,2738,
4446,1.8639,3.7453,-184.5732,2848,
4499,1.3552,3.3635,-103.5366,3156,
4553,1.3451,3.0782,-40.2439,2854,
4608,1.5975,3.0721,-25.8841,3076,
