t,ax,ay,yawRate,steer
4,0.2308,0.6859,0.7012,2410,
14458,0.2383,0.6948,0.4573,2412,
14512,0.2452,0.6971,0.6402,2434,
1037,0.0010,0.1312,0.3659,2220,
1091,0.0994,0.2156,0.0305,2220,
1144,0.0867,0.3156,-9.8780,2216,
1199,0.0789,0.4110,-7.3171,2192,
1253,0.0440,0.4619,-2.7744,2132,
1307,0.1444,0.5161,-1.7073,2102,
1360,0.1323,0.5354,-0.9451,2102,
1415,0.0934,0.5696,-0.7927,2124,
1469,0.1393,0.5807,0.6707,2148,
1523,0.1344,0.5866,0.6098,2168,
1576,0.1320,0.6130,1.0366,2188,
1631,0.0917,0.6244,2.4085,2178,
1685,0.1959,0.6446,1.2805,2192,
1739,0.1299,0.6570,1.1585,2216,
1793,0.1241,0.6688,0.5183,2236,
1847,0.0734,0.6595,2.2866,2238,
1901,0.1133,0.6550,0.4878,2240,
1954,0.1203,0.6719,0.6707,2244,
2009,0.1125,0.6812,0.5488,2232,
2063,0.1135,0.6838,0.4878,2246,
2117,0.1176,0.6854,0.6707,2244,
2170,0.1444,0.6887,0.6098,2246,
2225,0.1543,0.6965,0.8232,2250,
2279,0.1450,0.6927,0.4878,2250,
2333,0.1366,0.6911,0.5793,2250,
2386,0.1433,0.7013,0.3049,2240,
2441,0.1496,0.7052,0.5488,2252,
2495,0.1517,0.7059,0.5488,2256,
2549,0.1544,0.7055,0.6098,2258,
2603,0.1618,0.7167,0.6707,2258,
2657,0.2248,0.6959,0.6098,2262,
2711,0.3757,2.9026,-24.2683,2262,
2764,0.4600,3.5718,-23.1707,2260,
2819,0.5408,4.1245,-49.1463,2260,
2873,0.0223,4.1854,-60.9451,2260,
2927,0.0949,4.2462,-74.2988,2262,
2980,0.4418,4.4585,-79.3293,2264,
3035,0.3659,5.0024,-91.4634,2266,
3089,0.3085,4.9146,-98.0793,2266,
3142,0.4484,5.0306,-103.3232,2266,
3196,0.1940,4.7978,-99.0244,2264,
3251,0.5014,4.5651,-106.1281,2260,
3305,1.4000,4.9220,-108.3537,2242,
3358,2.1686,4.6956,-124.5122,2240,
3412,2.7424,4.6763,-129.5427,2242,
3467,3.1947,4.4392,-146.2500,2238,
3520,3.2539,4.2208,-149.6646,2238,
3574,4.0095,4.3453,-167.4085,2238,
3629,4.2309,4.3415,-168.8719,2236,
3683,4.2624,4.0081,-177.6524,2238,
3736,3.9841,3.6389,-188.9329,2228,
3790,3.6431,4.1321,-190.2744,2240,
3845,3.9847,4.0048,-203.5061,2240,
3898,3.4473,3.2508,-203.4146,2242,
3952,4.1857,3.9993,-221.6159,2240,
4006,4.3264,3.7496,-225.2134,2242,
4061,4.6017,3.8602,-225.7622,2240,
4114,3.6905,3.6192,-226.1585,2230,
4168,3.0405,4.0972,-231.3110,2242,
4222,2.8212,4.5343,-234.1159,2240,
4276,2.0783,4.0713,-234.2073,2244,
4330,2.2545,4.4987,-230.5793,2246,
4384,2.1771,4.2262,-227.8049,2246,
4439,1.8815,4.2462,-222.8659,2246,
4492,0.7946,4.0597,-219.8780,2238,
4546,0.4925,3.6955,-211.7073,2250,
4600,0.9863,4.5184,-202.8963,2256,
4654,0.6258,3.7966,-196.4024,2260,
4708,0.3091,4.3039,-175.8537,2264,
4762,0.2650,4.6589,-160.5793,2268,
4816,0.1287,4.6048,-153.8415,2290,
4870,0.1882,4.3624,-148.0183,2318,
