t,ax,ay,yawRate,steer
1051,0.0196,0.1331,0.4268,3312,
1105,-0.0944,0.2008,5.1829,3820,
1159,-0.0904,0.2607,8.8720,4004,
1213,-0.1580,0.3068,12.1341,4002,
1267,-0.1796,0.3139,12.8659,4004,
1320,-0.0828,0.4340,8.4451,4002,
1375,-0.0246,0.5320,1.0366,4002,
1429,-0.0781,0.5224,1.2805,4014,
1483,-0.0347,0.5582,1.2805,4002,
1538,-0.0397,0.5533,0.7012,4002,
1591,-0.0519,0.5767,0.4573,4002,
1645,-0.0679,0.5964,0.4573,4002,
1699,-0.0854,0.6165,0.7012,4002,
1754,-0.0937,0.6263,0.5183,4004,
1807,-0.1003,0.6303,0.6098,4004,
1861,-0.1061,0.6436,0.4878,4002,
1915,-0.1893,0.6193,0.7012,4002,
1970,-1.7058,1.8180,-7.2866,4004,
2023,-1.7352,2.3244,43.6585,4004,
2077,-2.7993,2.8077,74.6951,4004,
2131,-3.5069,3.0281,105.3659,4004,
2186,-3.1360,3.1972,131.7683,4002,
2239,-4.1263,3.0649,153.6585,4002,
2293,-3.6156,2.8982,170.4268,4002,
2348,-4.1523,3.0928,187.6829,4002,
2401,-4.2321,2.9651,202.8354,4002,
2455,-4.6743,2.5133,214.3598,4002,
2509,-4.7282,2.4004,232.0732,4004,
2564,-5.5572,2.1660,240.1829,4002,
2617,-6.2414,1.5288,266.7073,4002,
2671,-5.6836,1.3633,275.3354,4002,
2725,-6.6940,1.3344,295.2744,4004,
2779,-6.4101,1.3974,305.9147,4002,
2833,-5.5734,1.0284,320.1524,4004,
2887,-5.6386,1.3126,330.7317,4004,
2941,-5.6878,1.3905,339.5732,4004,
2995,-5.1402,1.7952,342.5915,4002,
3049,-4.8620,1.7182,349.5427,4004,
3103,-5.1705,1.5010,347.4390,4002,
3156,-5.1597,1.6624,335.0915,4004,
3211,-4.8273,1.9299,331.6769,4004,
3265,-4.2957,2.3661,319.6951,4004,
3319,-3.8273,2.6825,308.1098,4004,
3373,-3.7006,2.5281,299.8476,4002,
3427,-3.1113,2.7388,282.6524,4004,
3481,-3.0991,2.5114,276.8293,4004,
3534,-2.9653,2.4568,277.1951,4004,
3589,-3.9031,2.7852,273.8415,4002,
3643,-3.9753,2.3503,269.0549,4002,
3697,-3.5145,2.2667,278.2622,4002,
3750,-3.6855,2.3865,283.8110,4004,
3805,-4.3619,2.3804,285.4878,4004,
3859,-3.7112,2.0709,292.0732,4004,
3912,-4.4405,2.1466,300.7317,4014,
3966,-4.5680,1.9601,302.1037,4004,
4021,-3.4336,2.0780,307.8354,4002,
4075,-4.2524,2.2624,313.3842,4004,
4128,-4.7508,2.0460,316.6769,4002,
4183,-4.1564,1.3514,317.9573,4002,
4237,-3.7614,1.4335,331.1281,4004,
4290,-4.0635,1.6625,328.3232,4014,
4344,-3.9178,1.7256,333.6281,4002,
4399,-3.7635,1.7520,323.5061,4004,
4453,-3.7214,2.3995,314.6342,4004,
