t,ax,ay,yawRate,steer
1042,0.0196,0.1058,0.5488,2738,
1095,0.0559,0.1795,-0.2134,2578,
1149,0.1472,0.2231,-7.2866,2480,
1204,0.0723,0.3518,-2.5610,2394,
1258,0.1814,0.3882,-2.7744,2276,
1311,0.1939,0.4705,-4.7866,2172,
1366,0.1829,0.5124,-4.6951,2100,
1420,0.2230,0.5469,-3.1098,2042,
1473,0.1808,0.5754,-2.2866,2002,
1527,0.2404,0.5843,-3.5366,1978,
1582,0.1449,0.6020,-1.4939,1986,
1636,0.1762,0.6257,0.4268,1974,
1689,0.2052,0.6438,0.1524,1974,
1743,0.1814,0.6673,0.2439,1994,
1798,0.2217,0.6674,0.7012,2018,
1852,0.2027,0.6838,0.6098,2020,
1906,0.2288,0.6835,0.8232,2022,
1959,0.2261,0.6919,0.7927,2026,
2014,0.2407,0.6929,0.6098,2026,
2068,0.2443,0.6951,0.6098,2028,
2122,0.2543,0.7031,0.6402,2032,
2176,0.2447,0.7123,0.7012,2034,
2230,0.2431,0.7173,0.5488,2032,
2284,0.2204,0.7372,0.6098,2032,
2338,0.4138,1.3406,-17.3780,2032,
2392,0.4412,2.0694,-40.5183,2032,
2446,-0.1211,2.3915,-62.4695,2032,
2500,0.4748,3.0116,-80.2134,2030,
2553,0.3693,3.4297,-102.3171,2028,
2608,0.2505,3.7201,-109.4817,2024,
2643,0.4192,3.7930,-116.3720,2022,
2698,0.8357,3.7153,-127.8049,2000,
2752,0.8376,3.9065,-134.9390,1998,
2805,0.1850,4.1461,-147.1951,1994,
2860,1.1536,3.5175,-164.5122,1988,
2914,1.4142,2.9782,-176.6159,1986,
2968,1.7653,3.1727,-190.9146,1982,
3021,1.9170,3.1372,-203.9024,1982,
3076,3.4767,2.6074,-226.2195,1982,
3130,3.3397,2.5988,-232.1342,1980,
3183,3.1142,2.3864,-243.5366,1980,
3237,2.5507,2.4703,-259.8476,1980,
3292,4.4812,3.8088,-265.4878,1980,
3346,5.6780,4.1077,-276.0061,1980,
3399,5.2161,4.0652,-276.7073,1982,
3453,4.6154,4.4952,-282.6524,1982,
3508,4.0342,4.0750,-290.8842,1982,
3561,4.0184,4.3336,-288.8415,1982,
3615,3.4091,4.1597,-287.5000,1982,
3670,3.4259,4.3113,-280.5488,1986,
3724,2.6153,4.1103,-269.5427,1992,
3777,2.0223,3.9998,-264.0244,2012,
3831,1.3976,4.6077,-250.0915,2012,
3867,1.3872,4.0438,-237.6524,2014,
3921,0.8349,5.1566,-231.0976,2014,
3976,0.5396,4.5251,-155.6707,2014,
4029,0.8473,3.9285,-97.1646,2018,
4083,-0.1965,4.9768,-55.6402,2016,
4137,0.0592,4.6235,-74.5427,2018,
4191,0.3438,4.7968,-92.2256,2018,
4245,0.4733,5.2740,-107.2256,2014,
4299,0.3820,5.2544,-118.2622,2012,
4354,0.8208,5.1899,-120.6098,2006,
4407,1.3045,5.1968,-136.0366,1986,
4461,1.8002,5.1429,-143.6585,1984,
4515,1.5302,4.6942,-168.0183,1980,
4569,1.8088,4.6321,-166.8293,1992,
4623,1.7497,4.4115,-183.6890,1978,
4677,1.8618,4.4443,-188.4756,1978,
4731,2.3030,4.2794,-206.0061,1974,
4785,2.2657,3.9024,-215.7927,1974,
4839,2.3589,3.8095,-231.4329,1974,
4893,2.2338,3.3723,-231.1585,1974,
4946,2.5154,3.3600,-247.7439,2284,
5001,4.2092,3.6701,-207.2256,3180,
5054,4.1388,3.5878,-180.4573,3964,
5108,4.1897,3.4319,-185.8842,3998,
5163,4.4411,2.9285,-198.8415,3942,
5216,4.1519,2.3519,-209.9695,3726,
5270,3.7233,2.1257,-179.9390,3678,
5324,3.5370,2.0793,-163.7500,3672,
5379,3.3592,2.0494,-148.9634,3662,
