t,ax,ay,yawRate,steer
1044,-0.0354,0.1484,0.5793,4004,
1097,-0.0465,0.2744,0.8232,3822,
1152,-0.3868,0.4738,6.8902,3340,
1206,-0.7940,0.6994,22.7439,3000,
1259,-0.8708,1.3285,35.9756,2984,
1313,-1.4154,2.0483,23.6280,2982,
1368,-0.5615,2.2817,28.2927,2992,
1421,0.3308,2.4493,28.7195,3156,
1475,-0.3746,2.7490,27.5305,3936,
1529,-2.5756,2.7781,18.4146,4002,
1584,-2.7275,2.9125,43.5366,4004,
1637,-2.5771,3.5458,69.5122,4016,
1691,-2.9681,3.2278,98.7500,4002,
1745,-3.5716,2.8092,124.8476,4004,
1800,-5.2036,2.2881,146.0671,4004,
1853,-4.3003,1.3253,165.9756,4004,
1907,-4.6962,1.1091,186.5854,4002,
1961,-4.0050,0.8193,209.6646,4002,
2015,-4.7650,-0.1270,220.1220,4016,
2069,-4.3857,-0.5139,242.8049,4002,
2123,-4.6424,-0.5332,266.9512,4002,
2178,-4.9216,-0.4725,279.1464,4002,
2231,-5.4020,0.0156,298.8110,4002,
2285,-6.0737,0.3836,306.8903,4002,
2339,-5.8842,0.3528,325.3659,4004,
2393,-5.5276,0.0606,341.5244,4004,
2447,-5.4406,0.8179,345.0000,4002,
2501,-4.3687,1.1844,347.4695,4004,
2555,-3.9077,1.4484,340.1220,4002,
2609,-4.0393,1.9584,337.1037,4002,
2663,-4.0627,2.2452,322.1951,4004,
2717,-4.8447,2.5044,311.2500,4002,
2770,-4.4078,2.3449,302.4390,4004,
2825,-3.7642,1.9320,280.7622,4002,
2879,-3.9207,2.3907,264.7256,4004,
2933,-3.5081,2.5504,243.2927,4002,
2987,-2.7988,2.9353,242.5000,4004,
3041,-3.3308,2.6829,248.9329,4004,
3095,-3.4983,2.2287,247.4695,4002,
3148,-3.7338,1.8830,252.1646,4004,
3203,-3.9213,2.0695,260.8232,4002,
3257,-4.0392,2.4227,270.4269,4002,
3310,-3.7494,1.9866,284.5732,4004,
3364,-5.1629,1.3120,290.9147,4002,
3419,-4.6408,1.2962,301.9512,4002,
3473,-4.5042,1.3137,313.8110,4002,
3526,-4.0903,0.9701,326.8293,4004,
3580,-3.8785,1.3262,325.8842,4002,
3635,-3.6956,0.9054,335.3049,4004,
3689,-3.4233,1.2156,330.9451,4004,
3742,-3.4454,1.8200,332.8659,4002,
3796,-3.1538,1.9396,340.6403,4002,
3851,-2.9554,2.0598,337.0427,4002,
3904,-3.6586,2.2847,316.7378,4002,
3958,-3.3057,2.4220,302.0427,4002,
4013,-2.9323,2.3628,283.2012,4004,
4067,-3.5171,2.3269,278.4451,4004,
4120,-4.3982,2.5008,269.0549,4002,
4174,-4.3642,2.3095,269.3903,4002,
4229,-3.5287,1.9898,272.5000,4004,
4282,-4.2623,1.8820,278.7805,4004,
4336,-5.3185,1.4898,275.1829,4004,
4390,-4.9587,1.5395,282.5610,4004,
4445,-4.3912,1.4442,283.9024,4002,
4498,-4.5980,1.3795,287.0427,4002,
4552,-4.2832,1.1965,297.8049,4002,
4606,-5.1073,1.5653,297.4390,4002,
4660,-5.4898,0.9338,311.1281,4002,
4714,-4.9320,1.2656,313.7805,4002,
4767,-4.7098,1.5924,319.6951,3670,
4822,-4.2136,1.5569,317.2866,2466,
