t,ax,ay,yawRate,steer
,-0.0431,0.6628,0.5793,2990,
51567,-0.0488,0.6567,0.6402,2978,
51620,-0.0467,0.6455,0.7012,2980,
1039,-0.0129,0.1279,0.7927,3178,
1092,-0.1052,0.1861,3.2927,2992,
1146,0.1084,0.3581,-0.7622,2992,
1201,0.0292,0.5044,0.3963,2978,
1254,0.0856,0.5701,0.5488,3024,
1308,0.0125,0.5907,0.8232,3530,
1362,-0.0484,0.5597,2.0122,4004,
1417,-0.1699,0.6019,13.0793,4004,
1470,-0.1810,0.5902,11.9512,4004,
1524,-0.2051,0.5900,13.8415,4004,
1579,-0.0559,0.7253,6.0671,4004,
1632,-0.0820,0.6880,0.0305,4002,
1686,-0.1006,0.6265,2.2256,4002,
1740,-0.0795,0.6300,0.2439,3964,
1795,-0.0871,0.6424,0.0610,3902,
1849,-0.0840,0.6561,-1.0061,3884,
1902,-0.0926,0.6470,-1.7073,3864,
1956,-0.1440,0.6728,-0.2744,3850,
2011,-0.1334,0.6814,-1.4329,3868,
2065,-0.1991,0.6701,-0.0610,3872,
2118,-0.1995,0.6998,0.6707,3886,
2172,-0.2195,0.6834,0.7927,3874,
2227,-0.2575,0.9250,-1.2500,3874,
2281,-0.8969,1.4784,33.5061,3878,
2334,-0.8904,2.6235,53.8720,3898,
2388,-0.3853,2.4795,78.5976,3898,
2443,-1.7318,3.0787,100.3354,3898,
2496,-2.1818,3.2545,119.1768,3908,
2550,-2.5910,2.9972,135.3659,3896,
2605,-3.2795,3.2166,148.6890,3892,
2659,-3.7206,2.4387,170.0610,3888,
2712,-3.7896,1.9040,186.5244,3870,
2766,-3.1485,1.8934,193.8719,3874,
2821,-3.6805,1.5085,204.5732,3874,
2874,-4.2368,1.3097,216.7378,3888,
2928,-4.4017,1.0602,222.6220,3878,
2982,-4.7783,1.1733,241.7683,3876,
3037,-5.4454,0.5723,253.8110,3876,
3090,-6.0380,-0.0147,262.4695,3870,
3144,-5.6310,0.1218,269.3293,3854,
3198,-5.6311,0.5255,277.6220,3852,
3252,-5.9711,1.3915,278.8720,3842,
3306,-6.2818,1.2660,294.5122,3830,
3360,-5.8476,1.0381,300.2134,3812,
