t,ax,ay,yawRate,steer
1042,0.0201,0.1149,0.3963,1968,
1096,0.1248,0.2318,-1.2195,1968,
1149,0.1745,0.2591,-8.7500,2422,
1204,1.4478,1.9594,-27.0732,3088,
1258,0.6061,2.1225,-20.9146,3436,
1311,0.5658,2.6466,-23.4756,3016,
1366,-0.1502,2.9179,-15.9146,2128,
1420,0.4932,3.7804,-8.9939,1968,
1473,0.4918,3.4591,-13.3537,1968,
1527,0.2077,3.4903,-32.1341,1968,
1582,1.3168,4.1392,-54.8171,1968,
1636,1.0266,4.1791,-79.9085,1966,
1689,1.1368,3.8738,-106.4329,1968,
1743,1.5205,3.4596,-133.1098,1968,
1798,2.0883,3.8997,-154.2988,1968,
1851,3.3524,3.9658,-174.4512,1968,
1905,3.8392,4.2098,-194.1159,1968,
1959,3.6245,3.8367,-215.8232,1968,
2014,3.2242,3.1570,-228.9939,1968,
2067,3.2665,2.7808,-246.4329,1968,
2121,1.8988,2.6728,-259.8171,1968,
2176,2.6591,2.5362,-279.6037,1968,
2230,2.9571,2.4877,-293.4147,1968,
2283,3.7007,3.2600,-296.6464,1968,
2337,3.4466,3.3095,-312.4390,1968,
2392,3.5024,3.4348,-316.4024,1968,
2445,2.7933,3.5073,-325.1220,1978,
2499,2.5894,3.4365,-328.1403,1968,
2553,2.6299,3.6465,-322.5305,1968,
2608,2.1307,3.4416,-312.1342,1968,
2661,2.1015,3.8316,-304.5122,1968,
2715,1.9048,4.3390,-293.6585,2170,
2769,1.3304,4.2728,-276.4024,3056,
2823,0.3509,4.6627,-255.7622,4016,
2876,0.0963,4.7582,-223.3842,4002,
2930,-0.4760,3.9593,-171.0366,3964,
2984,-0.6164,3.2139,-72.5000,3862,
3039,-0.1948,2.3729,9.2073,3590,
3093,0.5141,2.2536,25.1829,3268,
3146,0.4098,1.8235,10.2134,3022,
3201,0.8153,1.5057,0.4573,2992,
3255,0.7044,1.1035,-0.3354,2978,
3308,0.5583,1.0921,2.3476,2974,
3362,0.5074,0.7305,0.5183,2990,
3417,0.6770,0.1601,0.7927,2978,
3471,0.6690,0.1425,2.0732,2980,
3524,0.4595,0.1638,0.6098,2992,
