t,ax,ay,yawRate,steer
915,1968,
61660,0.1596,0.6267,0.8841,1968,
61714,0.2234,0.6326,0.3963,1970,
1041,0.0163,0.1111,0.4268,2386,
1095,0.0643,0.2215,-0.5183,2320,
1149,0.2750,0.3098,-8.5366,2232,
1203,0.1367,0.3896,-8.4756,2202,
1257,0.0667,0.4247,-2.8963,2180,
1311,0.0855,0.4437,-0.0915,2172,
1366,0.0938,0.4842,-0.4573,2172,
1419,0.1239,0.4985,0.9756,2174,
1473,0.1484,0.5276,0.3659,2212,
1527,0.1786,0.5504,0.8537,2220,
1582,0.1793,0.5682,0.6707,2256,
1635,0.1439,0.5920,1.4634,2276,
1689,0.1443,0.5957,2.5915,2278,
1743,0.1676,0.6154,0.1220,2280,
1797,0.1643,0.6197,1.1280,2282,
1851,0.1463,0.6322,-0.1524,2280,
1905,0.1793,0.6312,0.8841,2270,
1959,0.1578,0.6324,0.2134,2284,
2013,0.2081,0.6222,0.4268,2286,
2067,0.1861,0.6189,0.4573,2290,
2121,0.2183,0.6153,0.5488,2288,
2176,0.2173,0.6153,0.5488,2294,
2229,0.2303,0.6201,0.4573,2314,
2283,0.2168,0.6263,1.4024,2302,
2337,0.2247,0.6294,1.8598,2314,
2392,0.2128,0.6333,0.4268,2318,
2445,0.2219,0.6417,0.8537,2320,
2499,0.1919,0.6397,0.5183,2322,
2553,0.2062,0.6363,0.5488,2326,
2608,0.1884,0.6292,0.6707,2328,
2661,0.1900,0.6284,0.5793,2318,
2715,0.1841,0.6267,0.8841,2332,
2769,0.1904,0.6211,0.5793,2334,
2823,0.2026,0.6214,0.4878,2334,
2877,0.2047,0.6230,0.6707,2334,
2931,0.2226,0.6229,0.6402,2312,
2985,0.2217,0.6238,0.5793,2306,
3039,0.2367,0.6254,0.5488,2292,
3093,0.2291,0.6316,0.7012,2304,
3147,0.2403,0.6254,0.6707,2300,
3201,0.2468,0.6201,0.5793,2300,
3255,0.2353,0.6205,0.7317,2294,
3309,0.2371,0.6224,0.6402,2292,
3363,0.2514,0.6674,0.3354,2290,
3417,-0.0962,1.5184,-14.9695,2278,
3471,-0.3308,1.8803,-23.3841,2284,
3525,-0.5079,2.6942,-43.6585,2280,
3579,-0.1736,3.3759,-54.2988,2278,
3633,0.0005,4.0851,-65.8537,2276,
3687,-0.0437,4.0567,-73.9939,2278,
3741,0.2356,4.4573,-80.2134,2276,
3777,0.5079,4.7720,-83.0793,2276,
3831,1.0958,3.9139,-83.3232,2276,
3885,1.1515,1.6831,-99.2988,2272,
3939,0.6028,2.0963,-113.0183,2274,
3993,0.6278,2.0022,-109.4817,2272,
4046,0.7287,2.1452,-117.0732,2230,
4101,1.1097,2.2434,-119.2378,2188,
4155,1.2196,2.3492,-134.3598,2164,
4209,1.6135,2.2442,-141.7683,2166,
4262,2.2389,2.2872,-164.1463,2164,
4317,2.4950,2.0701,-166.1585,2162,
4371,2.1267,2.3499,-176.1890,2156,
4424,3.0651,2.7002,-184.4207,2138,
4478,3.2408,2.9598,-194.0854,2120,
4533,3.6149,2.8261,-211.2500,2118,
4587,3.2966,2.7407,-209.7866,2100,
4640,3.3100,3.1248,-225.1829,2096,
4676,3.5640,3.3220,-228.7500,2094,
4730,3.7313,3.1398,-240.3354,2090,
4785,4.6299,3.4379,-252.7134,2084,
4839,5.3119,3.5864,-254.9695,2082,
4892,4.6599,3.7234,-259.2378,2076,
4946,4.5041,3.6113,-261.8903,2076,
5001,3.4740,3.5757,-258.6890,2072,
5054,3.0382,3.6750,-257.8659,2066,
5108,2.6327,3.3772,-253.7500,2046,
5163,2.3283,3.5139,-244.9390,2042,
5217,1.5251,3.6759,-239.5427,2020,
5270,0.8820,4.0258,-225.0305,2018,
5324,0.8593,3.8651,-220.7012,1994,
5379,0.6338,4.5808,-214.2378,1994,
5414,1.2435,5.1744,-204.9695,1988,
5469,0.9508,4.6155,-197.3780,1986,
5522,0.2674,3.7647,-110.5488,1982,
5576,0.2881,2.4568,-45.7317,1980,
5630,0.8200,2.1397,-21.6463,1978,
5685,1.7161,1.5633,-28.1402,1978,
5738,1.6659,2.0436,-55.1220,1974,
5792,1.1968,2.3632,-86.5549,1972,
5847,1.3620,3.3472,-89.0244,1972,
5900,0.5131,3.3850,-109.8171,1972,
5937,-0.3403,3.4584,-123.4756,1972,
5990,0.2573,3.5438,-132.8963,1972,
6044,0.5712,3.1382,-145.3963,1970,
6098,0.7831,3.2844,-160.8537,1968,
6152,1.0933,3.1714,-174.0854,1968,
6206,1.4157,2.8604,-190.0610,1968,
6260,2.1372,2.6048,-214.3293,1968,
6315,2.2178,2.7169,-228.0488,1968,
6368,2.6979,2.5001,-237.7439,1968,
6422,3.2582,2.5929,-247.2561,1968,
6476,3.3545,2.5890,-264.7866,1968,
6512,3.0519,2.2709,-272.5915,1968,
6566,3.5639,2.5268,-278.1708,1966,
6620,4.0913,2.1891,-302.0427,1968,
6674,4.1426,2.2967,-309.9085,1968,
6728,3.2451,1.9154,-300.3964,1968,
6781,2.9438,2.3166,-303.0793,1970,
6836,3.1623,2.7119,-293.2012,1968,
6890,2.4221,3.3331,-293.3842,1968,
6944,1.5120,3.1956,-283.0183,1968,
6998,1.3207,3.8642,-265.2134,1968,
7052,1.3759,3.8561,-252.8049,1968,
7106,1.5638,4.3250,-243.3232,1968,
7159,1.3444,4.6954,-235.1829,1980,
7214,0.6087,4.4205,-220.4573,2074,
7267,0.3581,3.9046,-169.0244,2514,
7321,0.7883,3.1903,-107.1951,2870,
7375,0.9673,2.7390,-50.0305,2980,
7429,1.1636,2.4612,-9.0854,3088,
7483,0.7925,1.9307,10.0000,3342,
7537,0.9270,1.4856,7.7744,3626,
7591,0.7790,1.1583,16.1890,3850,
7645,0.6117,0.8261,19.3598,3986,
7699,0.5497,0.5771,19.7866,4004,
7753,0.4996,0.5522,18.9634,4004,
7808,0.6683,0.1535,7.2256,4002,
7861,0.5562,0.1113,5.0610,4004,
