t,ax,ay,yawRate,steer
1048,0.0335,0.1120,0.5488,2988,
1102,0.0742,0.2098,0.4573,2988,
1157,0.0876,0.2852,0.5183,2976,
1210,0.1098,0.3502,0.6402,2978,
1264,0.1180,0.3903,0.4878,2988,
1318,0.1236,0.4320,0.7317,2976,
1373,0.1233,0.4600,0.7317,2976,
1426,0.1212,0.4810,0.6098,2988,
1480,0.1199,0.5045,0.4878,2988,
1534,0.1247,0.5176,0.4878,2976,
1588,0.1380,0.5309,0.5488,2976,
1642,0.1487,0.5339,0.6098,2990,
1696,0.1597,0.5459,0.7927,2988,
1751,0.1685,0.5526,0.7927,2978,
1804,0.1664,0.5651,0.6402,2988,
1858,0.1738,0.5718,0.5488,2988,
1912,0.1706,0.5642,0.6098,2976,
1966,0.1686,0.5725,0.7012,2976,
2020,0.1588,0.5777,0.7012,2990,
2074,0.1567,0.5603,0.5183,2988,
2128,0.1493,0.5651,0.6098,2976,
2182,0.1516,0.5646,0.6402,2990,
2236,0.1682,0.5661,0.7317,2992,
2290,0.1748,0.5592,0.5793,2980,
2343,0.1781,0.5599,0.5488,2976,
2398,0.1856,0.5686,0.4878,2992,
2452,0.1743,0.5674,0.5793,2990,
2506,0.1749,0.5688,0.4573,2976,
2560,0.1667,0.5690,0.5793,2988,
2614,0.1521,0.5682,0.5183,2992,
2668,0.1571,0.5796,0.5183,2976,
2721,0.1506,0.5747,0.6098,2976,
2776,0.1468,0.5666,0.7317,2988,
2830,0.1395,0.5758,0.3659,2988,
2884,0.1575,0.5737,0.5793,2976,
2937,0.1730,0.5681,0.6707,2988,
2992,0.1757,0.5689,0.5793,2988,
3046,0.1789,0.5662,0.7317,2976,
3100,0.1828,0.5703,0.8537,2978,
3153,0.1808,0.5769,0.7622,2990,
3208,0.1796,0.5793,0.5793,2990,
3262,0.1594,0.5832,0.4573,2976,
3315,0.1405,0.5815,0.7622,2992,
3369,0.1320,0.5892,0.7012,2992,
3424,0.1353,0.5815,0.6707,2976,
3478,0.1346,0.5787,0.4878,2978,
3531,0.1383,0.5659,0.5488,2990,
3586,0.1423,0.5643,0.4878,2988,
3640,0.1473,0.5630,0.4878,2976,
3693,0.1547,0.5596,0.7012,2988,
3747,0.1688,0.5602,0.6707,2988,
3802,0.1700,0.5626,0.4573,2976,
3856,0.1791,0.5588,0.6707,2976,
3909,0.1849,0.5600,0.5793,2992,
3963,0.1791,0.5610,0.7927,2952,
4018,0.1801,0.5546,0.7622,2760,
