t,ax,ay,yawRate,steer
1042,0.0053,0.1173,0.5183,2980,
1096,0.0363,0.2188,0.1829,3028,
1149,0.0506,0.3130,0.4268,3492,
1204,-0.0141,0.3935,2.0122,3854,
1258,-0.1516,0.4317,12.8963,4002,
1311,-0.1581,0.4287,12.7439,4004,
1366,-0.1083,0.4818,11.9512,4004,
1420,0.0244,0.6186,5.3354,4002,
1474,0.0239,0.6132,-0.9756,4002,
1527,-0.0298,0.5695,1.8902,3892,
1582,-0.0176,0.5940,-0.7622,3712,
1636,0.0300,0.6423,-4.6646,3254,
1689,0.0609,0.6293,-10.3049,2992,
1743,0.0769,0.5987,-13.7195,2990,
1798,-0.2655,0.4162,-5.7317,2978,
1852,-0.1698,0.5030,4.3902,2978,
1905,-0.2598,0.4804,-1.6463,3040,
1959,-0.0489,0.4543,2.0732,3392,
2014,-0.2354,0.4472,1.7683,3738,
2067,-0.1697,0.4396,11.8902,3922,
2121,-0.1132,0.4274,12.2866,3968,
2176,-0.1117,0.4568,10.9451,4004,
2230,0.0050,0.5402,5.4268,4002,
2283,0.0030,0.5533,0.4573,3896,
2337,-0.0019,0.5830,0.7622,3488,
2392,0.1565,0.7216,-8.5976,2980,
2446,0.2066,0.7094,-16.7988,2898,
2499,0.1007,0.6207,-14.0244,2762,
2553,-0.1886,0.4841,3.4146,2696,
2608,0.1178,0.4491,-5.5793,2664,
2662,0.1861,0.5857,0.5793,2666,
2715,0.1815,0.5754,-0.0915,2688,
2769,0.0868,0.5910,1.8293,2678,
2824,0.1661,0.6021,0.0305,2690,
2877,0.1109,0.6205,1.1280,2716,
2931,0.1347,0.6238,0.3354,2708,
2985,0.1192,0.6322,1.4024,2740,
3040,0.0887,0.6283,0.8232,2740,
3093,0.1274,0.6329,0.7317,2740,
3147,0.0962,0.6490,0.3963,2724,
3202,0.1316,0.6394,0.5793,2740,
3256,0.1067,0.6413,0.6098,2738,
3309,0.1332,0.6332,0.4878,2724,
3363,0.1329,0.6344,0.8537,2724,
3418,0.1413,0.6253,0.4573,2736,
3471,0.1604,0.6262,0.6402,2736,
3525,0.1600,0.6307,0.5183,2728,
3579,0.1725,0.6391,0.7927,2756,
3634,0.1730,0.6272,1.1280,2760,
3687,0.1508,0.4352,5.3659,2750,
3741,0.0215,1.1670,-1.5854,2754,
3795,-0.6833,1.8778,-10.3963,2768,
3850,-0.8756,2.3177,-8.6890,2770,
3903,-1.3024,2.9962,-17.0732,2774,
3957,-1.5514,3.1263,-22.8354,2792,
